source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Seedly,,2019-10-22 11:53:53,Here's what investors should know about CapitaLand Mall Trust's latest earnings.,1,1,,,,,,1,1218635641657801,/story.php?story_fbid=1218635641657801&id=460639650790741
Seedly,,2019-10-22 11:15:16,The Steaks have been raised. Here's where you can find some of the best steaks in Singapore.,3,3,,,,,,1,1218602771661088,/story.php?story_fbid=1218602771661088&id=460639650790741
Seedly,,2019-10-22 08:00:40,BOOKMARK SHARE MEMORISE TATTOO this ultimate investment guide somewhere.  Here's everything you need to know about investing!,28,25,1,1,1,,,1,1218010058387026,/story.php?story_fbid=1218010058387026&id=460639650790741
Seedly,,2019-10-21 20:18:15,The beautiful rule of 72. Find out how long and at what interest rate you would require to double your initial capital today!,21,19,,2,,,,1,1217994658388566,/story.php?story_fbid=1217994658388566&id=460639650790741
Seedly,,2019-10-21 15:35:55,Big news of the day: Temasek to up its stake in Keppel Corporation (SGX: BN4).,18,17,,1,,,,2,1217813748406657,/story.php?story_fbid=1217813748406657&id=460639650790741
Seedly,,2019-10-21 13:08:28,Two of these three strong shares might attract dividend investors.,3,3,,,,,,1,1217725705082128,/story.php?story_fbid=1217725705082128&id=460639650790741
Seedly,,2019-10-21 12:07:20,An individual on a Regular Savings Plan for STI ETF can potentially invest in the same amount as a lump-sum investor for a lower investing cost!,20,20,,,,,,1,1217687215085977,/story.php?story_fbid=1217687215085977&id=460639650790741
Seedly,,2019-10-21 10:40:14,Been in a Starbucks drought of late? Then it's time to make use of its 1-for-1 promo on all Venti-sized drinks!,1,1,,,,,,,1217626155092083,/story.php?story_fbid=1217626155092083&id=460639650790741
Seedly,,2019-10-21 08:00:00,"Life's Short! Read Finance! How Ah Beng Handphone Shop Make Money? ➡️ http://bit.ly/2VX2m5c "" I already invested $100 per month into StashAway. What's else can I do?"" ➡️ http://bit.ly/35NRkUz YOUTRIP, REVOLUT, TENX, TRANSFERWISE, MCO - Check out their customer reviews here: ➡️ http://bit.ly/2oXcoYa",2,2,,,,,,,1216644501856915,/story.php?story_fbid=1216644501856915&id=460639650790741
Seedly,,2019-10-20 14:00:46,"The wife: ""The toilet paper you bought feels like sandpaper!""  Me: 😕",16,9,6,,,1,,,1216632235191475,/story.php?story_fbid=1216632235191475&id=460639650790741
Seedly,,2019-10-20 13:17:35,"I promise you, when you get to the end of this simple article, you will understand fully what this $1 SRS trick means and how you can do this in 5 minutes (yes, it’s really that easy). Quoted with examples and screenshots on a step-by-step guide at the end! :)",66,61,,1,4,,,8,1216747631846602,/story.php?story_fbid=1216747631846602&id=460639650790741
Seedly,,2019-10-20 12:00:39,"A gentle reminder by The Woke Salaryman while we're trying to build our wealth for the future, don't forget to take some time to focus on the other things that really matter as well.",30,29,,1,,,,2,1216665131854852,/story.php?story_fbid=1216665131854852&id=460639650790741
Seedly,,2019-10-20 10:00:00,Or you could start investing RIGHT NOW... #justsaying Find out how to start with as little as $50 a month: http://bit.ly/2BrESf3,3,3,,,,,,,1214710018717030,/story.php?story_fbid=1214710018717030&id=460639650790741
Seedly,,2019-10-19 14:00:01,LATEST UPDATE: Cheapest Electricity Retailer,14,14,,,,,,1,1215078995346799,/story.php?story_fbid=1215078995346799&id=460639650790741
Seedly,,2019-10-18 12:59:29,Dividend cut at Singapore Press Holdings Limited (SGX: T39).,,,,,,,,2,1214801658707866,/story.php?story_fbid=1214801658707866&id=460639650790741
Seedly,,2019-10-19 13:48:46,Here are 8 things you should know about Singtel's AGM.,9,7,1,,1,,,1,1215795055275193,/story.php?story_fbid=1215795055275193&id=460639650790741
Seedly,,2019-10-19 09:54:01,"Here's how to stretch your dollar on your mala xiang guo order, in pictures! 🔥",21,16,4,,1,,,6,1215640861957279,/story.php?story_fbid=1215640861957279&id=460639650790741
Seedly,,2019-10-18 18:00:01,LOVE BUBBLE TEA? Grab just launch Singapore's first bubble tea subscription plan to feed your bubble tea cravings.,7,5,2,,,,,1,1214976628690369,/story.php?story_fbid=1214976628690369&id=460639650790741
