source,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Seedly,22/10/19 11:53,Here's what investors should know about CapitaLand Mall Trust's latest earnings.,1,1,0,0,0,0,0,1,1218635641657801,/story.php?story_fbid=1218635641657801&id=460639650790741
Seedly,22/10/19 11:15,The Steaks have been raised. Here's where you can find some of the best steaks in Singapore.,3,3,0,0,0,0,0,1,1218602771661088,/story.php?story_fbid=1218602771661088&id=460639650790741
Seedly,22/10/19 8:00,BOOKMARK SHARE MEMORISE TATTOO this ultimate investment guide somewhere.  Here's everything you need to know about investing!,28,25,1,1,1,0,0,1,1218010058387026,/story.php?story_fbid=1218010058387026&id=460639650790741
Seedly,21/10/19 20:18,The beautiful rule of 72. Find out how long and at what interest rate you would require to double your initial capital today!,21,19,0,2,0,0,0,1,1217994658388566,/story.php?story_fbid=1217994658388566&id=460639650790741
Seedly,21/10/19 15:35,Big news of the day: Temasek to up its stake in Keppel Corporation (SGX: BN4).,18,17,0,1,0,0,0,2,1217813748406657,/story.php?story_fbid=1217813748406657&id=460639650790741
Seedly,21/10/19 13:08,Two of these three strong shares might attract dividend investors.,3,3,0,0,0,0,0,1,1217725705082128,/story.php?story_fbid=1217725705082128&id=460639650790741
Seedly,21/10/19 12:07,An individual on a Regular Savings Plan for STI ETF can potentially invest in the same amount as a lump-sum investor for a lower investing cost!,20,20,0,0,0,0,0,1,1217687215085977,/story.php?story_fbid=1217687215085977&id=460639650790741
Seedly,21/10/19 10:40,Been in a Starbucks drought of late? Then it's time to make use of its 1-for-1 promo on all Venti-sized drinks!,1,1,0,0,0,0,0,0,1217626155092083,/story.php?story_fbid=1217626155092083&id=460639650790741
Seedly,21/10/19 8:00,"Life's Short! Read Finance! How Ah Beng Handphone Shop Make Money? Ã¢ÂÂ¡Ã¯Â¸Â http://bit.ly/2VX2m5c "" I already invested $100 per month into StashAway. What's else can I do?"" Ã¢ÂÂ¡Ã¯Â¸Â http://bit.ly/35NRkUz YOUTRIP, REVOLUT, TENX, TRANSFERWISE, MCO - Check out their customer reviews here: Ã¢ÂÂ¡Ã¯Â¸Â http://bit.ly/2oXcoYa",2,2,0,0,0,0,0,0,1216644501856915,/story.php?story_fbid=1216644501856915&id=460639650790741
Seedly,20/10/19 14:00,"The wife: ""The toilet paper you bought feels like sandpaper!""  Me: Ã°ÂÂÂ",16,9,6,0,0,1,0,0,1216632235191475,/story.php?story_fbid=1216632235191475&id=460639650790741
Seedly,20/10/19 13:17,"I promise you, when you get to the end of this simple article, you will understand fully what this $1 SRS trick means and how you can do this in 5 minutes (yes, itÃ¢ÂÂs really that easy). Quoted with examples and screenshots on a step-by-step guide at the end! :)",66,61,0,1,4,0,0,8,1216747631846602,/story.php?story_fbid=1216747631846602&id=460639650790741
Seedly,20/10/19 12:00,"A gentle reminder by The Woke Salaryman while we're trying to build our wealth for the future, don't forget to take some time to focus on the other things that really matter as well.",30,29,0,1,0,0,0,2,1216665131854852,/story.php?story_fbid=1216665131854852&id=460639650790741
