source,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
The Woke Salaryman,15/10/19 8:22,Some people think being a Woke Salaryman means taking zero holidays. That's simply not true. You just take different holidays.  Get updates from us on telegram: https://t.me/wokesalaryman We're also a bit dank (and also having further discussions) on IG: https://www.instagram.com/thewokesalaryman,179,160,0,14,5,0,0,9,2413865385595634,/story.php?story_fbid=2413865385595634&id=2250666538582187
"The Woke Salaryman,Ray Dalio",20/9/17 4:20,"If you watch anything today, let it be this. To understand the recessionary patterns of the economy is to understand human nature. With that understanding, you can better navigate your way through your own financial journey. btw Ray Dalio is awesome. Here's the video I spoke about with Tony Robbins and Charlie Rose this week. I've been asked a lot about populism and economics and I think this template that I shared back in 2013 is very relevant today.",191,174,0,16,1,0,0,7,2407835796198593,/story.php?story_fbid=2407835796198593&id=2250666538582187
The Woke Salaryman,5/10/19 10:56,Don't wanna look at stocks for 6 hours a week? Investing in the stock market is still an option for you. Get updates from us on telegram: https://t.me/wokesalaryman We're also a bit dank (and also having further discussions) on IG: https://www.instagram.com/thewokesalaryman,1898,1600,3,247,48,0,0,162,2404744283174411,/story.php?story_fbid=2404744283174411&id=2250666538582187
The Woke Salaryman,21/9/19 10:00,__SPONSORED POST__ - CPF isn't going anywhere for the foreseeable future.  Maybe that's why we've come to accept it.,256,247,0,9,0,0,0,17,2391879244460915,/story.php?story_fbid=2391879244460915&id=2250666538582187
The Woke Salaryman,7/9/19 20:20,Here's a gentle reminder while we all hustle together.________Get updates from us on telegram: https://t.me/wokesalaryman WeÃ¢ÂÂre also a bit dank (and also having further discussions) on IG: https://www.instagram.com/thewokesalaryman,17011,11000,27,3600,284,2100,3,1532,2381147788867394,/story.php?story_fbid=2381147788867394&id=2250666538582187
The Woke Salaryman,6/9/19 0:15,"Y'all in Singapore can catch us on the radio airwaves this morning (6 September 2019) at 10:10AM. Tune in to MONEY FM 89.3! We will be appearing on the ""YOUR MONEY"" show, with Michelle Martin. https://www.moneyfm893.sg/",160,144,0,12,4,0,0,8,2379749222340584,/story.php?story_fbid=2379749222340584&id=2250666538582187
"The Woke Salaryman,Longkangkitties",28/8/19 9:00,"Local podcast heroes Longkangkitties invited us to talk on their show about money and other miscellaneous stuff.  So we said yes. We don't usually talk a lot, but when we do we can talk for a pretty long time. Proof below:Ep47 How to get Woke but not get broke with The Woke Salaryman https://soundcloud.com/user-45251844/ep47-how-to-get-woke-but-not-get-broke-with-the-woke-salaryman https://open.spotify.com/episode/1DIRkfnQFWPm3pMUwdy5aw This week we bring on the dynamic duo of The Woke Salaryman, Wei Choon and RuiminG (don't forget the G)! An explosively popular webcomic, already amassing a huge following since the comic's inception in April. We spoke about the creative process during the creation of their comics, the criticisms they received thus far, misconceptions about money, and much more! Find The Woke Salaryman comic at: www.facebook.com/wokesalaryman/ Also congratulations to them for winning the SGX Orb Awards!",159,137,8,12,2,0,0,2,2374114779570695,/story.php?story_fbid=2374114779570695&id=2250666538582187
The Woke Salaryman,26/8/19 22:43,"My name is Wei Choon, I draw all the stuff you see on The Woke Salaryman. It has come to our attention that a lot of people Ã¢ÂÂ especially financial advisors Ã¢ÂÂ have been saving our images and posting them as their own albums.  Even though we are tagged in the comments, this hurts us. Here's why. THE IMPORTANCE OF SHARES As a small, relatively new (5 months old) page, our future is volatile, and the social performance of our posts (shares, likes, page follows etc) is very important, as it determines whether we might be able to find funding or sponsorship, and ultimately whether we will continue doing this.  We have been doing this for the past 5 months in our free time after work with no promise of fame or fortune. It's not easy, it's not always fun either. We push through the burn out because we want this to be successful and sustainable, but we also do this to help the average salaryman become more financially woke. TRANSLATING/CHANGING OUR POSTS We love when people share from our page directly, because it has our caption and context linked to the post; but it's difficult when we see financial planners and institutions taking our work and repurposing it for their own benefit, especially with a phone number or email at the end: ""Want to become even more woke? Call us at XXXXXXXX!"" Some people take our work and translate them. It's very sweet and we are quite happy people find our message compelling enough to put in the effort to do so.  But please don't do that. We put a lot of time and effort into our stories. If we were to one day translate it, we would do so with people we trust, because it's important that the stories are translated properly and responsibly. HOW YOU CAN HELP US: 1. Stop saving out our works and posting them as your own shit, even if you tag us. 2. Let us know if someone is doing that, and call them out for plagiarism.  We don't want to have to resort to banning people and getting Facebook to take the content down, so we hope we can reason with y'all like woke salarymen. Sincerely, Goh Wei Choon, Co-founder",2736,2400,2,155,9,157,13,39,2372272389754934,/story.php?story_fbid=2372272389754934&id=2250666538582187
The Woke Salaryman,25/8/19 12:31,"Money isn't easy to earn.  But forests are even harder to rebuild.  Lots of media attention has been given to the Amazon, but closer to home [INDONESIA is BURNING TOO], we can provide aid to firefighting efforts in Indonesia via WWF-Singapore. Think of this donation as a small but important investment into the planet we live in. Because we assure you Ã¢ÂÂ financial independence is meaningless if this planet is no longer habitable.  Stay woke, salaryman.  And thank you for your contribution.  Donate to stop the forest fires now: https://bit.ly/2KSop9u More info on Sumatra fire: https://bit.ly/30y7mPd",604,466,0,25,1,112,0,7,2371236206525219,/story.php?story_fbid=2371236206525219&id=2250666538582187
The Woke Salaryman,22/8/19 10:59,Wow we won an award. Thanks SGX | My Gateway.,877,745,11,79,42,0,0,25,2368802153435291,/story.php?story_fbid=2368802153435291&id=2250666538582187
