comment	commenter	num_comment	num_likes	url	username
 	 	28	133	http://instagram.com/p/B2raI24lF5N/	_okjared
 	 	28	133	http://instagram.com/p/B2raI24lF5N/	_okjared
 	 	28	133	http://instagram.com/p/B2raI24lF5N/	_okjared
 	 	28	133	http://instagram.com/p/B2raI24lF5N/	_okjared
 	 	28	133	http://instagram.com/p/B2raI24lF5N/	_okjared
 	 	28	133	http://instagram.com/p/B2raI24lF5N/	_okjared
 	 	28	133	http://instagram.com/p/B2raI24lF5N/	_okjared
 	 	28	133	http://instagram.com/p/B2raI24lF5N/	_okjared
 	 	28	133	http://instagram.com/p/B2raI24lF5N/	_okjared
 	 	28	133	http://instagram.com/p/B2raI24lF5N/	_okjared
 	 	28	133	http://instagram.com/p/B2raI24lF5N/	_okjared
 	 	28	133	http://instagram.com/p/B2raI24lF5N/	_okjared
 	 	28	133	http://instagram.com/p/B2raI24lF5N/	_okjared
Just a friendly mid-week reminder to keep up our efforts to save the Earth! Also, a big thank you to all the people who came down to participate in this event as well as the fans who exchanged gifts with me😁	_okjared	20	236	http://instagram.com/p/B2liGX8Fxnw/	_okjared
Oppa yes I will save the earth	rosanotdiaz	20	236	http://instagram.com/p/B2liGX8Fxnw/	_okjared
Aw~~ My friend won your gift @_okjared 😍	tingting__89	20	236	http://instagram.com/p/B2liGX8Fxnw/	_okjared
Ok so when u wanna buy metal straw?	jael.kale	20	236	http://instagram.com/p/B2liGX8Fxnw/	_okjared
@_okjared he is in the second photo	tingting__89	20	236	http://instagram.com/p/B2liGX8Fxnw/	_okjared
What is slate in chinese	twhwth	20	236	http://instagram.com/p/B2liGX8Fxnw/	_okjared
😁	huipingfoo	20	236	http://instagram.com/p/B2liGX8Fxnw/	_okjared
@_okjared love reading the book. Thxs alot and great knowing u	niceguy_1983	20	236	http://instagram.com/p/B2liGX8Fxnw/	_okjared
Korkor @_okjared my birthday is coming soon, on the 4 october friday?	elsaninja	20	236	http://instagram.com/p/B2liGX8Fxnw/	_okjared
We stan an environmental friendly king	awkwardamirul2	20	236	http://instagram.com/p/B2liGX8Fxnw/	_okjared
