comment	commenter	num_comment	num_likes	url	username
🍂🍃	alyssapyf	6	216	http://instagram.com/p/B2lD8dclULU/	alyssapyf
Gorgeous💚	tingting__89	6	216	http://instagram.com/p/B2lD8dclULU/	alyssapyf
😍💚	alyssa_fanspage	6	216	http://instagram.com/p/B2lD8dclULU/	alyssapyf
“I woke up like this... Flawless” ✨💖	smiledlav	6	216	http://instagram.com/p/B2lD8dclULU/	alyssapyf
😍	marcusleezy	6	216	http://instagram.com/p/B2lD8dclULU/	alyssapyf
Hey pretty 😻🐯💕	tanatdaman	6	216	http://instagram.com/p/B2lD8dclULU/	alyssapyf
🍃🍂	huipingfoo	6	216	http://instagram.com/p/B2lD8dclULU/	alyssapyf
Our Earth 🌏 Our Responsibility 💚 ⠀⠀⠀⠀⠀⠀⠀⠀⠀	alyssapyf	8	174	http://instagram.com/p/B2g4TbKFcUh/	alyssapyf
I always will reuse plastic bags to put things & also recycle plastic bottles for a better use 💚	tingting__89	8	174	http://instagram.com/p/B2g4TbKFcUh/	alyssapyf
Haha. U gt my minion toy	_misterben	8	174	http://instagram.com/p/B2g4TbKFcUh/	alyssapyf
In my family, we always recycle plastic bottles when we finish a drink (that’s why I didn’t have plastic bottles in the event 😂). And we recycle shampoo or bath gel bottles, snack packaging and anything that’s not oily into the recycle bin at our void deck. Also, when we buy something, we only bring our own canvas bag or use our same old plastic bags again and again instead of taking new plastic bags outside.	smiledlav	8	174	http://instagram.com/p/B2g4TbKFcUh/	alyssapyf
We don’t really switch on the light even when it’s dark. We use led lights and our shower head is the one that saves water. We have no air-con too.	smiledlav	8	174	http://instagram.com/p/B2g4TbKFcUh/	alyssapyf
We will try reduce using plastic bags & use our tote bags when we will out for shopping! #Reuse #Reduce #Recycle 💚	alyssa_fanspage	8	174	http://instagram.com/p/B2g4TbKFcUh/	alyssapyf
Um what else... I ride kick scooter when I need to go buy things instead of public transport. Fun too and can exercise! 🤩🛴	smiledlav	8	174	http://instagram.com/p/B2g4TbKFcUh/	alyssapyf
Psssst! There will be a station for you to “swap items” at #StarSearch2019 x Saving GAIA Sustainability Living Drive! ♻️🌍 ⠀⠀⠀⠀⠀⠀⠀⠀⠀	alyssapyf	2	69	http://instagram.com/p/B2amL2oFOR8/	alyssapyf
See u soon! 💚 Hopefully got chance to exchange with u😀	tingting__89	2	69	http://instagram.com/p/B2amL2oFOR8/	alyssapyf
等下见咯! 希望我们可以和你一起交换也会好好照顾它的!😘😘	alyssa_fanspage	2	69	http://instagram.com/p/B2amL2oFOR8/	alyssapyf
明天我会到以下的地点和大家见面、一起减少回收再利用! ♻️🌍	alyssapyf	3	169	http://instagram.com/p/B2ZZEbGlM9a/	alyssapyf
See ya	_misterben	3	169	http://instagram.com/p/B2ZZEbGlM9a/	alyssapyf
See ya tmr! 💚	tingting__89	3	169	http://instagram.com/p/B2ZZEbGlM9a/	alyssapyf
See u tmr! 我们已准备好和你一起为环保出一份力! 💚	alyssa_fanspage	3	169	http://instagram.com/p/B2ZZEbGlM9a/	alyssapyf
 	 	5	77	http://instagram.com/p/B2WAhJWFmuL/	alyssapyf
 	 	5	77	http://instagram.com/p/B2WAhJWFmuL/	alyssapyf
 	 	5	77	http://instagram.com/p/B2WAhJWFmuL/	alyssapyf
 	 	5	77	http://instagram.com/p/B2WAhJWFmuL/	alyssapyf
 	 	5	77	http://instagram.com/p/B2WAhJWFmuL/	alyssapyf
 	 	5	77	http://instagram.com/p/B2WAhJWFmuL/	alyssapyf
There’s a lipstick for every mood... & here I am, experimenting with new colours as with how life should be! 🌈🎨✨	alyssapyf	10	248	http://instagram.com/p/B2JYzYeFe6a/	alyssapyf
好美 😍	ohyushi	10	248	http://instagram.com/p/B2JYzYeFe6a/	alyssapyf
很配合你喔,很适合你的颜色 @alyssapyf	niceguy_1983	10	248	http://instagram.com/p/B2JYzYeFe6a/	alyssapyf
Right, and especially @mai_zhiqiii would agree with this. Hahahah 🤪	smiledlav	10	248	http://instagram.com/p/B2JYzYeFe6a/	alyssapyf
😍😍😍	mai_zhiqiii	10	248	http://instagram.com/p/B2JYzYeFe6a/	alyssapyf
自信和美丽就是你!! 口红的颜色也好搭配啊! 我们的Alyssa 真 swee~ 💋💄😉❤	alyssa_fanspage	10	248	http://instagram.com/p/B2JYzYeFe6a/	alyssapyf
最美的人就是你😍💖	tingting__89	10	248	http://instagram.com/p/B2JYzYeFe6a/	alyssapyf
Yes, you go gal! 👍😍❤	gracewxx90	10	248	http://instagram.com/p/B2JYzYeFe6a/	alyssapyf
Wooohooo!! Love this!! 😍😍😍	joy_oleander	10	248	http://instagram.com/p/B2JYzYeFe6a/	alyssapyf
I’m such a big child at heart 💛 Kidult 万岁!!! ~ 🌈	alyssapyf	7	232	http://instagram.com/p/B1-cF6pladR/	alyssapyf
📺 Debut Clip — 《猜心》Surmise ⠀	alyssapyf	5	206	http://instagram.com/p/B15O8c_ljOo/	alyssapyf
你的声音真的很甜很好听！	smiledlav	5	206	http://instagram.com/p/B15O8c_ljOo/	alyssapyf
有人说过, 感情里没有谁输或谁是真心对待爱一个人, 但是不在乎天长地久, 只在乎曾经拥有! 因为世上是没有任何的爱情是可以开花结果的!	tingting__89	5	206	http://instagram.com/p/B15O8c_ljOo/	alyssapyf
