comment	commenter	num_comment	num_likes	url	username
#	ginichang	6	348	http://instagram.com/p/B2t2bZEgFbY/	ginichang
哇! 终于等到你post了👍👍	tingting__89	6	348	http://instagram.com/p/B2t2bZEgFbY/	ginichang
@ginichang forever cute gini	ginichang_fanpage	6	348	http://instagram.com/p/B2t2bZEgFbY/	ginichang
可爱😍	itsginifans	6	348	http://instagram.com/p/B2t2bZEgFbY/	ginichang
非常美丽，刚才我的妈妈看前奏说你很美😊	juninhotan	6	348	http://instagram.com/p/B2t2bZEgFbY/	ginichang
怀念啊，我很害羞看到那么可爱的姑娘，却鼓起很大的勇气向前问能不能和你一起拍张照。真感谢你。希望你能够到大决赛，在新加坡发展	jellyeunji	6	348	http://instagram.com/p/B2t2bZEgFbY/	ginichang
第一張是宋慧喬嗎🙈	kathlyn1116	6	348	http://instagram.com/p/B2t2bZEgFbY/	ginichang
#	ginichang	11	593	http://instagram.com/p/B2ZCDzOAasQ/	ginichang
好可愛😍😍😍	mydragon04	11	593	http://instagram.com/p/B2ZCDzOAasQ/	ginichang
可爱啊! 😍💖 明天见。	tingting__89	11	593	http://instagram.com/p/B2ZCDzOAasQ/	ginichang
Cute	themralgroup	11	593	http://instagram.com/p/B2ZCDzOAasQ/	ginichang
下次才能见到你😢	itsginifans	11	593	http://instagram.com/p/B2ZCDzOAasQ/	ginichang
😍😍😍😍😍	karenhott	11	593	http://instagram.com/p/B2ZCDzOAasQ/	ginichang
😍😍😍	mai_zhiqiii	11	593	http://instagram.com/p/B2ZCDzOAasQ/	ginichang
😍😍😍這個造型好可愛！！	smileee.j	11	593	http://instagram.com/p/B2ZCDzOAasQ/	ginichang
Yao leng gini 😍 gorgeous	funga38	11	593	http://instagram.com/p/B2ZCDzOAasQ/	ginichang
😍😍💛💛	meilisa_5522	11	593	http://instagram.com/p/B2ZCDzOAasQ/	ginichang
Aiyoh 超可爱的妹妹 😆😻💗💕	tanatdaman	11	593	http://instagram.com/p/B2ZCDzOAasQ/	ginichang
妹妹頭👍	az60319	11	593	http://instagram.com/p/B2ZCDzOAasQ/	ginichang
#	ginichang	8	285	http://instagram.com/p/B11FeahHPex/	ginichang
好美哦❤️	itsginifans	8	285	http://instagram.com/p/B11FeahHPex/	ginichang
😘😘	tingting__89	8	285	http://instagram.com/p/B11FeahHPex/	ginichang
友情赞助💕	alyssapyf	8	285	http://instagram.com/p/B11FeahHPex/	ginichang
還是妳最美😍	mydragon04	8	285	http://instagram.com/p/B11FeahHPex/	ginichang
爱你多多 😘	mai_zhiqiii	8	285	http://instagram.com/p/B11FeahHPex/	ginichang
😍😍😍 繼續加油	fungusmoooo	8	285	http://instagram.com/p/B11FeahHPex/	ginichang
🤮🤮🤮	maxwelllee8888	8	285	http://instagram.com/p/B11FeahHPex/	ginichang
Pm妳又點會真係為咗識其他人🙈	nickfong4504	8	285	http://instagram.com/p/B11FeahHPex/	ginichang
#	ginichang	5	304	http://instagram.com/p/B1bK239gCP3/	ginichang
😍😍😍	elsaninja	5	304	http://instagram.com/p/B1bK239gCP3/	ginichang
@ginichang 加油	ginichang_fanpage	5	304	http://instagram.com/p/B1bK239gCP3/	ginichang
畫得很好！Beauty Gini！！😍😍我沒看錯那是⋯睛？（對不起🤣	smileee.j	5	304	http://instagram.com/p/B1bK239gCP3/	ginichang
@ginichang 很高兴看到你😍	itsginifans	5	304	http://instagram.com/p/B1bK239gCP3/	ginichang
哈哈好漂亮啊😍	tingting__89	5	304	http://instagram.com/p/B1bK239gCP3/	ginichang
#	ginichang	15	403	http://instagram.com/p/B0-4v5-g_Fz/	ginichang
😘😘😘	tingting__89	15	403	http://instagram.com/p/B0-4v5-g_Fz/	ginichang
部Galaxy Note 10+ 令到你事業心好左...果然係機王💪🏻	mmfthmm	15	403	http://instagram.com/p/B0-4v5-g_Fz/	ginichang
晚上做乜嘢嚟啊，個樣有D殘喔🙄🙄	maxwelllee8888	15	403	http://instagram.com/p/B0-4v5-g_Fz/	ginichang
手机很耀眼，你本人更耀眼。😊	juninhotan	15	403	http://instagram.com/p/B0-4v5-g_Fz/	ginichang
You also gorgeous 😍	_yamalilyryo	15	403	http://instagram.com/p/B0-4v5-g_Fz/	ginichang
😍❤	gracewxx90	15	403	http://instagram.com/p/B0-4v5-g_Fz/	ginichang
Gini so attractive with that phone what a cutie❤️	funga38	15	403	http://instagram.com/p/B0-4v5-g_Fz/	ginichang
开始接代言了吗🤩🤩	kaitlin022	15	403	http://instagram.com/p/B0-4v5-g_Fz/	ginichang
Verified	samsung_sg	15	403	http://instagram.com/p/B0-4v5-g_Fz/	ginichang
哈嘍～我有私訊你唷	axy98727	15	403	http://instagram.com/p/B0-4v5-g_Fz/	ginichang
#	ginichang	8	202	http://instagram.com/p/B02gkT5gVnS/	ginichang
昨晚確實”哭”得有”够哭夠可憐” （應該是你吧）	jshuhai	8	202	http://instagram.com/p/B02gkT5gVnS/	ginichang
😂😂😂	iamjoel.low	8	202	http://instagram.com/p/B02gkT5gVnS/	ginichang
HAHAHAHAHHA	vaneszs.h	8	202	http://instagram.com/p/B02gkT5gVnS/	ginichang
Thank you for a splendid 30 minutes as well! ❤️ 比赛加油！！！	heyhihazelle	8	202	http://instagram.com/p/B02gkT5gVnS/	ginichang
🥺🥺🥺我不要吃蟹蟹	karenhott	8	202	http://instagram.com/p/B02gkT5gVnS/	ginichang
#	ginichang	1	247	http://instagram.com/p/B0dpuimA08q/	ginichang
Gini so hard working	funga38	1	247	http://instagram.com/p/B0dpuimA08q/	ginichang
#	ginichang	4	266	http://instagram.com/p/B0TOuI4Ak67/	ginichang
Jiayou💪	nataliekoh98	4	266	http://instagram.com/p/B0TOuI4Ak67/	ginichang
😍😍😍😍😍😍	karenhott	4	266	http://instagram.com/p/B0TOuI4Ak67/	ginichang
Verified	prisceliachan	4	266	http://instagram.com/p/B0TOuI4Ak67/	ginichang
❤️❤️❤️	anniechuasg	4	266	http://instagram.com/p/B0TOuI4Ak67/	ginichang
#	ginichang	9	439	http://instagram.com/p/B0QbRVhgY1G/	ginichang
❤️❤️	ss2019s_	9	439	http://instagram.com/p/B0QbRVhgY1G/	ginichang
❤️	tomtan988	9	439	http://instagram.com/p/B0QbRVhgY1G/	ginichang
支持。加油。	christine_wang89	9	439	http://instagram.com/p/B0QbRVhgY1G/	ginichang
继续努力!😊	juninhotan	9	439	http://instagram.com/p/B0QbRVhgY1G/	ginichang
注定看我西面	emanlai26	9	439	http://instagram.com/p/B0QbRVhgY1G/	ginichang
加油	chon_leong	9	439	http://instagram.com/p/B0QbRVhgY1G/	ginichang
So sweet gini is love ❤️😍	funga38	9	439	http://instagram.com/p/B0QbRVhgY1G/	ginichang
一定支持。	tingting__89	9	439	http://instagram.com/p/B0QbRVhgY1G/	ginichang
Nice shoot!	kwannyyau	9	439	http://instagram.com/p/B0QbRVhgY1G/	ginichang
#	ginichang	10	231	http://instagram.com/p/B0N6jGKALnP/	ginichang
👍	tomtan988	10	231	http://instagram.com/p/B0N6jGKALnP/	ginichang
I have seen u at Funan but dun have chance take photo with u	christine_wang89	10	231	http://instagram.com/p/B0N6jGKALnP/	ginichang
红星大奖	ss2019s_	10	231	http://instagram.com/p/B0N6jGKALnP/	ginichang
Gini 加油 未來冠軍	mmfthmm	10	231	http://instagram.com/p/B0N6jGKALnP/	ginichang
还没正式开始，就被你吸引到了。希望你能成为冠军！一直支持你哦！	jellyeunji	10	231	http://instagram.com/p/B0N6jGKALnP/	ginichang
All the best! C u at the next roadshow!	tingting__89	10	231	http://instagram.com/p/B0N6jGKALnP/	ginichang
天晴加油	az60319	10	231	http://instagram.com/p/B0N6jGKALnP/	ginichang
#	ginichang	4	380	http://instagram.com/p/Bz206LbAPPZ/	ginichang
可以啊，懷疑人生mode 😂	lee_ks	4	380	http://instagram.com/p/Bz206LbAPPZ/	ginichang
😍😍	marcus_chia	4	380	http://instagram.com/p/Bz206LbAPPZ/	ginichang
Ba shou gong Zhu gini❤️	funga38	4	380	http://instagram.com/p/Bz206LbAPPZ/	ginichang
What is your handphone number	pingrogerkangwee	4	380	http://instagram.com/p/Bz206LbAPPZ/	ginichang
#	ginichang	17	306	http://instagram.com/p/Bzs3aN4gilj/	ginichang
😍😍	pistashio_	17	306	http://instagram.com/p/Bzs3aN4gilj/	ginichang
@ginichang 请问你是游客吗？ 去吃新加坡Punggol nasi lemak, chomp chomp 这些都是本地美食😊	donna_0812	17	306	http://instagram.com/p/Bzs3aN4gilj/	ginichang
Jumbo的辣椒螃蟹，发起人肉骨茶，Katong Laksa，Katong Shopping Centre美味起骨鸡饭，天天海南鸡饭，Nakhon Kitchen West Coast泰国菜	robin_lnb	17	306	http://instagram.com/p/Bzs3aN4gilj/	ginichang
Kiss gini❤️😍	funga38	17	306	http://instagram.com/p/Bzs3aN4gilj/	ginichang
Chili crab😋😋😋	sunny.xjh	17	306	http://instagram.com/p/Bzs3aN4gilj/	ginichang
炒蜾条，海南鸡饭，椰江饭，鸭饭，福建面，咖喱鸡米粉。。。	juninhotan	17	306	http://instagram.com/p/Bzs3aN4gilj/	ginichang
腦殘🙄🙄	maxwelllee8888	17	306	http://instagram.com/p/Bzs3aN4gilj/	ginichang
麥皮蝦！	lenglengcherry	17	306	http://instagram.com/p/Bzs3aN4gilj/	ginichang
What is your handphone number	pingrogerkangwee	17	306	http://instagram.com/p/Bzs3aN4gilj/	ginichang
哈囉~我有私訊你唷!😊	ab092632790	17	306	http://instagram.com/p/Bzs3aN4gilj/	ginichang
