comment	commenter	num_comment	num_likes	url	username
Save the earth, its the only planet with chocolate 🍫	haothiannn	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
Dis boi is so cute ❤️😍🙆‍♂️	kittyivan123	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
YIM 😍😍😍😍😍	jennierubybaee	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
deforestation going on behind you?	cherylieee	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
save yourself instead	thxxm_	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
😍😻	simmyyi	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
The background abit fake uh	milkyyys	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
the bear and me look alike.	mdnamsyar	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
nice green screen	thxxm_	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
Save the bear	_mhdafiqq	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
only planet w u also 😣😣	lynnsiah	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
chio	echarrisey	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
cute bear 🤩	shxronz_	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
How u know	rustyy_sheyyy	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
How u know	rustyy_sheyyy	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
อย่างนั้นรึ	pooying_tadam_dam	20	447	http://instagram.com/p/B2olqNrh8ps/	haothiannn
Grateful!	haothiannn	22	475	http://instagram.com/p/B1jVg-jBkDZ/	haothiannn
She say im bad, she prolly right.	haothiannn	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
🔥SachNess🔥	isma_isacc	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
Wah 帅呆了	jeannelawyn	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
barang baik🔥	sayfraushan	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
Wow !! 😍😍	simmyyi	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
😱	mdnamsyar	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
wahh😻😻	neonkiwie	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
cleavage sia!	echarrisey	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
look like vampire 😩🤣😍	peiiyx	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
cRazy la!!!!	jupiterawr	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
🔥🔥	ganesh_____23	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
gahhh 😍	rin.dondo	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
SIRR	haruiyssa	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
makeup oo	janicecwx	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
🤪🤪	janicecwx	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
🤤😍😍😍	notsupergurl	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
hot	yukkiimiyu	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
yr lips are red agn !! 😫	nic.highwayy	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
🔥🔥	_mhdafiqq	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
seduction	cherylieee	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
😍	hweeleetiong	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
pweety	shxronz_	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
oof!! 😍	mayaazahid	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
🔥🔥🔥🔥🔥	dzvlhvlmv	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
💯	_yuki.ng_	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
wahhhh	aadlinn_	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
The Godfather😎	azmah_1.1	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
อืมม์😊	manidaheng	36	419	http://instagram.com/p/B1WYFzxheGG/	haothiannn
 	 	8	341	http://instagram.com/p/B1T2v1XBtEJ/	haothiannn
 	 	8	341	http://instagram.com/p/B1T2v1XBtEJ/	haothiannn
 	 	8	341	http://instagram.com/p/B1T2v1XBtEJ/	haothiannn
 	 	8	341	http://instagram.com/p/B1T2v1XBtEJ/	haothiannn
 	 	8	341	http://instagram.com/p/B1T2v1XBtEJ/	haothiannn
 	 	8	341	http://instagram.com/p/B1T2v1XBtEJ/	haothiannn
 	 	8	341	http://instagram.com/p/B1T2v1XBtEJ/	haothiannn
 	 	8	341	http://instagram.com/p/B1T2v1XBtEJ/	haothiannn
breakup with ur boyfriend, im bored	haothiannn	63	492	http://instagram.com/p/B1EPvUuhIPP/	haothiannn
Hottie	elroy_chua	63	492	http://instagram.com/p/B1EPvUuhIPP/	haothiannn
no, i love him too much 😤❤️	cherylieee	63	492	http://instagram.com/p/B1EPvUuhIPP/	haothiannn
but you my boYFRIEND :-(	echarrisey	63	492	http://instagram.com/p/B1EPvUuhIPP/	haothiannn
🔥🔥🔥	traheoj	63	492	http://instagram.com/p/B1EPvUuhIPP/	haothiannn
why didn’t you fall	shxronz_	63	492	http://instagram.com/p/B1EPvUuhIPP/	haothiannn
🔥🔥🔥	ganesh_____23	63	492	http://instagram.com/p/B1EPvUuhIPP/	haothiannn
Y the lipstick tho?	azmah_1.1	63	492	http://instagram.com/p/B1EPvUuhIPP/	haothiannn
Oh why didnt u fall ?	fryingchickennn	63	492	http://instagram.com/p/B1EPvUuhIPP/	haothiannn
Stay on the male road man	azmah_1.1	63	492	http://instagram.com/p/B1EPvUuhIPP/	haothiannn
