comment	commenter	num_comment	num_likes	url	username
First time judging alongside with these wonderful people and it was awesome !!! Seeing things in a judge point of view is something really different and i definitely learned a lot. I really have to say that each and everyone of you is amazinggggg. Thank you @ntuuocpageant for having me 🙏🙏🙏 and thank you @addielow for this opportunity ❤❤❤	iamhermankeh	6	298	http://instagram.com/p/B2thu7ElsBQ/	iamhermankeh
Wow famous 😘	tingting__89	6	298	http://instagram.com/p/B2thu7ElsBQ/	iamhermankeh
❤️❤️❤️	addielow	6	298	http://instagram.com/p/B2thu7ElsBQ/	iamhermankeh
Solid lar bro hahaha	thiruuu_k	6	298	http://instagram.com/p/B2thu7ElsBQ/	iamhermankeh
😻woohoo 帥	bridget_cm	6	298	http://instagram.com/p/B2thu7ElsBQ/	iamhermankeh
FIRST TIME PAINTING !!! ❤❤❤ Ever since the day i had to design for tote bags during the roadshow, i fell in love with drawing. It allows me to express myself in another way apart from dancing !!! Definitely not there yet but i am grateful that i started !!! KEEP LEARNING, KEEP FINDING NEW WAYS TO INTEREST YOURSELF !!! IF I CAN DO IT SO CAN YOU !!!!	iamhermankeh	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
@nataliekoh98 🙏🙏🙏	iamhermankeh	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
its damn nice GOOD JOB FAM	athinakamarudin	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
@athinakamarudin thanks mateeeeee	iamhermankeh	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
wtf ur caption hahahahahaha	aliciaxueli	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
@aliciaxueli 怎么了？	iamhermankeh	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
🤔还是跳舞比较好！	jenneoz	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
@jenneoz 真的吗？哈哈哈哈	iamhermankeh	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
Nice siaaaa	natasha.fawz	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
@natasha.fawz @athinakamarudin inspiration for SAMH	shaniareginaa	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
@natasha.fawz thanks mateeeeeee	iamhermankeh	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
@shaniareginaa haha ask Herman to conduct a painting class	natasha.fawz	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
U buy the painting one right think idk	shermankeh	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
@shermankeh ?_?	iamhermankeh	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
I am infinitely surprised omg proud of u🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️ HAHAHAHAHA	rustyy_sheyyy	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
@rustyy_sheyyy HAHAHAH THANKSSSSS	iamhermankeh	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
Eh nice leh	calxwriter	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
@calxwriter 🙏🙏🙏	iamhermankeh	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
i remember what u drew on my papers during sec sch. i hope u dun draw those things anymore	_yomole	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
@_yomole the mole?	iamhermankeh	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
@iamhermankeh LOL	nutcayce	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
Love drawing ah? Like that can draw 23 of us not 😛	ohyushi	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
I want to grow up to be a drawer like you	jacobjlau	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
@iamhermankeh LOL	nutcayce	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
I want to grow up to be a drawer like you	jacobjlau	28	291	http://instagram.com/p/B2oOsTflLdg/	iamhermankeh
Had lots of fun at BUGIS+ today !! Which photo is your favourite?? Saving the earth is definitely not easy but we can always start small 🤗🤗🤗 I always try to carry the things i buy with my hands unless i really need a plastic bag hahahhah when there is a will, there is a way !!! So how do you save the earth????? @ch8sg #StarSearch2019 #SparkTheNext	iamhermankeh	6	218	http://instagram.com/p/B2bnuVzFvDD/	iamhermankeh
My favourite photo is the woahsationz saitama	pamkeh	6	218	http://instagram.com/p/B2bnuVzFvDD/	iamhermankeh
Hahahha dope	stylobin	6	218	http://instagram.com/p/B2bnuVzFvDD/	iamhermankeh
Hehe nice lah!!! Mine is always carry my own shopping bag along to put all my stuffs i bought inside so no need any plastic bag.	lovedance	6	218	http://instagram.com/p/B2bnuVzFvDD/	iamhermankeh
Nice seeing u all!	tingting__89	6	218	http://instagram.com/p/B2bnuVzFvDD/	iamhermankeh
Another opportunity to share. Another chance to inspire. 🙌🙌🙌 WHUHUUUUUU. A big thank you to all those who came !!! You guys are a wonderful bunch of people to teach.❤❤❤ Thank you @jjunrui for asking me to do this together. Thank you @srethgie for the platform. TILL NEXT TIMEEEEEE !!! 比赛靠的是实力不是运气。	iamhermankeh	6	259	http://instagram.com/p/B2QQtZKlCx-/	iamhermankeh
WHUHUUUUUU	windy_alexander	6	259	http://instagram.com/p/B2QQtZKlCx-/	iamhermankeh
Brother	jjunrui	6	259	http://instagram.com/p/B2QQtZKlCx-/	iamhermankeh
