comment	commenter	num_comment	num_likes	url	username
 	 	0	38	http://instagram.com/p/B2hOGaWnGoS/	iamjoel.low
感谢今天前来支持我们的朋友！💕	iamjoel.low	8	144	http://instagram.com/p/B2cCXbfnN4m/	iamjoel.low
Spent a lovely afternoon together with Emily of Emerald Hill today! 💕	iamjoel.low	2	78	http://instagram.com/p/B2ZXQ8UnUsa/	iamjoel.low
If you believe you can, you will make it! Have Faith and attracts positive! 💪	jsjoycestella	2	78	http://instagram.com/p/B2ZXQ8UnUsa/	iamjoel.low
❤️❤️😂😍	t4an4duy	2	78	http://instagram.com/p/B2ZXQ8UnUsa/	iamjoel.low
最近的空气质量实在不太好！😥 如果大家出门的话，一定要记得戴上口罩、保护自己！😷 我也希望大家明天下午可以跟我们一起为环保出一份力！💪 让我们一起增长对环保的知识，一起爱护我们亲爱的地球！❤️ 🌈 🌎	iamjoel.low	1	57	http://instagram.com/p/B2ZPg5Sn_aN/	iamjoel.low
💪💪💪	tingting__89	1	57	http://instagram.com/p/B2ZPg5Sn_aN/	iamjoel.low
 	 	0	41	http://instagram.com/p/B2UU6Lvn1Ew/	iamjoel.low
今晚看了《天气之子》之后感触良多。戏中的男主角为了逃离平凡的乡下日子、自己一人跑去东京讨个生活。让我回想起了自己在纽约的那一段日子...	iamjoel.low	1	73	http://instagram.com/p/B2URuobnLYb/	iamjoel.low
Sometimes loneliness and sadness can creep silently into our lives like the dark clouds in the sky. And it seems impossible to break out of them no matter what you do.	iamjoel.low	2	80	http://instagram.com/p/B2RoFb_nGkJ/	iamjoel.low
I do feel that way too	tingting__89	2	80	http://instagram.com/p/B2RoFb_nGkJ/	iamjoel.low
Thank you for your courage in sharing your story, Joel..sending you love and light. ❤️✨	smhff	2	80	http://instagram.com/p/B2RoFb_nGkJ/	iamjoel.low
 	 	4	69	http://instagram.com/p/B2PAYqtHuL4/	iamjoel.low
 	 	4	69	http://instagram.com/p/B2PAYqtHuL4/	iamjoel.low
 	 	4	69	http://instagram.com/p/B2PAYqtHuL4/	iamjoel.low
 	 	4	69	http://instagram.com/p/B2PAYqtHuL4/	iamjoel.low
 	 	4	69	http://instagram.com/p/B2PAYqtHuL4/	iamjoel.low
纽约。	iamjoel.low	9	103	http://instagram.com/p/B2JeVVaHCSj/	iamjoel.low
加油！我們撐你。	joel.low.fanpage	9	103	http://instagram.com/p/B2JeVVaHCSj/	iamjoel.low
加油!💪💪	tingting__89	9	103	http://instagram.com/p/B2JeVVaHCSj/	iamjoel.low
真的需要很大的勇气，加油🙌	zetongteoh	9	103	http://instagram.com/p/B2JeVVaHCSj/	iamjoel.low
你的行程我的梦想😘	ling9131	9	103	http://instagram.com/p/B2JeVVaHCSj/	iamjoel.low
💪	huipingfoo	9	103	http://instagram.com/p/B2JeVVaHCSj/	iamjoel.low
音乐。🎶	iamjoel.low	1	59	http://instagram.com/p/B2EFDpSnvR8/	iamjoel.low
💪💪 你。们才华们都有吗??	tingting__89	1	59	http://instagram.com/p/B2EFDpSnvR8/	iamjoel.low
 	 	13	86	http://instagram.com/p/B1-kUTunfwJ/	iamjoel.low
 	 	13	86	http://instagram.com/p/B1-kUTunfwJ/	iamjoel.low
 	 	13	86	http://instagram.com/p/B1-kUTunfwJ/	iamjoel.low
 	 	13	86	http://instagram.com/p/B1-kUTunfwJ/	iamjoel.low
 	 	13	86	http://instagram.com/p/B1-kUTunfwJ/	iamjoel.low
 	 	13	86	http://instagram.com/p/B1-kUTunfwJ/	iamjoel.low
Such a cute mini me! ☺️ Thank you @joel.low.fanpage for creating this! 💕 💕	iamjoel.low	5	84	http://instagram.com/p/B155LB_nGie/	iamjoel.low
😍😍 we're glad to do this for u. :)	joel.low.fanpage	5	84	http://instagram.com/p/B155LB_nGie/	iamjoel.low
Cute. I wanna do also but I not sure what app. @iamjoel.low	tingting__89	5	84	http://instagram.com/p/B155LB_nGie/	iamjoel.low
So cute!	jimixu1313	5	84	http://instagram.com/p/B155LB_nGie/	iamjoel.low
