comment	commenter	num_comment	num_likes	url	username
 	 	6	96	http://instagram.com/p/B2n9QpkgkuS/	juin66
 	 	6	96	http://instagram.com/p/B2n9QpkgkuS/	juin66
 	 	6	96	http://instagram.com/p/B2n9QpkgkuS/	juin66
 	 	6	96	http://instagram.com/p/B2n9QpkgkuS/	juin66
我常到餐厅想点🥛一杯热水	juin66	5	237	http://instagram.com/p/B2gCFN7g1cS/	juin66
这个星期天 Bugis+ 1pm-6pm	juin66	11	191	http://instagram.com/p/B2UA20jA--Y/	juin66
太可惜不能去😭	_yamalilyryo	11	191	http://instagram.com/p/B2UA20jA--Y/	juin66
我要玩那个 cream 的	ohyushi	11	191	http://instagram.com/p/B2UA20jA--Y/	juin66
If I have anything useless, can I bring along like stationery, bagpacks, toys, books, hats, caps, visor caps or everything at home it's useless to me?	vinc_entertain_vincent	11	191	http://instagram.com/p/B2UA20jA--Y/	juin66
@juin66 明天见哦希望明天可以和你换到礼物❤️❤️❤️❤️❤️❤️❤️❤️❤️	exmund	11	191	http://instagram.com/p/B2UA20jA--Y/	juin66
🖤LOVE is in the air🖤	juin66	14	259	http://instagram.com/p/B2N0RLdAU35/	juin66
剪了头发就是清爽👱‍♀️	juin66	5	205	http://instagram.com/p/B2D03RiAhHS/	juin66
好漂亮😍💖	tingting__89	5	205	http://instagram.com/p/B2D03RiAhHS/	juin66
好看哦😍	_yamalilyryo	5	205	http://instagram.com/p/B2D03RiAhHS/	juin66
好好看喔 @juin66, 无论如何我们都爱. 真的很好看喔	juinteh_fanpage	5	205	http://instagram.com/p/B2D03RiAhHS/	juin66
😁👱‍♀️	huipingfoo	5	205	http://instagram.com/p/B2D03RiAhHS/	juin66
好漂亮😍❤️	gracewxx90	5	205	http://instagram.com/p/B2D03RiAhHS/	juin66
这个马来西亚🇲🇾国庆日	juin66	11	296	http://instagram.com/p/B10RKPIgcVB/	juin66
为什么没有我3/4的脸	_okjared	11	296	http://instagram.com/p/B10RKPIgcVB/	juin66
The 3rd picture damn nice sia 👍	zhaisiming	11	296	http://instagram.com/p/B10RKPIgcVB/	juin66
🇲🇾🇲🇾🇲🇾 happy merdeka	zetongteoh	11	296	http://instagram.com/p/B10RKPIgcVB/	juin66
😄	linxiaoci4	11	296	http://instagram.com/p/B10RKPIgcVB/	juin66
哇! 我看到 Alyssa了! 😆😆谢谢你昨天post你和她的合照💖💖 明天活动加油!💪💪	tingting__89	11	296	http://instagram.com/p/B10RKPIgcVB/	juin66
@zhaisiming @juin66 我们的男神和六月的合照赞啊！~ 男的帅，女的美！~👍👍👍👍👍😍😍♥️♥️♥️♥️	flywithsiming	11	296	http://instagram.com/p/B10RKPIgcVB/	juin66
💗💗	pistashio_	11	296	http://instagram.com/p/B10RKPIgcVB/	juin66
😝😝😝	iamjoel.low	11	296	http://instagram.com/p/B10RKPIgcVB/	juin66
女神姐姐 😘	mai_zhiqiii	11	296	http://instagram.com/p/B10RKPIgcVB/	juin66
 	 	9	140	http://instagram.com/p/B1yIx-Ogm2T/	juin66
 	 	9	140	http://instagram.com/p/B1yIx-Ogm2T/	juin66
 	 	9	140	http://instagram.com/p/B1yIx-Ogm2T/	juin66
 	 	9	140	http://instagram.com/p/B1yIx-Ogm2T/	juin66
 	 	9	140	http://instagram.com/p/B1yIx-Ogm2T/	juin66
 	 	9	140	http://instagram.com/p/B1yIx-Ogm2T/	juin66
 	 	9	140	http://instagram.com/p/B1yIx-Ogm2T/	juin66
出门🏋🏻‍♀️冒泡	juin66	20	486	http://instagram.com/p/B1sudHmgzTz/	juin66
巧克力～ 💯	heyhihazelle	20	486	http://instagram.com/p/B1sudHmgzTz/	juin66
