comment	commenter	num_comment	num_likes	url	username
🎵 she's in the rain - the rose	pistashio_	8	397	http://instagram.com/p/B2tjSS1HB1r/	pistashio_
Wow can u sing in the rain??💖	tingting__89	8	397	http://instagram.com/p/B2tjSS1HB1r/	pistashio_
I went for the exhibition 3 months ago, might go again sometime next mth 😁	tanatdaman	8	397	http://instagram.com/p/B2tjSS1HB1r/	pistashio_
Hey wait, isnt the exhibition closed from 16 to 30th Sept? I guess this was taken much earlier	tanatdaman	8	397	http://instagram.com/p/B2tjSS1HB1r/	pistashio_
song choice 👌🏻	tiararedwan	8	397	http://instagram.com/p/B2tjSS1HB1r/	pistashio_
😍	the_hair_clip_store	8	397	http://instagram.com/p/B2tjSS1HB1r/	pistashio_
Omg yessss LUV THAT SONG	krystalnamu	8	397	http://instagram.com/p/B2tjSS1HB1r/	pistashio_
Wa	sohyasauce	8	397	http://instagram.com/p/B2tjSS1HB1r/	pistashio_
 	 	1	173	http://instagram.com/p/B2q-ugFnK-R/	pistashio_
 	 	1	173	http://instagram.com/p/B2q-ugFnK-R/	pistashio_
congrats @bryanwwong on the movie premiere of 《爱本》 The Playbook!! was so inspiring to see everyone's hard work on the big screen and it also brought back good memories for me 🎬✨ #freshtakes	pistashio_	13	400	http://instagram.com/p/B2mMnPDggnh/	pistashio_
Let’s meet up soon. Hahaha	cheahow_g	13	400	http://instagram.com/p/B2mMnPDggnh/	pistashio_
U did a small role in the show right?? @pistashio_ U look great and look a bit like Tay Ying from far! 😘	tingting__89	13	400	http://instagram.com/p/B2mMnPDggnh/	pistashio_
Verified	bryanwwong	13	400	http://instagram.com/p/B2mMnPDggnh/	pistashio_
Wow!! 👍😍❤ nice seeing ya just now and so sorry mistook you for Sheryl😅 Promise I won't again and Jiayou for semi final and final of Star search!!	gracewxx90	13	400	http://instagram.com/p/B2mMnPDggnh/	pistashio_
17 MONTHS to save our planet from irreversible damage??! that's how serious global warming is, making ungodly changes to our temperatures and sea levels 😭	pistashio_	3	414	http://instagram.com/p/B2bvf18nr1-/	pistashio_
Beautiful lady❤️	nataliekoh98	3	414	http://instagram.com/p/B2bvf18nr1-/	pistashio_
Nice to see you again ytd, Nat... btw Ivealways thought that you look like Zheng Geping's daughter from certain angles 😅😅😍😍	tanatdaman	3	414	http://instagram.com/p/B2bvf18nr1-/	pistashio_
Thanks for that day! Glad to be part of this event💖	tingting__89	3	414	http://instagram.com/p/B2bvf18nr1-/	pistashio_
 	 	2	122	http://instagram.com/p/B2W6kGwHulf/	pistashio_
 	 	2	122	http://instagram.com/p/B2W6kGwHulf/	pistashio_
 	 	2	122	http://instagram.com/p/B2W6kGwHulf/	pistashio_
