comment	commenter	num_comment	num_likes	url	username
Global warming is the greatest environmental threat we face. Looks what it’s doing to our sea levels and temperature! ☹️ Am glad to be part of the Saving Gaia Sustainability Living Drive yesterday at Bugis+ to promote sustainability and ways to save the Earth. We took part in various activities which involves recycling old items, using kinetic energy to power up phones and designing tote bags to reduce the use of plastics!	tylertennn	7	393	http://instagram.com/p/B2eB9DbHB1u/	tylertennn
Save me too	evolsivart	7	393	http://instagram.com/p/B2eB9DbHB1u/	tylertennn
☹♻️🌎	huipingfoo	7	393	http://instagram.com/p/B2eB9DbHB1u/	tylertennn
but you the only causing the global warming hottie	andynation_	7	393	http://instagram.com/p/B2eB9DbHB1u/	tylertennn
💗👍🏽	gail_boj	7	393	http://instagram.com/p/B2eB9DbHB1u/	tylertennn
😍	snow_sa2109	7	393	http://instagram.com/p/B2eB9DbHB1u/	tylertennn
👍	tingting__89	7	393	http://instagram.com/p/B2eB9DbHB1u/	tylertennn
❤️❤️❤️❤️lovely smile	cal81007	7	393	http://instagram.com/p/B2eB9DbHB1u/	tylertennn
👍	tingting__89	7	393	http://instagram.com/p/B2eB9DbHB1u/	tylertennn
❤️❤️❤️❤️lovely smile	cal81007	7	393	http://instagram.com/p/B2eB9DbHB1u/	tylertennn
祝大家中秋节快乐! (Still looking for my 🥮..) #TimberlandSG	tylertennn	9	318	http://instagram.com/p/B2WaEdtHZgP/	tylertennn
Happy Mooncake Festival!	viviannkailey	9	318	http://instagram.com/p/B2WaEdtHZgP/	tylertennn
祝你和家人中秋节快乐！	tylerten_fans_page	9	318	http://instagram.com/p/B2WaEdtHZgP/	tylertennn
🥮	huipingfoo	9	318	http://instagram.com/p/B2WaEdtHZgP/	tylertennn
Sponsor me also leh	evolsivart	9	318	http://instagram.com/p/B2WaEdtHZgP/	tylertennn
Can sponsor me?🤣	rachwsj	9	318	http://instagram.com/p/B2WaEdtHZgP/	tylertennn
好想跟你一起吃月饼🥮...	zhengxuannn	9	318	http://instagram.com/p/B2WaEdtHZgP/	tylertennn
Nice outfit!	puffgals	9	318	http://instagram.com/p/B2WaEdtHZgP/	tylertennn
🔥	gail_boj	9	318	http://instagram.com/p/B2WaEdtHZgP/	tylertennn
DaDa?	haothiannn	9	318	http://instagram.com/p/B2WaEdtHZgP/	tylertennn
Que será, será	tylertennn	5	330	http://instagram.com/p/B2EMicMHeHs/	tylertennn
What will be will be	yizhongg	5	330	http://instagram.com/p/B2EMicMHeHs/	tylertennn
puta	jer_tan98	5	330	http://instagram.com/p/B2EMicMHeHs/	tylertennn
Sin Pijama	evolsivart	5	330	http://instagram.com/p/B2EMicMHeHs/	tylertennn
hi	hweeleetiong	5	330	http://instagram.com/p/B2EMicMHeHs/	tylertennn
*tyler	hweeleetiong	5	330	http://instagram.com/p/B2EMicMHeHs/	tylertennn
Some behind the scenes photos from my debut clip filming【时间】Really enjoyed myself acting on screen for the first time! Special thanks to @romeotan for the guidance and the amazing team behind it 🙆‍♂️	tylertennn	15	356	http://instagram.com/p/B102AijHSDV/	tylertennn
Nice video 👍🏻👍🏻👍🏻 keep it up 🔥🔥	jimmynzr_94	15	356	http://instagram.com/p/B102AijHSDV/	tylertennn
🔥🔥🔥🔥🔥	fanofmarc	15	356	http://instagram.com/p/B102AijHSDV/	tylertennn
🙆‍♂️	huipingfoo	15	356	http://instagram.com/p/B102AijHSDV/	tylertennn
👍👍👍🔥🔥🔥	hi.janeten	15	356	http://instagram.com/p/B102AijHSDV/	tylertennn
Verified	romeotan	15	356	http://instagram.com/p/B102AijHSDV/	tylertennn
You did well. @tylertennn. Keep on going you can be better de. Jiayou👍👍💪💪☺️☺️🤩🤩😎😎💕💕	xx.felicia_tian.xx	15	356	http://instagram.com/p/B102AijHSDV/	tylertennn
👏🏻👏🏻👏🏻	anniechuasg	15	356	http://instagram.com/p/B102AijHSDV/	tylertennn
😘❤️🙆🏼‍♂️🙏🏻👍🏻👏🏻💪🏻	kennethleesg	15	356	http://instagram.com/p/B102AijHSDV/	tylertennn
Awesome!	qo_kennethzhang	15	356	http://instagram.com/p/B102AijHSDV/	tylertennn
You did well.	leejie.xx	15	356	http://instagram.com/p/B102AijHSDV/	tylertennn
You did really well for a first timer. Jiayou! 💪🏼	tylerten_fans_page	15	356	http://instagram.com/p/B102AijHSDV/	tylertennn
You've gotten a good script I would say. You did well. Jiayouu! 💪🏼💪🏼	viviannkailey	15	356	http://instagram.com/p/B102AijHSDV/	tylertennn
棒棒的！第一次有感覺。	snow_sa2109	15	356	http://instagram.com/p/B102AijHSDV/	tylertennn
Verified	samsung_sg	15	356	http://instagram.com/p/B102AijHSDV/	tylertennn
Being in this journey is certainly not easy, but the 23 of you made it so much more fun and enjoyable. Thank you guys for all the help and support, am so glad to go through it with all of you ❤️	tylertennn	14	381	http://instagram.com/p/B1vjWWFn_5x/	tylertennn
👍	tomtan988	14	381	http://instagram.com/p/B1vjWWFn_5x/	tylertennn
👍🏽👍🏽👍🏽	gail_boj	14	381	http://instagram.com/p/B1vjWWFn_5x/	tylertennn
❤️	16.zeroseven	14	381	http://instagram.com/p/B1vjWWFn_5x/	tylertennn
❤️	huipingfoo	14	381	http://instagram.com/p/B1vjWWFn_5x/	tylertennn
Omg last photo	ohyushi	14	381	http://instagram.com/p/B1vjWWFn_5x/	tylertennn
你们真的师	lowchingyin	14	381	http://instagram.com/p/B1vjWWFn_5x/	tylertennn
加油大师弟	lowchingyin	14	381	http://instagram.com/p/B1vjWWFn_5x/	tylertennn
We'll be here cheering, supporting & backing you always no matter what. Jiayou! 💪🏼 💙	tylerten_fans_page	14	381	http://instagram.com/p/B1vjWWFn_5x/	tylertennn
Will support u with friends as well 💪💪	tingting__89	14	381	http://instagram.com/p/B1vjWWFn_5x/	tylertennn
祝你 才华横溢出新秀 晋级 要加油哦	lowchingyin	14	381	http://instagram.com/p/B1vjWWFn_5x/	tylertennn
好好加油打气	lowchingyin	14	381	http://instagram.com/p/B1vjWWFn_5x/	tylertennn
tylertennn加油	lowchingyin	14	381	http://instagram.com/p/B1vjWWFn_5x/	tylertennn
Had so much fun yesterday at @samsung_sg Galaxy Studio with the amazing company! Thank you everyone who came down to support 🙆‍♂️ Be sure to head down to Plaza Singapura, level 1 atrium and try the gadgets out as tomorrow is the last day! The pre order may be over, but you can still get your hands on the new Note 10+ as it’s now available islandwide! (Swipe —> to watch us play charades and see if you can guess it right 😂)	tylertennn	10	358	http://instagram.com/p/B1jLn4HnxbM/	tylertennn
Sometimes darkness can show you the light	tylertennn	4	279	http://instagram.com/p/B1dpOiJHs3I/	tylertennn
But can they show u da wae?	andynation_	4	279	http://instagram.com/p/B1dpOiJHs3I/	tylertennn
Omg tyler ❤️	cshixinnn	4	279	http://instagram.com/p/B1dpOiJHs3I/	tylertennn
Wow cousin 😊	y.yunyx	4	279	http://instagram.com/p/B1dpOiJHs3I/	tylertennn
😍😮😀😊❤️🤗🔥👏	hweeleetiong	4	279	http://instagram.com/p/B1dpOiJHs3I/	tylertennn
Had an awesome time at @samsung_sg Galaxy Studio! Using wide angle lens to capture the amazing set up and not forgetting the one and only live focus video function with glitch filter on the brand new Galaxy Note 10+ (swipe ->>> to watch) Head down to Plaza Singapura and experience it for yourself!	tylertennn	5	318	http://instagram.com/p/B1TcD08nE-F/	tylertennn
Nice!! Great to see u yesterday!	snow_sa2109	5	318	http://instagram.com/p/B1TcD08nE-F/	tylertennn
Verified	samsung_sg	5	318	http://instagram.com/p/B1TcD08nE-F/	tylertennn
Great interaction with everyone & hope you enjoyed yourself too! See you again! 💪🏼	tylerten_fans_page	5	318	http://instagram.com/p/B1TcD08nE-F/	tylertennn
👍🔥	tomtan988	5	318	http://instagram.com/p/B1TcD08nE-F/	tylertennn
น่ารักมากๆทุกคน	pooying_tadam_dam	5	318	http://instagram.com/p/B1TcD08nE-F/	tylertennn
Paint the sky, make it your own	tylertennn	4	299	http://instagram.com/p/B1Lm05zHJ1k/	tylertennn
Fuhh😍	ongxavier	4	299	http://instagram.com/p/B1Lm05zHJ1k/	tylertennn
Paint me too 💕	andynation_	4	299	http://instagram.com/p/B1Lm05zHJ1k/	tylertennn
🔥🔥	skyzsun	4	299	http://instagram.com/p/B1Lm05zHJ1k/	tylertennn
你很师	lowchingyin	4	299	http://instagram.com/p/B1Lm05zHJ1k/	tylertennn
🔥🔥	skyzsun	4	299	http://instagram.com/p/B1Lm05zHJ1k/	tylertennn
你很师	lowchingyin	4	299	http://instagram.com/p/B1Lm05zHJ1k/	tylertennn
One of the most memorable National Day celebrations ever 🇸🇬 🙌	tylertennn	4	299	http://instagram.com/p/B1EGeFanR1z/	tylertennn
Well done! 🙌	wwjddreamz	4	299	http://instagram.com/p/B1EGeFanR1z/	tylertennn
Keh kiang	yizhongg	4	299	http://instagram.com/p/B1EGeFanR1z/	tylertennn
💪💪	tylerten_fans_page	4	299	http://instagram.com/p/B1EGeFanR1z/	tylertennn
🇸🇬🙌	huipingfoo	4	299	http://instagram.com/p/B1EGeFanR1z/	tylertennn
💪💪	tylerten_fans_page	4	299	http://instagram.com/p/B1EGeFanR1z/	tylertennn
🇸🇬🙌	huipingfoo	4	299	http://instagram.com/p/B1EGeFanR1z/	tylertennn
GUESS if you want to know❓	tylertennn	4	337	http://instagram.com/p/B05hPOKH25L/	tylertennn
鸡帅一下有没有	zhaisiming	4	337	http://instagram.com/p/B05hPOKH25L/	tylertennn
😚 @tylertennn 💘 apa mungkin dikehidupan yang lalu kita berpacaran 👬	wellykoestiadisoetanto	4	337	http://instagram.com/p/B05hPOKH25L/	tylertennn
Cantik 🤤	bitofskyy	4	337	http://instagram.com/p/B05hPOKH25L/	tylertennn
Takde nak tahu ah	leejie.xx	4	337	http://instagram.com/p/B05hPOKH25L/	tylertennn
Don’t forget to train your thumb muscles by doing a few sets of texting in the gym 💪	tylertennn	9	402	http://instagram.com/p/B00adMrnp62/	tylertennn
Yes daddy	yizhongg	9	402	http://instagram.com/p/B00adMrnp62/	tylertennn
💪	tylerten_fans_page	9	402	http://instagram.com/p/B00adMrnp62/	tylertennn
Omg you are so funny 😄	zhaisiming	9	402	http://instagram.com/p/B00adMrnp62/	tylertennn
Who is Millie?	evolsivart	9	402	http://instagram.com/p/B00adMrnp62/	tylertennn
💪	huipingfoo	9	402	http://instagram.com/p/B00adMrnp62/	tylertennn
Looking so suave and yandao !	feb01mel	9	402	http://instagram.com/p/B00adMrnp62/	tylertennn
Advertising for @samsung_sg ?	nicholasdelfinoo	9	402	http://instagram.com/p/B00adMrnp62/	tylertennn
Sets + text =	andynation_	9	402	http://instagram.com/p/B00adMrnp62/	tylertennn
Trolol	abounding_light	9	402	http://instagram.com/p/B00adMrnp62/	tylertennn
