comment	commenter	num_comment	num_likes	url	username
“Do not wait; the time will never be ‘just right.’ Start where you stand, and work with whatever tools you may have at your command, and better tools will be found as you go along.” —George Herbert	zane_lim	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
Your white pants not dirty ah	glenthez	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
@glenthez nopeeeeee 😂	zane_lim	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
My inspiration❤️	iamhermankeh	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
@iamhermankeh You are my everything ❤️❤️	zane_lim	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
Wow r u my 白马王子??😘😘	tingting__89	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
Nice 🤙🏼	wen_kang_	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
Wow I’m your biggest fan !!!😍	clarencetayyy	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
@clarencetayyy same heree!! 😆😆😆	zane_lim	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
love you @zane_lim ❤️❤️ please reply	faithkohh	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
@faithkohh hi 😂	zane_lim	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
I wanna be your tools... use me as you like 🥰	zhengxuannn	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
@zhengxuannn this tool useless	glenthez	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
@glenthez 🔫	zhengxuannn	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
哎哟 儿子这么帅	rustyy_sheyyy	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
@rustyy_sheyyy 世上只有妈妈好👍🏽	zane_lim	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
@zane_lim 最好是	rustyy_sheyyy	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
@rustyy_sheyyy haha	tingting__89	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
😍❤😍❤	zaneration	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
👍😍😍	hendrakoh	21	571	http://instagram.com/p/B2tkYBwHIDs/	zane_lim
