comment	commenter	num_comment	num_likes	url	username
DollarsAndSense is at the AIA #OneMoreHour of sleep event, where Professor Michael Chee, one of Asia's leading sleep experts, shared valuable insights into sleeping habits, and Mr Stuart Spencer, AIA Group CMO, shared the insurer's commitment to continue talking about sleep for as long as it takes.	dnssingapore	0	16	http://instagram.com/p/B2dtrB8HuHq/	dnssingapore
DollarsAndSense Managing Editor was present at the Kidpreneur Bazaar this afternoon to give out the Creative Kidpreneur award!	dnssingapore	0	25	http://instagram.com/p/B100yHtHups/	dnssingapore
The Search For Yield In Growing Wealth 💰💰	dnssingapore	0	13	http://instagram.com/p/B1iYXQ5Hf4a/	dnssingapore
An infographic highlighting the changes for those that prefer visuals > articles 🤩	dnssingapore	0	31	http://instagram.com/p/B1V3iA_nOi5/	dnssingapore
 	 	0	5	http://instagram.com/p/B1U9criHb34/	dnssingapore
Over the last 5 years, growth in household income has fortunately outpaced household expenditure, except for those in the lowest 20%.	dnssingapore	0	4	http://instagram.com/p/B1KtJvancpw/	dnssingapore
💡9 Practical Ways To Save Money On Your Electricity Bill In Singapore – And Save The Earth At The Same Time 🌍	dnssingapore	0	10	http://instagram.com/p/B0x2aTKHrLv/	dnssingapore
(Updated) What Is P2P Lending And How Can You Invest In Singapore 🤔	dnssingapore	0	10	http://instagram.com/p/B0pOwfSn211/	dnssingapore
Investing In Yourself: Here’s What Every Student Needs To Know Before Entering The Working World 😚	dnssingapore	0	12	http://instagram.com/p/B0mrXPCn1I5/	dnssingapore
“Hi, my name is ......”❌ 4 Reasons Why You Should Take “Get-Rich-Quick” Ads On Facebook And YouTube With A Big Handful Of Salt 🧂	dnssingapore	0	11	http://instagram.com/p/B0kFzxQHObz/	dnssingapore
We have reached 5,000 subscribers on our telegram channel! A big thank you to all our readers who have supported us all these while 🙂 If you have not followed our telegram channel, you can find us @ dollarsandsense 🤗	dnssingapore	0	17	http://instagram.com/p/B0iF5iEH6q1/	dnssingapore
🏦 Deutsche Bank Recently Axed 18,000 Jobs Globally. Here Are 5 Hard Truths I Learned About The Corporate World 👨🏻‍💻 Read more at: https://dollarsandsense.sg/deutsche-bank-recently-axed-18000-jobs-globally-5-hard-truths-learned-working-world/	dnssingapore	1	18	http://instagram.com/p/B0hnDphHU63/	dnssingapore
They Gave Thrumph a Loan!	slvrchrm	1	18	http://instagram.com/p/B0hnDphHU63/	dnssingapore
Hi folks! How’s your Monday going? ☀️ Did you know that around 3,350 units are up for grabs in Punggol and Tampines during the upcoming August 2019 HDB Build-To-Order sales launch? 🙂	dnssingapore	0	6	http://instagram.com/p/B0fRM0BHEnF/	dnssingapore
🎉 5 Blessings In Life That Can Turn Out To Be A Curse ☹️ – If You’re Not Financially Prepared For Them	dnssingapore	0	5	http://instagram.com/p/B0XewpTHxDk/	dnssingapore
🤔💡4 Things You Never Knew You Can Do With The National Library Board App:	dnssingapore	0	6	http://instagram.com/p/B0UrjutH-lY/	dnssingapore
If you’re thinking of buying a new Executive Condominium, here’s what you need to know about the eligibility, financing and process of making that dream a reality. 🏢👌🏼 Read more at: https://dollarsandsense.sg/complete-first-timers-guide-to-buying-a-new-executive-condominium-ec-in-singapore/	dnssingapore	0	9	http://instagram.com/p/B0SFNIfnEqW/	dnssingapore
🎶🍱🍵🍠 In two years, Don Don Donki has grown to become one of Singapore’s most beloved retail stores. Here’s how the megachain uses consumer behaviour and psychology to get you to spend more 😱😏 Read more at: https://dollarsandsense.sg/7-subtle-sales-techniques-don-don-donki-outlets-using-get-spend/	dnssingapore	0	17	http://instagram.com/p/B0PihZ6nKem/	dnssingapore
Recently, DollarsAndSense held an Ask-Me-Anything (AMA) session with Vincent Ee, the CEO and Co-Founder of Financial Alliance, Singapore’s largest independent financial advisory firm.	dnssingapore	0	4	http://instagram.com/p/B0NwMaDnjGG/	dnssingapore
How Much Do Young Singaporean Couples Really Know About BTO Flats?	dnssingapore	0	16	http://instagram.com/p/B0KrSpgHXt8/	dnssingapore
Happy Saturday! ☀️ You don’t have to leave Singapore to feed goats and experience how it is like to grow crops 🥬🐄🐐 P.S. Bring the kids along too! 😃	dnssingapore	0	7	http://instagram.com/p/B0HzzUynn3G/	dnssingapore
