comment	commenter	num_comment	num_likes	url	username
Testing light like how I experiment with life through trial and error.	gail_boj	7	148	http://instagram.com/p/B2tAlp7AlTn/	gail_boj
#sggirls #sgbloggers #asianmodels #hapa #yvrblogger #vancitygirl #90sbabes #chineseactress #asianactress	gail_boj	7	148	http://instagram.com/p/B2tAlp7AlTn/	gail_boj
Sooo freakn cuuuuuute 🔥🤗	sikend	7	148	http://instagram.com/p/B2tAlp7AlTn/	gail_boj
So pretty😘😘	tingting__89	7	148	http://instagram.com/p/B2tAlp7AlTn/	gail_boj
😀😀😀😀	gailboj_fanspage	7	148	http://instagram.com/p/B2tAlp7AlTn/	gail_boj
😍❤	gracewxx90	7	148	http://instagram.com/p/B2tAlp7AlTn/	gail_boj
😊❤️❤️❤️❤️	kodarot_spiegzumaki	7	148	http://instagram.com/p/B2tAlp7AlTn/	gail_boj
😍😍😍❤️❤️❤️	sweeboonfoong	7	148	http://instagram.com/p/B2tAlp7AlTn/	gail_boj
Hi what’s up	gail_boj	12	257	http://instagram.com/p/B2g5j-Phywq/	gail_boj
Hi yo! What's up Pretty??😍	tingting__89	12	257	http://instagram.com/p/B2g5j-Phywq/	gail_boj
Yo! What's up u need a date?? @gail_boj	gailboj_fanspage	12	257	http://instagram.com/p/B2g5j-Phywq/	gail_boj
Yo yo, gal!!😍❤	gracewxx90	12	257	http://instagram.com/p/B2g5j-Phywq/	gail_boj
So beautiful sister 😍	elvn_xiee	12	257	http://instagram.com/p/B2g5j-Phywq/	gail_boj
Beautiful😍❤️❤️❤️❤️	kodarot_spiegzumaki	12	257	http://instagram.com/p/B2g5j-Phywq/	gail_boj
😊😍😘😘Cute	jems.dc.1	12	257	http://instagram.com/p/B2g5j-Phywq/	gail_boj
漂亮哟！中国选手就是秒杀群雄	__evvvelyn	12	257	http://instagram.com/p/B2g5j-Phywq/	gail_boj
🍉💗😬😬😬 #savinggaiasg #starsearch2019 #sparkthenext	gail_boj	5	112	http://instagram.com/p/B2eZ3sFBOUZ/	gail_boj
That's smile with teeth so precious!😘	tingting__89	5	112	http://instagram.com/p/B2eZ3sFBOUZ/	gail_boj
Gorgeous😘	gailboj_fanspage	5	112	http://instagram.com/p/B2eZ3sFBOUZ/	gail_boj
#怎么会爱上了他#并决定跟他回家🔥🔥🔥🔥 #放弃了我的所有我的一切无所谓⭐️⭐️⭐️⭐️⭐️⭐️⭐️ #纸短情长啊#诉不完当时年少✨✨✨✨✨✨✨✨✨✨	90909.11	5	112	http://instagram.com/p/B2eZ3sFBOUZ/	gail_boj
📸😎👍	wwwjimmsycom	5	112	http://instagram.com/p/B2eZ3sFBOUZ/	gail_boj
Beautiful ❤️	anthea.mattioli	5	112	http://instagram.com/p/B2eZ3sFBOUZ/	gail_boj
Thank you everyone for coming down to the #savinggaiasg event yesterday 🌏 Let’s all make an effort towards protecting our Earth, starting with reducing our plastic consumption. Every bit counts! 💗	gail_boj	18	191	http://instagram.com/p/B2eYxYWBsi4/	gail_boj
Celebrity status 🌟😆	gail_boj	3	96	http://instagram.com/p/B2bqT_fB6ax/	gail_boj
Wow nice⭐️	tingting__89	3	96	http://instagram.com/p/B2bqT_fB6ax/	gail_boj
U r a celebrity😘	gailboj_fanspage	3	96	http://instagram.com/p/B2bqT_fB6ax/	gail_boj
