comment	commenter	date	num_comment	num_likes	url	username
 	 	2019-10-18T03:53:28.000Z	0	3	http://instagram.com/p/B3vsM3eH_z3/	mortgageconsultancy
 	 	2019-10-16T13:00:00.000Z	0	4	http://instagram.com/p/B3rhKBsHUnk/	mortgageconsultancy
 	 	2019-10-13T05:06:07.000Z	0	4	http://instagram.com/p/B3i8inOHsVM/	mortgageconsultancy
Hey there, if you have not visited our Mortgage Consultancy Youtube channel, make sure you do so and hit the “SUBSCRIBE button”! Many good stuff and updates can be found in this channel!	mortgageconsultancy	2019-10-11T06:31:09.000Z	0	3	http://instagram.com/p/B3d8rohnX_M/	mortgageconsultancy
 	 	2019-09-18T10:52:39.000Z	0	4	http://instagram.com/p/B2jMU3MHX7W/	mortgageconsultancy
Learn how you can convert one flat into a brand new condo or even multiple private properties by leveraging on our creative financing methods. 1. NO A.B.S.D 2. Maximum loan of 75%-90% by our bank partners 3. NO CASH upfront for property purchase 4. $100K-$300K as your excess savings 5. A list of undervalued undervalued properties near to MRT stations and good schools less than $1K Psf Curious about it? Click here to find out more. https://www.mortgageconsultancy.com.sg/investors-program	mortgageconsultancy	2019-09-18T01:26:08.000Z	0	4	http://instagram.com/p/B2iLfl3H0L6/	mortgageconsultancy
 	 	2019-09-15T14:59:33.000Z	0	4	http://instagram.com/p/B2b6Mh0HjpD/	mortgageconsultancy
“We advised our home owner client NOT to refinance his mortgage loan!” After our analysing and calculation work, we find out that some home owners are in a better position to stay onto the mortgage loans with their current bank or HDB loan instead.	mortgageconsultancy	2019-09-15T09:38:36.000Z	0	5	http://instagram.com/p/B2bVd3CHLDw/	mortgageconsultancy
LOWEST Home Loan FIXED Rate from 1.8%+!	mortgageconsultancy	2019-09-09T02:35:08.000Z	0	3	http://instagram.com/p/B2LIPCzHdbn/	mortgageconsultancy
 	 	2019-09-07T15:02:13.000Z	0	2	http://instagram.com/p/B2HUJH2HTKo/	mortgageconsultancy
LOWER your Monthly Car Loan Instalments by $200-$500 and Get CASH from our Car Loan Financing.	mortgageconsultancy	2019-09-06T00:56:22.000Z	0	4	http://instagram.com/p/B2DOjARnkHn/	mortgageconsultancy
This Post is for All HDB Owners and Aspiring Property Upgraders!	mortgageconsultancy	2019-09-03T16:24:45.000Z	0	3	http://instagram.com/p/B19KaGenKfD/	mortgageconsultancy
#singapore #motivation #mortgagebroker	mortgageconsultancy	2019-09-03T01:46:28.000Z	0	1	http://instagram.com/p/B17l5ZdnDte/	mortgageconsultancy
 	 	2019-09-01T16:15:39.000Z	0	2	http://instagram.com/p/B13_xrnnM_x/	mortgageconsultancy
Every Obstacle Faced is a Step Closer to Success! ➖➖▶ Comment, Like, & Share The Message!	mortgageconsultancy	2019-09-01T15:54:17.000Z	0	3	http://instagram.com/p/B139Tj6HWCF/	mortgageconsultancy
 	 	2019-09-01T13:38:17.000Z	0	4	http://instagram.com/p/B13txCvHzSW/	mortgageconsultancy
Stay Focus and Don't Look Back! ➖➖▶ Comment, Like, & Share The Message!	mortgageconsultancy	2019-08-28T13:28:50.000Z	0	4	http://instagram.com/p/B1tZe5IHP9f/	mortgageconsultancy
LOWEST Home Loan FIXED Rate from 1.8%+!	mortgageconsultancy	2019-08-26T14:08:06.000Z	0	1	http://instagram.com/p/B1oUaOBHSJI/	mortgageconsultancy
 	 	2019-08-24T13:51:49.000Z	0	3	http://instagram.com/p/B1jI9QJHwin/	mortgageconsultancy
You Don't Try, You Wouldn't Know! ➖➖▶ Comment, Like, & Share The Message!	mortgageconsultancy	2019-08-24T13:32:26.000Z	0	2	http://instagram.com/p/B1jGteCnVig/	mortgageconsultancy
Hey there, if you have not visited our Mortgage Consultancy Youtube channel, make sure you do so and hit the “SUBSCRIBE button”! Many good stuff and updates can be found in this channel!	mortgageconsultancy	2019-08-20T16:37:00.000Z	0	3	http://instagram.com/p/B1ZIrh_HvkK/	mortgageconsultancy
Age is Never a Barrier to Success! ➖➖▶ Comment, Like, & Share The Message!	mortgageconsultancy	2019-08-19T16:09:34.000Z	0	3	http://instagram.com/p/B1Wgux-nqxo/	mortgageconsultancy
 	 	2019-08-19T15:54:12.000Z	0	3	http://instagram.com/p/B1We_MOHi0J/	mortgageconsultancy
Determination with an Optimistic Mind is the Key to Success! ➖➖▶ Comment, Like, & Share The Message!	mortgageconsultancy	2019-08-17T12:06:54.000Z	0	1	http://instagram.com/p/B1Q7W7xn543/	mortgageconsultancy
The Things You Do NOW will Determine Your Future! ➖➖▶ Comment, Like, & Share The Message!	mortgageconsultancy	2019-08-12T12:13:55.000Z	0	2	http://instagram.com/p/B1EEMbanuzs/	mortgageconsultancy
 	 	2019-08-12T00:29:58.000Z	0	2	http://instagram.com/p/B1Czpx4HKOe/	mortgageconsultancy
<NDP Promo Closing Soon!>	mortgageconsultancy	2019-08-11T03:49:26.000Z	0	4	http://instagram.com/p/B1Alr52HjyW/	mortgageconsultancy
 	 	2019-08-11T03:28:48.000Z	0	3	http://instagram.com/p/B1AjUvpn-Pf/	mortgageconsultancy
<We are Open on This Long Public Holiday!>	mortgageconsultancy	2019-08-11T03:21:38.000Z	0	3	http://instagram.com/p/B1AigSlHpPZ/	mortgageconsultancy
<NATIONAL DAY PROMO CLOSING SOON!>	mortgageconsultancy	2019-08-03T15:11:48.000Z	0	2	http://instagram.com/p/B0tNatrnHPE/	mortgageconsultancy
A Goal Without a Plan is Just a Wish! ➖➖▶ Comment, Like, & Share The Message!	mortgageconsultancy	2019-08-02T15:06:15.000Z	0	2	http://instagram.com/p/B0qn9yMnouk/	mortgageconsultancy
Think Out of the Box! ➖➖▶ Comment, Like, & Share The Message!	mortgageconsultancy	2019-08-01T14:11:42.000Z	0	3	http://instagram.com/p/B0n87krnb1Z/	mortgageconsultancy
 	 	2019-08-01T13:57:02.000Z	0	2	http://instagram.com/p/B0n7RPtHSbI/	mortgageconsultancy
What Does It Takes to Achieve Success? ➖➖▶ Comment, Like, & Share The Message!	mortgageconsultancy	2019-07-29T09:18:49.000Z	0	3	http://instagram.com/p/B0ftB6CHIGO/	mortgageconsultancy
No One can Ever Stop You from Pursuing your Dream! ➖➖▶ Comment, Like, & Share The Message!	mortgageconsultancy	2019-07-28T08:14:40.000Z	0	5	http://instagram.com/p/B0dA5G3HjyK/	mortgageconsultancy
