comment	commenter	num_comment	num_likes	url	username
 	 	0	99	http://instagram.com/p/B2ohoB7FYq_/	ohyushi
I just wanna share how excited I was to be able to join Star Search 2019 x Saving Gaia Sustainability Living Drive at Bugis+ today. We were there from about 1-6pm, doing our parts to promote sustainability at 5 different booths (fun)!!! Such a fulfilling experience, and I am so happy to spend the day with you guys.	ohyushi	8	284	http://instagram.com/p/B2cA2p7lmb_/	ohyushi
Sadly because of work so cant go	kooxy14887	8	284	http://instagram.com/p/B2cA2p7lmb_/	ohyushi
OMG THAT ARIEL	claritykisses	8	284	http://instagram.com/p/B2cA2p7lmb_/	ohyushi
Was that drew by you😍	rememberingaloysius	8	284	http://instagram.com/p/B2cA2p7lmb_/	ohyushi
❤️🙏	iamchrissiow	8	284	http://instagram.com/p/B2cA2p7lmb_/	ohyushi
 	 	13	183	http://instagram.com/p/B2G3C-RFlJB/	ohyushi
 	 	13	183	http://instagram.com/p/B2G3C-RFlJB/	ohyushi
 	 	13	183	http://instagram.com/p/B2G3C-RFlJB/	ohyushi
 	 	13	183	http://instagram.com/p/B2G3C-RFlJB/	ohyushi
 	 	13	183	http://instagram.com/p/B2G3C-RFlJB/	ohyushi
 	 	13	183	http://instagram.com/p/B2G3C-RFlJB/	ohyushi
 	 	13	183	http://instagram.com/p/B2G3C-RFlJB/	ohyushi
 	 	13	183	http://instagram.com/p/B2G3C-RFlJB/	ohyushi
 	 	13	183	http://instagram.com/p/B2G3C-RFlJB/	ohyushi
 	 	13	183	http://instagram.com/p/B2G3C-RFlJB/	ohyushi
 	 	13	183	http://instagram.com/p/B2G3C-RFlJB/	ohyushi
Have you guys watched my debut clip yet? I had so much fun on the day of filming and I love how my debut clip turned out in the end!	ohyushi	18	279	http://instagram.com/p/B1ymWy1lM2A/	ohyushi
😍😍	angeliaaa_k	18	279	http://instagram.com/p/B1ymWy1lM2A/	ohyushi
喜欢😍	rinnardour	18	279	http://instagram.com/p/B1ymWy1lM2A/	ohyushi
I watched it!!! So 清秀💕	xoce_lah	18	279	http://instagram.com/p/B1ymWy1lM2A/	ohyushi
好好看的！😍✨	alyssapyf	18	279	http://instagram.com/p/B1ymWy1lM2A/	ohyushi
Congrats!!!	skinnymun	18	279	http://instagram.com/p/B1ymWy1lM2A/	ohyushi
好看!	tingting__89	18	279	http://instagram.com/p/B1ymWy1lM2A/	ohyushi
Verified	samsung_sg	18	279	http://instagram.com/p/B1ymWy1lM2A/	ohyushi
Verified	zaiwang107	18	279	http://instagram.com/p/B1ymWy1lM2A/	ohyushi
😘❤️🙆🏼‍♂️🙏🏻	kennethleesg	18	279	http://instagram.com/p/B1ymWy1lM2A/	ohyushi
Be better, be free.	ohyushi	1	258	http://instagram.com/p/B1tTmgRlw2O/	ohyushi
#StarSearch2019 #MyGalaxyStory	ohyushi	1	258	http://instagram.com/p/B1tTmgRlw2O/	ohyushi
友情不是一幕短暂的烟火，而是一幅真心的画卷; So many photos of us that I wanna post but can't post YET!!! 🙃 (wait for it!). From first meeting to press conference to many many trainings, rehearsals, filming and roadshows... it has been such a fun time with you guys and thanks for making every training so much more enjoyable!!! #StarSearch2019 #SparkTheNext	ohyushi	27	279	http://instagram.com/p/B1lhQgDFtXN/	ohyushi
Awww luv u ❤️	mai_zhiqiii	27	279	http://instagram.com/p/B1lhQgDFtXN/	ohyushi
You're awesome 👍👍	gws89	27	279	http://instagram.com/p/B1lhQgDFtXN/	ohyushi
😉‼️	jiayunxp	27	279	http://instagram.com/p/B1lhQgDFtXN/	ohyushi
❤️👍🔥	verysweetorange1	27	279	http://instagram.com/p/B1lhQgDFtXN/	ohyushi
❤️❤️❤️	kikilzt	27	279	http://instagram.com/p/B1lhQgDFtXN/	ohyushi
Not forgetting @iamjoel.low @zane_lim @yiyangx1sheep @haothiannn 🙆‍♀️	ohyushi	27	279	http://instagram.com/p/B1lhQgDFtXN/	ohyushi
aw cutesss ❤️	pistashio_	27	279	http://instagram.com/p/B1lhQgDFtXN/	ohyushi
❤️❤️❤️❤️	ss2019s_	27	279	http://instagram.com/p/B1lhQgDFtXN/	ohyushi
等我们这张面卷慢慢变老，你还是要一样爱哦 🙆🏻‍♀️	alyssapyf	27	279	http://instagram.com/p/B1lhQgDFtXN/	ohyushi
ya	_okjared	27	279	http://instagram.com/p/B1lhQgDFtXN/	ohyushi
YAS JERNELLE YAS😍	_okjared	27	279	http://instagram.com/p/B1lhQgDFtXN/	ohyushi
OK～我觉得我们是好朋友 post出来的照片里 我都没有很丑～可以，已认证为【好朋友】！😂🖤💐	juin66	27	279	http://instagram.com/p/B1lhQgDFtXN/	ohyushi
👍	tomtan988	27	279	http://instagram.com/p/B1lhQgDFtXN/	ohyushi
 	 	20	204	http://instagram.com/p/B1fiQ0Nlpur/	ohyushi
 	 	20	204	http://instagram.com/p/B1fiQ0Nlpur/	ohyushi
 	 	20	204	http://instagram.com/p/B1fiQ0Nlpur/	ohyushi
 	 	20	204	http://instagram.com/p/B1fiQ0Nlpur/	ohyushi
