comment	commenter	num_comment	num_likes	url	username
 	 	2	119	http://instagram.com/p/B2oZqYxHq9T/	rustyy_sheyyy
 	 	2	119	http://instagram.com/p/B2oZqYxHq9T/	rustyy_sheyyy
 	 	2	119	http://instagram.com/p/B2oZqYxHq9T/	rustyy_sheyyy
I had at amazing time at the Star Search 2019 x Saving Gaia Sustainability Drive yesterday!! I'm so grateful to have had the opportunity to enjoy a whole afternoon with everyone, exchanging preloved items, decorating tote bags, and engaging in manual labour to produce electricity😂	rustyy_sheyyy	2	357	http://instagram.com/p/B2d_Y2GHzUb/	rustyy_sheyyy
Had a great time!! 👍😍❤	gracewxx90	2	357	http://instagram.com/p/B2d_Y2GHzUb/	rustyy_sheyyy
I always keep plastic bags for reuse items!	tingting__89	2	357	http://instagram.com/p/B2d_Y2GHzUb/	rustyy_sheyyy
 	 	12	104	http://instagram.com/p/B2Yq8GOHaa0/	rustyy_sheyyy
 	 	12	104	http://instagram.com/p/B2Yq8GOHaa0/	rustyy_sheyyy
 	 	12	104	http://instagram.com/p/B2Yq8GOHaa0/	rustyy_sheyyy
 	 	12	104	http://instagram.com/p/B2Yq8GOHaa0/	rustyy_sheyyy
 	 	12	104	http://instagram.com/p/B2Yq8GOHaa0/	rustyy_sheyyy
 	 	12	104	http://instagram.com/p/B2Yq8GOHaa0/	rustyy_sheyyy
"21—""As above, so below; as within, so without; as the universe, so the soul."" When the shadows within have come to light, it's time to dive in deep; to embrace, to love, to accept, and to let go."	rustyy_sheyyy	17	336	http://instagram.com/p/B2D9wYtHUra/	rustyy_sheyyy
💖💖	tingting__89	17	336	http://instagram.com/p/B2D9wYtHUra/	rustyy_sheyyy
💩💩💩	jpchongyi	17	336	http://instagram.com/p/B2D9wYtHUra/	rustyy_sheyyy
💩💩💩	jpchongyi	17	336	http://instagram.com/p/B2D9wYtHUra/	rustyy_sheyyy
🌌💫📸	huipingfoo	17	336	http://instagram.com/p/B2D9wYtHUra/	rustyy_sheyyy
Hottt 🔥	jesperjesperjesperjesper	17	336	http://instagram.com/p/B2D9wYtHUra/	rustyy_sheyyy
Happy birthday!!!🙌🏻🙌🏻🙌🏻	ngsuyu	17	336	http://instagram.com/p/B2D9wYtHUra/	rustyy_sheyyy
生日快乐😊	jebson	17	336	http://instagram.com/p/B2D9wYtHUra/	rustyy_sheyyy
happy birthday!!! 🥳	patpot_	17	336	http://instagram.com/p/B2D9wYtHUra/	rustyy_sheyyy
Twinnie! 🤩💕🚨	datjulianguy	17	336	http://instagram.com/p/B2D9wYtHUra/	rustyy_sheyyy
😍😍😍	erictam_	17	336	http://instagram.com/p/B2D9wYtHUra/	rustyy_sheyyy
Hey guys do you plan sell antiques vintage merchandise we buy all old money Brunei, Malaysia, Singapore coins or notes gold statue and some more? I'm definitely ready to buy from you! Dm now for Quick Sell 🇸🇬🇧🇳🇲🇾🇰🇼🇺🇸🙏	klassics_collectibles	17	336	http://instagram.com/p/B2D9wYtHUra/	rustyy_sheyyy
Love this! 🔥🐍	morganezelia	17	336	http://instagram.com/p/B2D9wYtHUra/	rustyy_sheyyy
Decked in @moncler FW2019 collection🔥 Thanks for having me💕	rustyy_sheyyy	7	325	http://instagram.com/p/B10tpFgnEXm/	rustyy_sheyyy
美美	erikahuey	7	325	http://instagram.com/p/B10tpFgnEXm/	rustyy_sheyyy
🔥	mj6145	7	325	http://instagram.com/p/B10tpFgnEXm/	rustyy_sheyyy
🖤🖤🖤	ambertsui_	7	325	http://instagram.com/p/B10tpFgnEXm/	rustyy_sheyyy
🔥🔥🔥	simplykimjin	7	325	http://instagram.com/p/B10tpFgnEXm/	rustyy_sheyyy
😘😘	tingting__89	7	325	http://instagram.com/p/B10tpFgnEXm/	rustyy_sheyyy
😍😍	jacelynphang	7	325	http://instagram.com/p/B10tpFgnEXm/	rustyy_sheyyy
Cool you had a walk there. Omg must be hard. Isn't hot to wear such layering over there ?	benjaminv10theprocess	7	325	http://instagram.com/p/B10tpFgnEXm/	rustyy_sheyyy
To the 23 of you, thank you for entering my life. I honestly never thought i'd manage to get close to you guys because i'm awkward and maybe even a lil bit shy HAHAHAHA but you guys have been nothing but fun!!! From teasing one another, to laughing together, to working hard together, to embarrassing ourselves in front of one another, to shouting at each other, and maybe even crying together😂 Please know that i really do appreciate each and everyone of you💕 Here's to many more adventures together!!!🍻	rustyy_sheyyy	11	315	http://instagram.com/p/B1thmBpnbGb/	rustyy_sheyyy
💕💕💕	iamjoel.low	11	315	http://instagram.com/p/B1thmBpnbGb/	rustyy_sheyyy
Hhh 😁	cavinlance	11	315	http://instagram.com/p/B1thmBpnbGb/	rustyy_sheyyy
54	cavinlance	11	315	http://instagram.com/p/B1thmBpnbGb/	rustyy_sheyyy
🐴	cavinlance	11	315	http://instagram.com/p/B1thmBpnbGb/	rustyy_sheyyy
DM me if you have Malaysian, Dubai, UAE, Singapore,Brunei,China old coin or note for sale!	jude_old_note_and_coins_	11	315	http://instagram.com/p/B1thmBpnbGb/	rustyy_sheyyy
Ayyyy KARAOKE!	_okjared	11	315	http://instagram.com/p/B1thmBpnbGb/	rustyy_sheyyy
Lots of love 💕	mai_zhiqiii	11	315	http://instagram.com/p/B1thmBpnbGb/	rustyy_sheyyy
HAHAHAHAHA you will shy one meh😂😂	dawnthgreat	11	315	http://instagram.com/p/B1thmBpnbGb/	rustyy_sheyyy
Spent my evening yesterday with this amazing bunch of peeps!✌🏻 Thank you to everyone who came down and showed your support💕	rustyy_sheyyy	6	226	http://instagram.com/p/B1jDQR5Hqkg/	rustyy_sheyyy
💪💪	_misterben	6	226	http://instagram.com/p/B1jDQR5Hqkg/	rustyy_sheyyy
Verified	samsung_sg	6	226	http://instagram.com/p/B1jDQR5Hqkg/	rustyy_sheyyy
💕✌🏻🌌🤳	huipingfoo	6	226	http://instagram.com/p/B1jDQR5Hqkg/	rustyy_sheyyy
waow pretty	ciyrsen	6	226	http://instagram.com/p/B1jDQR5Hqkg/	rustyy_sheyyy
💪💪💪💖	tingting__89	6	226	http://instagram.com/p/B1jDQR5Hqkg/	rustyy_sheyyy
"Hello friends👋🏻👋🏻👋🏻 Some of us will be at ""The Next-Level Power"" event by @samsung_sg so do come down and hang with us!🥳"	rustyy_sheyyy	7	322	http://instagram.com/p/B1d1rUJntQE/	rustyy_sheyyy
Can I take a pic with you😊	wegoianstyle	7	322	http://instagram.com/p/B1d1rUJntQE/	rustyy_sheyyy
@fangkuai_ianization of course!☺️	rustyy_sheyyy	7	322	http://instagram.com/p/B1d1rUJntQE/	rustyy_sheyyy
@rustyy_sheyyy thank you😊	wegoianstyle	7	322	http://instagram.com/p/B1d1rUJntQE/	rustyy_sheyyy
See you guys tmr 😉	samsung_sg	7	322	http://instagram.com/p/B1d1rUJntQE/	rustyy_sheyyy
@samsung_sg see you💕	rustyy_sheyyy	7	322	http://instagram.com/p/B1d1rUJntQE/	rustyy_sheyyy
See u!!	tingting__89	7	322	http://instagram.com/p/B1d1rUJntQE/	rustyy_sheyyy
I wish I could able to go but I cant. I miss out to see top 24 and my idol.😭😭😭	xx.felicia_tian.xx	7	322	http://instagram.com/p/B1d1rUJntQE/	rustyy_sheyyy
See u!!	tingting__89	7	322	http://instagram.com/p/B1d1rUJntQE/	rustyy_sheyyy
I wish I could able to go but I cant. I miss out to see top 24 and my idol.😭😭😭	xx.felicia_tian.xx	7	322	http://instagram.com/p/B1d1rUJntQE/	rustyy_sheyyy
Perfect capture of the background😲	rustyy_sheyyy	16	403	http://instagram.com/p/B1X2EkiHWlR/	rustyy_sheyyy
What you reaching for?	iamhermankeh	16	403	http://instagram.com/p/B1X2EkiHWlR/	rustyy_sheyyy
Nice sia	zetongteoh	16	403	http://instagram.com/p/B1X2EkiHWlR/	rustyy_sheyyy
U nailed the expression and pose sia! 🤣🤣🤣	bryanfoong	16	403	http://instagram.com/p/B1X2EkiHWlR/	rustyy_sheyyy
Hi @rustyy_sheyyy, 我还没有和你合照过.我可以不可以和你一起合照吗下次看到你的时候	niceguy_1983	16	403	http://instagram.com/p/B1X2EkiHWlR/	rustyy_sheyyy
Haha! Hi finally able to know your name! @rustyy_sheyyy	tingting__89	16	403	http://instagram.com/p/B1X2EkiHWlR/	rustyy_sheyyy
Verified	samsung_sg	16	403	http://instagram.com/p/B1X2EkiHWlR/	rustyy_sheyyy
A series of Shey enjoying her Finger Lickin' Good fries cause she finished her chicken before she could get any shots🙃	rustyy_sheyyy	6	385	http://instagram.com/p/B1RQWMcnEoC/	rustyy_sheyyy
Why didn’t bring some back home for 老公	zhaoqun_	6	385	http://instagram.com/p/B1RQWMcnEoC/	rustyy_sheyyy
Why didn’t bring some back home for 哥	dust_lim	6	385	http://instagram.com/p/B1RQWMcnEoC/	rustyy_sheyyy
😍😍😍😍	nenkashi_estudio	6	385	http://instagram.com/p/B1RQWMcnEoC/	rustyy_sheyyy
@rustyy_sheyyy have a great day ahead	niceguy_1983	6	385	http://instagram.com/p/B1RQWMcnEoC/	rustyy_sheyyy
为什么我每次被偷拍的时候都在嘲笑某事呢?😂	rustyy_sheyyy	5	279	http://instagram.com/p/B1N8mIAnOwi/	rustyy_sheyyy
笑容百分百	shin_is_back	5	279	http://instagram.com/p/B1N8mIAnOwi/	rustyy_sheyyy
Yeaaa	ss2019s_	5	279	http://instagram.com/p/B1N8mIAnOwi/	rustyy_sheyyy
see u	somebodeh	5	279	http://instagram.com/p/B1N8mIAnOwi/	rustyy_sheyyy
💕😂🎉🥳🎊🗓⏰📍	huipingfoo	5	279	http://instagram.com/p/B1N8mIAnOwi/	rustyy_sheyyy
MISSION ACCOMPLISHED💯	rustyy_sheyyy	4	277	http://instagram.com/p/B1EWmeLHAlm/	rustyy_sheyyy
@rustyy_sheyyy hello hope to see you in star search soon may I know when start in tv, my name is 丽婷 same as you.😍😍	janice_lau_li_ting	4	277	http://instagram.com/p/B1EWmeLHAlm/	rustyy_sheyyy
wlao ur 3rd photo sibei photogenic leh	ciyrsen	4	277	http://instagram.com/p/B1EWmeLHAlm/	rustyy_sheyyy
Huat ah!	kitchng	4	277	http://instagram.com/p/B1EWmeLHAlm/	rustyy_sheyyy
👏👏💪💪	mattanggg	4	277	http://instagram.com/p/B1EWmeLHAlm/	rustyy_sheyyy
