comment	commenter	num_comment	num_likes	url	username
Verified	seedlysg	0	28	http://instagram.com/p/B3oA57El8j7/	seedlysg
Verified	seedlysg	0	36	http://instagram.com/p/B2OgCJfFGjF/	seedlysg
Verified	seedlysg	1	39	http://instagram.com/p/B07TsrWFvve/	seedlysg
"Bitcoin will do to banks what email did to the postal industry. "" Then tell me why you're not on the success train. DON'T ALLOW FEAR AND DOUBT TO GET THE BEST OF YOU. Dm me now to start up your own investment and start earning"	mariawilson24_	1	39	http://instagram.com/p/B07TsrWFvve/	seedlysg
Verified	seedlysg	2	33	http://instagram.com/p/B00lfBlFvof/	seedlysg
I would wait abit more for the price of REITs to subside. 😃 Just my opinion...	finance.nutshell	2	33	http://instagram.com/p/B00lfBlFvof/	seedlysg
The single most important lesson I have learnt in investing is diversifying over time. Most people know to diversify their assets. But not many understand the power of diversifying across various time periods. Hence, if I were to invest $40k, I would invest $1000 monthly over the span of 40 months. When the market goes lower, I would buy the ETF more - whether STI or REITs. Retail investors who do not have time to monitor each REIT counter should simply buy the REITs ETF	onceamillenium	2	33	http://instagram.com/p/B00lfBlFvof/	seedlysg
Verified	seedlysg	1	34	http://instagram.com/p/B0x_jiPhb__/	seedlysg
Check out my website for those new to investing:)	onceamillenium	1	34	http://instagram.com/p/B0x_jiPhb__/	seedlysg
Verified	seedlysg	0	18	http://instagram.com/p/B0qTqahloia/	seedlysg
Verified	seedlysg	0	82	http://instagram.com/p/B0ijbCJFpdv/	seedlysg
Verified	seedlysg	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@susanglc	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@susantan1506	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@salina_bellona	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@mrsliow	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@bycllim	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@hlgoh.sg	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@skohhg	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@chickenandegg2006	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@wayneqw	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@richardtay2008	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@rickiecsy	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@qiuwei1985	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@kson80	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@hellolydiasg	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@snowmoonpie	xiaoninger	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@ruyidianxin	xiaoninger	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@sugarplumteatree	xiaoninger	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@bluetasta	snowmoonpie	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@blinksher	snowmoonpie	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@gobignm	snowmoonpie	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@kson80	cozyblin	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@pengannsiow	cozyblin	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
Done all step! @layhoontoh @jchin10 @hlgoh.sg	ang.lamsoon	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
Liked + followed both IG and fb 💝 @jchin10 @eugenia_sll @mandyalextrixie @hlgoh.sg @aliceneo21 @ha3elseng	layhoontoh	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@susanglc	kson80	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@hlgoh.sg	kson80	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@85hy	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@jchin10	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@yiiixuann	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@naomicpk	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@nettyliee	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@reamblu11	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@ashleyaeryn	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@estherkamst	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@lingtng	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@neo_carol	adelinehuixiu	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
Great 💪	danelleforex	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@jaydenggy	spoonsofdelights	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
@jchin10	neo_carol	82	53	http://instagram.com/p/B0K5nOfluWL/	seedlysg
