comment	commenter	date	num_comment	num_likes	url	username
Fly 5 times to Bali every year? I’ve got an alternative for you. Link in IG story.	thewokesalaryman	2019-10-15T01:37:51.000Z	4	475	http://instagram.com/p/B3nuS8blveP/	thewokesalaryman
Instead of flying, cycle? Insane mtf	junhonglife	2019-10-15T01:37:51.000Z	4	475	http://instagram.com/p/B3nuS8blveP/	thewokesalaryman
Just nice for my Taiwan cycling trip next year! Ty!!	hainanqueypneng	2019-10-15T01:37:51.000Z	4	475	http://instagram.com/p/B3nuS8blveP/	thewokesalaryman
loved this!! super in depth hehe thank you! ✨✨	tehmoppity	2019-10-15T01:37:51.000Z	4	475	http://instagram.com/p/B3nuS8blveP/	thewokesalaryman
Awesome!!!	bicarasepatu	2019-10-15T01:37:51.000Z	4	475	http://instagram.com/p/B3nuS8blveP/	thewokesalaryman
Damn you @instagram for the 10 photo limit. For the full version check out our story highlight.	thewokesalaryman	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
water treaders rise up	cyan39miku	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@zacjay	gabrielcjj	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
what if actually the mountain is stay afloat on top of peoples treading the sea of inflation? the mountain stay afloat because it is riding the peoples.	myriad_color_hasan	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
Can anyone recommend a brand similar to @thewokesalaryman based on Indonesia and apply Indonesia tax and regulations?	nencorr	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@meishenm	shaunseet	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@ngjingxianggg @agnesleeeee adulting 😢😢	shingggz	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
Read @13gibet	solreiru	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@tangguh.c	anne.trendy	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@andreurod	danirogerc	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@immajelly	ewehuiling	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
Thank you for this! I didn’t know where to start	adamizzy	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@vitalisatrio	fcitra	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@yuwannahang	hyequin	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@hakurashin	pirm.1985	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
I don't know where you live, but here, 250 monthly isn't easy...	gabs_vbv	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@thisyaohong	zongbeng	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@clarence_roundy	vveivven	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@janxw @joleen_ong accurate??	vveivven	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
Ang galing!	ted1609	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
Doesnt warren buffet have a bet out for anyone actively trading that can beat indexes?https://www.investopedia.com/articles/investing/030916/buffetts-bet-hedge-funds-year-eight-brka-brkb.asp active lost, if u were good as algorithms as picking stocks, you can head your own hedgr funds.	robotc2	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
You guys are amazing la!!	eilegoh	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@donsoh_	zongbeng	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
FOR SG READERS: Wanted to put this in before, but we didn't have enough space. Putting this in the comments – if it helps you, please upvote this so more people can see.	thewokesalaryman	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@lim_yitxiang00	hangster96	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@gumobao11	jem_zan	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
this is great stuff ❤️ thank you	thesalarymanmemes	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
❤️🙌	a244466666k	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@_newee	meepoktah	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@zeeeples	peanutnotes	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
SO CUTE I LOVE YOU!!!!!!!!!! SIGN MY MARSHMALLOW PLZ	isitisitisitisitwhy	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
❤️ From 🇮🇩	dhanny7	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@jinhengcool	yim.ling	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
@___geraldd___	iolausmeep	2019-10-05T03:47:04.000Z	44	1,889	http://instagram.com/p/B3ONIoLF2pZ/	thewokesalaryman
