comment	commenter	num_comment	num_likes	url	username
Exciting time of the year again! 😃 Thanks @aidsinthe for bringing me to Grand Prix again! 🙆🏻‍♀️	vaneszs.h	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
😍😍😍👍🏻	tylomere	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
Bestest plus one 😛😛	aidsinthe	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
I still have to experience it live! Maybe one day!	ralph.cardinale	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
So elegant ❤️❤️❤️	ramjanali.shah.902266	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
😘	agunk_to9	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
😘😘	tingting__89	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
Nice very nice ❤️❤️😍😍👍👍👍🙋‍♂️	dt533777	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
The fog setting on this pic must’ve been set to 0	aberhamzah	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
😍😍😍beautiful stunning gorgeous	munz38	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
酷帅💯😎	kimisoi_korea_skincare	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
😍	alinewouters	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
😍❤️❤️	lankantravelbuddy	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
this is super cool 😉	cyruss1016	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
ur so pretty bb 😻	nickyywong	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
Eh which suite is this? Shared table with others?	stsanto	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
Chanel、Gucci、LV、YSL、Dior、Celine、Hermes、Fendi :需要 👗👗 ➕hhe6889	vvbhhj5556	16	2,852	http://instagram.com/p/B2tiNaBJ_jm/	vaneszs.h
2 weeks till Semi-finals 1 😰😰😰 好紧张! #StarSearch2019	vaneszs.h	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
加油💪😩💕	charischan_	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
Wow bb my heart pounds when you look back at me like this. 😜	lingzhi_xo	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
加油!💪	tingting__89	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
💪💪❤❤	gracewxx90	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
atb!!!!	etvisual	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
Semi finals > mid terms right HAHA	jingannn	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
😍😍😍	simplelifestyle83	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
Good luck!	markisnothilarious	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
💪🏽jiayou!	ethanograph	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
Jiao you and all the best. You can do it	chubstitch	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
🌹🌹🌹	supriyo_chakma	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
Gurl u GLOWIN	skywaywhisper	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
Beautiful smile💖 good luck Vaneszs	ery_rockers_87	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
OMGGG I love ur hair! 加油吧！！！！！🙌	carmenvictorialim	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
All the best!!	lorrainepeh.yoga	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
💪💪	maylxy	16	2,137	http://instagram.com/p/B2q2DM9JdzF/	vaneszs.h
When it comes to anything as important and sensitive as eyesight, the people serving you is ultra important! 😃 I'm thankful for the great service at @shinagawa.eye.centre, case in point was how @drbing.l prioritised finishing the post-surgery check-up and prescribing eye drops before any photos like this one is taken. It's the health of the eyes over anything! 😇	vaneszs.h	8	1,747	http://instagram.com/p/B2oW3ijpkG-/	vaneszs.h
PM me back if you have any old money for sell such as Malaysia,Brunei,Singapore,China,UAE and any other country old money ... we deal with honesty.	waltchris.11	8	1,747	http://instagram.com/p/B2oW3ijpkG-/	vaneszs.h
😮	allen_tung002	8	1,747	http://instagram.com/p/B2oW3ijpkG-/	vaneszs.h
Good choice to do Lasik!	william82sg	8	1,747	http://instagram.com/p/B2oW3ijpkG-/	vaneszs.h
The eyes are important!	slouichi	8	1,747	http://instagram.com/p/B2oW3ijpkG-/	vaneszs.h
I hope you keep perfect vision from now on.	brianphesen	8	1,747	http://instagram.com/p/B2oW3ijpkG-/	vaneszs.h
😀😇😴😁	huipingfoo	8	1,747	http://instagram.com/p/B2oW3ijpkG-/	vaneszs.h
There's always something fake about the posts...like Ur always advertising something	robert_veit	8	1,747	http://instagram.com/p/B2oW3ijpkG-/	vaneszs.h
如果現在不想聽歌，如此聰明，伶俐，美麗又任性的妳，別錯過良機喲，祝妳開心愉快 👛👛👛+WW9489 👗👗👗+qqq2704 👠👠👠+Wuda0524	dianpin4293	8	1,747	http://instagram.com/p/B2oW3ijpkG-/	vaneszs.h
Yes, this is happening!! 😱🚢 It'll be my virgin experience at Its The Ship and I'm equally excited to catch the sick line-up as well as playing a set! 🎧 Drop me a DM to let me know what you wanna hear or for hugeeee discounts for the remaining cabins! ⚓ #ItsTheShip #ITSSG19	vaneszs.h	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
Wahhhwahhh 🔥🔥	peroro_	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
Woahhhhhh 🙌🏻	dust_lim	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
gambatte!! 💪	kaykieron	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
See u on the ship 🔥🔥	inquisitive	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
Good pics of you	anthony.ikeche.77	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
For u I’ll go!! 😍	sheenaphua	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
Bring me along thanks	kaichung92	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
Omg you're playing too?! And I wasn't planning to go this year 😭	that_randomgirl	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
💪💪	jayf88_	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
omo my bb be rocking😩💖🔥	zhi.minz	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
Looking gud!	theskylimit	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
@vaneszs.h sent you a dm!🔥❤️	carl_ibale	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
YASSSS SEE YOU ON @itstheship SHIPMATE! 🥳	redseo	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
YASSSS SEE YOU ON @itstheship SHIPMATE! 🥳	redseo	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
Waaaa sick van got gl for itstheship??? HAHAH	jingannn	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
Steady❗️ Donch sea sick hor❗️	ashenarayan	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
So gorgeous	ramjanali.shah.902266	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
Chanel、Gucci、LV、YSL、Dior、Celine、Hermes、Fendi :需要 👗👗 ➕hhe6889	balenciage1804685	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
@vaneszs.h in this picture looks like you didn't sleep for days	mohammed_moheen	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
Chanel、Gucci、LV、YSL、Dior、Celine、Hermes、Fendi :需要 👗👗 ➕hhe6889	yyyee663	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
Vanessa, I hope you enjoy being a DJ. Soft and smooth tunes are good.	brianphesen	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
Chanel、Gucci、LV、YSL、Dior、Celine、Hermes、Fendi :需要 👗👗 ➕hhe6889	balenciage1804685	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
Chanel、Gucci、LV、YSL、Dior、Celine、Hermes、Fendi :需要 👗👗 ➕hhe6889	balenciage1804685	23	1,584	http://instagram.com/p/B2jOLJ4pFxR/	vaneszs.h
We had a great time at the Star Search 2019 x Sustainable Living event at Bugis+ and we hope you did too! 😃 Designing tote bags was the highlight for me. Besides the fun, I personally believe in protecting the environment, even more so when I was working on my environment project in Tangerang, Indonesia in June. 🌍 I'm still working on cutting my use of plastic straws and I hope everyone of us can set mini goals to reduce our carbon footprint everyday! 😊 We are fortunate to live in a clean city but I've seen the not-so-clean, and that might be our home if we don't do something now. Glad to have the opportunity of this roadshow and my NUS Project Lengkong Kulon to be part of a meaningful cause!🥰 @ch8sg #SparkTheNext #StarSearch2019	vaneszs.h	10	1,860	http://instagram.com/p/B2eUdANpVJQ/	vaneszs.h
Thanks for yesterday💪	tingting__89	10	1,860	http://instagram.com/p/B2eUdANpVJQ/	vaneszs.h
You and your sweet face plus husky voice, haha... 😂😂😻😻💞💗	tanatdaman	10	1,860	http://instagram.com/p/B2eUdANpVJQ/	vaneszs.h
Beautiful dear 😍	markmelvin2	10	1,860	http://instagram.com/p/B2eUdANpVJQ/	vaneszs.h
NICE LAAAA 😩😩😩☺️☺️☺️☺️	nang.aroo	10	1,860	http://instagram.com/p/B2eUdANpVJQ/	vaneszs.h
love your hair!!	kaykieron	10	1,860	http://instagram.com/p/B2eUdANpVJQ/	vaneszs.h
Hihi, send u something via ig dm. 😜 hope u like it. @vaneszs.h	snow_sa2109	10	1,860	http://instagram.com/p/B2eUdANpVJQ/	vaneszs.h
Chanel、Gucci、LV、YSL、Dior、Celine、Hermes、Fendi :需要 👗👗 ➕hhe6889	yyyee663	10	1,860	http://instagram.com/p/B2eUdANpVJQ/	vaneszs.h
