comment	commenter	num_comment	num_likes	url	username
It was thanks to the training provided, crew expertise and professionalism from all production staff that allowed me to perform at my best during the entire journey. Credit goes to the ones that invested their time, effort and resources into grooming me as i am today as well as the ever-loving support provided since day 1. Thank you. 🙏🏻	wen_kang_	21	848	http://instagram.com/p/B2tnPc_n_-s/	wen_kang_
加油！比赛要放100%的自信，你行的💪	annagoh13	21	848	http://instagram.com/p/B2tnPc_n_-s/	wen_kang_
😍😍can’t wait !!	v.vxrniice	21	848	http://instagram.com/p/B2tnPc_n_-s/	wen_kang_
💪💪💪	xdawnleex	21	848	http://instagram.com/p/B2tnPc_n_-s/	wen_kang_
❤️❤️love ya always	elsaninja	21	848	http://instagram.com/p/B2tnPc_n_-s/	wen_kang_
👏🏻👏🏻👏🏻👏🏻	ssingaporedramas	21	848	http://instagram.com/p/B2tnPc_n_-s/	wen_kang_
"🎉ok. @wen_kang_ 😃At home🏡, waiting to watch your ""First"" shows 🤵🤩📽🎬📺at 9pm tonight 🙋‍♀️💖. Now, mopping the floor and doing household chores 🙌💓💁‍♀️Cheers"	angelineler	21	848	http://instagram.com/p/B2tnPc_n_-s/	wen_kang_
Wish you all the best in your journey to be one of the best actors in this industry.❤️❤️	philipkianguan	21	848	http://instagram.com/p/B2tnPc_n_-s/	wen_kang_
❤️	anniechuasg	21	848	http://instagram.com/p/B2tnPc_n_-s/	wen_kang_
I just watched!👍	tingting__89	21	848	http://instagram.com/p/B2tnPc_n_-s/	wen_kang_
😘❤️🙆🏼‍♂️🙏🏻💪🏻	kennethleesg	21	848	http://instagram.com/p/B2tnPc_n_-s/	wen_kang_
💪❤️	snowy_wanderland	21	848	http://instagram.com/p/B2tnPc_n_-s/	wen_kang_
太帅了😣💟🐼	mornin_starz	21	848	http://instagram.com/p/B2tnPc_n_-s/	wen_kang_
@cheongdou	elvischin_	21	848	http://instagram.com/p/B2tnPc_n_-s/	wen_kang_
😊👍	fatmakaratas.t	21	848	http://instagram.com/p/B2tnPc_n_-s/	wen_kang_
 	 	10	365	http://instagram.com/p/B2opPy-HhJ_/	wen_kang_
 	 	10	365	http://instagram.com/p/B2opPy-HhJ_/	wen_kang_
 	 	10	365	http://instagram.com/p/B2opPy-HhJ_/	wen_kang_
 	 	10	365	http://instagram.com/p/B2opPy-HhJ_/	wen_kang_
 	 	10	365	http://instagram.com/p/B2opPy-HhJ_/	wen_kang_
 	 	10	365	http://instagram.com/p/B2opPy-HhJ_/	wen_kang_
 	 	10	365	http://instagram.com/p/B2opPy-HhJ_/	wen_kang_
 	 	10	365	http://instagram.com/p/B2opPy-HhJ_/	wen_kang_
Fog This 🌫	wen_kang_	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
💙	tingting__89	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
😍	v.vxrniice	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
🎉You looks much mature and charming now文康🤵@wen_kang_ 💖🙋‍♀️😃👍👍Drink more water🥛💧🥛💧💕🙋‍♀️👍🏼👍🏼Haze..is still around ..this weeks 🌪♨️🌡🌬	angelineler	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
👍👍	fatmakaratas.t	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
🔝	iovalle07	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
长得很好看!!! 哈哈😄	ssingaporedramas	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
Leng zai!	annagoh13	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
❤️	_midnightwhisky	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
Lol hazed out	johnathanquek	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
I became pregnant bro.... ❤️🔥	birdsofparadyce	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
Wow	alvinalim35	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
Also cute and handsome	alvinalim35	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
❤️	septiani_8995	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
Very handsome.	philipkianguan	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
Also cute and handsome	alvinalim35	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
stay hydrated!! 💪💪	xdawnleex	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
❤️	philip_yong2	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
Remember to drink more water and take good care because sometime the haze will back to unhealthy level ok my prince..	elsaninja	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
Nice outfit❤️	nataliekoh98	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
My favourite is blue😀take your blues away..👍	suyee.lee.92	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
😘😘	alice_liew	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
Handsomee✨✨❤️	miumuigirl	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
🌫	huipingfoo	26	826	http://instagram.com/p/B2l_oOQHfky/	wen_kang_
‘𝐎𝐧𝐥𝐲 𝟏𝟏 𝐘𝐞𝐚𝐫𝐬 𝐋𝐞𝐟𝐭 𝐭𝐨 𝐏𝐫𝐞𝐯𝐞𝐧𝐭 𝐈𝐫𝐫𝐞𝐯𝐞𝐫𝐬𝐢𝐛𝐥𝐞 𝐃𝐚𝐦𝐚𝐠𝐞 𝐟𝐫𝐨𝐦 𝐂𝐥𝐢𝐦𝐚𝐭𝐞 𝐂𝐡𝐚𝐧𝐠𝐞,’	wen_kang_	8	603	http://instagram.com/p/B2g2OThHnX9/	wen_kang_
💪💪💪	annagoh13	8	603	http://instagram.com/p/B2g2OThHnX9/	wen_kang_
😍😍	germainelst	8	603	http://instagram.com/p/B2g2OThHnX9/	wen_kang_
👍🏻	philipkianguan	8	603	http://instagram.com/p/B2g2OThHnX9/	wen_kang_
👍🏻👍🏻👍🏻👍🏻	ssingaporedramas	8	603	http://instagram.com/p/B2g2OThHnX9/	wen_kang_
👍👍👍💪💪💪	xdawnleex	8	603	http://instagram.com/p/B2g2OThHnX9/	wen_kang_
My prince, my birthday is on the 4 october friday.	elsaninja	8	603	http://instagram.com/p/B2g2OThHnX9/	wen_kang_
👍👍	fatmakaratas.t	8	603	http://instagram.com/p/B2g2OThHnX9/	wen_kang_
💪💪 @wen_kang_	tingting__89	8	603	http://instagram.com/p/B2g2OThHnX9/	wen_kang_
👍👍	fatmakaratas.t	8	603	http://instagram.com/p/B2g2OThHnX9/	wen_kang_
💪💪 @wen_kang_	tingting__89	8	603	http://instagram.com/p/B2g2OThHnX9/	wen_kang_
Hey you there. I’ll be upcycling my Lucky Red Cap and Comfy Sweater at the #StarSearch2019 x Saving Gaia Sustainability Living Drive so bring your own materials for the ‘Swap Items’ station tomorrow and let us do our part in saving the earth together! ❤️🌍	wen_kang_	13	659	http://instagram.com/p/B2ZH7xOH-IU/	wen_kang_
😚😚😚😚	ssingaporedramas	13	659	http://instagram.com/p/B2ZH7xOH-IU/	wen_kang_
See u tmr.	tingting__89	13	659	http://instagram.com/p/B2ZH7xOH-IU/	wen_kang_
😍	v.vxrniice	13	659	http://instagram.com/p/B2ZH7xOH-IU/	wen_kang_
See u tomorrow	alvinalim35	13	659	http://instagram.com/p/B2ZH7xOH-IU/	wen_kang_
Wow cool and cute	alvinalim35	13	659	http://instagram.com/p/B2ZH7xOH-IU/	wen_kang_
😍😍😍	philip_yong2	13	659	http://instagram.com/p/B2ZH7xOH-IU/	wen_kang_
Cya tmrw my prince❤️.. love ya💋.	elsaninja	13	659	http://instagram.com/p/B2ZH7xOH-IU/	wen_kang_
哇，怎么很像HIP HOP BOY呢😂	chanangel729	13	659	http://instagram.com/p/B2ZH7xOH-IU/	wen_kang_
Cool and handsome.	philipkianguan	13	659	http://instagram.com/p/B2ZH7xOH-IU/	wen_kang_
👍👍👍😍😍	xdawnleex	13	659	http://instagram.com/p/B2ZH7xOH-IU/	wen_kang_
👍👍	fatmakaratas.t	13	659	http://instagram.com/p/B2ZH7xOH-IU/	wen_kang_
Xin ku le Yao jiayou le💪	suyee.lee.92	13	659	http://instagram.com/p/B2ZH7xOH-IU/	wen_kang_
👏 你们真的要加油 永远支持你们	lowchingyin	13	659	http://instagram.com/p/B2ZH7xOH-IU/	wen_kang_
嫦娥离开了。。。	wen_kang_	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
❤️	mikolee1018	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
中秋快乐，男神文康	weiyep	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
中秋节快乐	tingting__89	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
中秋节快乐😊	annagoh13	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
中秋节快乐😍!!	germainelst	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
中秋节快乐，@wen_kang_ ❤️	_midnightwhisky	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
Chang E is still here ,festival is still on ,you still can make a wish before 12am😀cheer up although is tiring friday.	suyee.lee.92	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
🎉文康🤵💓玉兔🐰🐇💖🐾留下了,陪你吃月饼🥮😋🙋‍♀️中秋节快乐🎑🌈🥰👍🏼💕🌠🥳	angelineler	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
中秋節快樂喔～‼️😊💕😊💕	mandyshih0501	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
Hahaha! 中秋节快乐!	ssingaporedramas	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
玉兔可以吗？🐰 还是要丽玲！	alyssapyf	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
😍😍	xdawnleex	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
Happy Mid-Autumn Festival	alvinalim35	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
Also cool and handsome	alvinalim35	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
😍😍	v.vxrniice	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
❤️	philipkianguan	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
中秋节快乐. Which is ur fav mooncake🥮?	elsaninja	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
Happy Mid Autumn Festival @wen_kang_	philip_yong2	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
太帅了🤙🤙	zetongteoh	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
👍👍	fatmakaratas.t	25	905	http://instagram.com/p/B2WyBLcHeJS/	wen_kang_
