comment	commenter	num_comment	num_likes	url	username
The star search preview 1 is out on toggle! You can catch it on @ch8sg tomorrow 9pm :) #StarSearch2019	zhaisiming	9	564	http://instagram.com/p/B2quq56HVCT/	zhaisiming
Yay💪🏼💪🏼❤️	valniceyek	9	564	http://instagram.com/p/B2quq56HVCT/	zhaisiming
Impressive! 👍 All the best~	weihui09	9	564	http://instagram.com/p/B2quq56HVCT/	zhaisiming
Jiayou bro	xiaokunsheng	9	564	http://instagram.com/p/B2quq56HVCT/	zhaisiming
😍💪💪😊	12c34l56y620714	9	564	http://instagram.com/p/B2quq56HVCT/	zhaisiming
💪🏻	16.zeroseven	9	564	http://instagram.com/p/B2quq56HVCT/	zhaisiming
@zhaisiming 拍摄过程虽然辛苦，但是，拍摄出来的效果棒级了！~加油！~💪💪💯💯	flywithsiming	9	564	http://instagram.com/p/B2quq56HVCT/	zhaisiming
Verified	brandon_wong_jy	9	564	http://instagram.com/p/B2quq56HVCT/	zhaisiming
💪🏻😍	v.vxrniice	9	564	http://instagram.com/p/B2quq56HVCT/	zhaisiming
Wearing @givenchyofficial 's winter fall collection 2019 🙂	zhaisiming	6	588	http://instagram.com/p/B2gptJ4HbJY/	zhaisiming
wah😍	12c34l56y620714	6	588	http://instagram.com/p/B2gptJ4HbJY/	zhaisiming
sick	jordaneel	6	588	http://instagram.com/p/B2gptJ4HbJY/	zhaisiming
帅	zetongteoh	6	588	http://instagram.com/p/B2gptJ4HbJY/	zhaisiming
@zhaisiming 💯💯🔥🔥	flywithsiming	6	588	http://instagram.com/p/B2gptJ4HbJY/	zhaisiming
❤️	doreen.wongkhoo	6	588	http://instagram.com/p/B2gptJ4HbJY/	zhaisiming
Joker	mmonkeys_	6	588	http://instagram.com/p/B2gptJ4HbJY/	zhaisiming
 	 	5	338	http://instagram.com/p/B2eHhGsH25f/	zhaisiming
 	 	5	338	http://instagram.com/p/B2eHhGsH25f/	zhaisiming
 	 	5	338	http://instagram.com/p/B2eHhGsH25f/	zhaisiming
 	 	5	338	http://instagram.com/p/B2eHhGsH25f/	zhaisiming
 	 	5	338	http://instagram.com/p/B2eHhGsH25f/	zhaisiming
 	 	5	338	http://instagram.com/p/B2eHhGsH25f/	zhaisiming
🤔	zhaisiming	2	448	http://instagram.com/p/B2QJUraHTKL/	zhaisiming
