username,posts,followers,following
juin66,249,13400,352
vaneszs.h,1014,71300,1241
sunny.xjh,83,3098,249
gail_boj,259,11300,265
kikilzt,205,5350,589
jiayunxp,168,2679,970
ginichang,208,5235,844
rustyy_sheyyy,424,5592,915
mai_zhiqiii,107,1356,697
pistashio_,439,2314,1155
ohyushi,601,2103,1280
alyssapyf,84,1808,436
yiyangx1sheep,33,1863,785
iamhermankeh,464,1882,798
orhkayken_,25,757,503
zetongteoh,67,936,138
zhaisiming,287,7461,290
haothiannn,22,1263,585
tylertennn,100,1991,541
zane_lim,92,2560,863
bryaa.n,12,1264,508
_okjared,40,1215,612
wen_kang_,266,10200,654
iamjoel.low,501,1334,1075
