username,posts,followers,following
juin66,248,13400,0
vaneszs.h,1010,70800,0
sunny.xjh,81,2800,0
gail_boj,258,11300,0
kikilzt,200,5100,0
jiayunxp,167,2600,0
ginichang,207,5100,0
rustyy_sheyyy,423,5500,0
mai_zhiqiii,104,1300,0
pistashio_,436,2200,0
ohyushi,600,2000,0
alyssapyf,80,1700,0
yiyangx1sheep,32,1700,0
iamhermankeh,463,1700,0
orhkayken_,25,700,0
zetongteoh,67,900,0
zhaisiming,285,7400,0
haothiannn,21,1200,0
tylertennn,101,1900,0
zane_lim,90,2500,0
bryaa.n,11,1200,0
_okjared,40,1200,0
wen_kang_,262,10200,0
iamjoel.low,500,1300,0
