,post_id,username,username_count,level,rank
0,1,Jason Yip,1,2,Rookie 
1,1,Billy Ko,1,6,Master 
2,2,Douglas Chow,1,3,Wonderkid 
3,3,Douglas Chow,1,3,Wonderkid 
4,4,Douglas Chow,1,3,Wonderkid 
5,5,Junus Eu,1,8,Wizard 
6,5,Lok Yang Teng,1,6,Master 
7,6,Douglas Chow,1,3,Wonderkid 
8,7,Douglas Chow,1,3,Wonderkid 
9,8,Yong Kah Hwee,1,6,Master 
10,9,Lok Yang Teng,1,6,Master 
11,10,Douglas Chow,1,3,Wonderkid 
12,11,Douglas Chow,1,3,Wonderkid 
13,12,Douglas Chow,1,3,Wonderkid 
14,13,Douglas Chow,1,3,Wonderkid 
15,13,Goh Kah Kiat,1,4,Prodigy 
16,13,Darius MC,1,1,Freshie 
17,14,Douglas Chow,1,3,Wonderkid 
18,15,Junus Eu,1,8,Wizard 
19,15,Ashley Wong,1,4,Prodigy 
20,16,Douglas Chow,1,3,Wonderkid 
21,17,Douglas Chow,1,3,Wonderkid 
22,18,Douglas Chow,1,3,Wonderkid 
23,19,Douglas Chow,1,3,Wonderkid 
24,20,Douglas Chow,1,3,Wonderkid 
25,21,Douglas Chow,1,3,Wonderkid 
26,22,Cedric Jamie Soh,1,7,Grand Master 
27,22,Ryan Ong,1,2,Rookie 
28,22,Douglas Chow,1,3,Wonderkid 
29,23,Douglas Chow,1,3,Wonderkid 
30,24,Douglas Chow,1,3,Wonderkid 
31,25,Douglas Chow,1,3,Wonderkid 
32,26,Douglas Chow,1,3,Wonderkid 
33,27,Douglas Chow,1,3,Wonderkid 
34,27,Yixiong Chang,1,5,Genius 
35,28,Junus Eu,1,8,Wizard 
36,28,Yong Kah Hwee,1,6,Master 
37,28,Douglas Chow,1,3,Wonderkid 
38,29,Douglas Chow,1,3,Wonderkid 
39,30,Clarence Chua,1,7,Grand Master 
40,30,Krristy Lam,1,2,Rookie 
41,31,Douglas Chow,1,3,Wonderkid 
42,32,Junus Eu,1,8,Wizard 
43,32,Lok Yang Teng,1,6,Master 
44,33,Douglas Chow,1,3,Wonderkid 
45,34,Teo See Hwa,1,3,Wonderkid 
46,34,Nguyen Thu Ha,1,1,Freshie 
47,34,Douglas Chow,1,3,Wonderkid 
48,35,Douglas Chow,1,3,Wonderkid 
49,35,Ang Yee Gary,1,4,Prodigy 
50,36,Krristy Lam,1,2,Rookie 
51,37,Douglas Chow,1,3,Wonderkid 
52,38,Junus Eu,1,8,Wizard 
53,38,Paul Ho,1,2,Rookie 
54,39,Douglas Chow,1,3,Wonderkid 
55,40,Loh Tat Tian,1,6,Master 
56,41,Loo Cheng Chuan,1,6,Master 
57,41,Luke Ho,1,6,Master 
58,41,Yong Kah Hwee,1,6,Master 
59,41,Gabriel Lee,1,6,Master 
60,43,Loo Cheng Chuan,1,6,Master 
61,43,Hariz Arthur Maloy,1,9,God of Wisdom 
62,43,Kok Koon,1,5,Genius 
63,43,Lim Tian Shang,1,3,Wonderkid 
64,43,Yixiong Chang,1,5,Genius 
65,44,Loo Cheng Chuan,1,6,Master 
66,44,Teo See Hwa,1,3,Wonderkid 
67,45,Loo Cheng Chuan,1,6,Master 
68,45,Ck Chai,1,4,Prodigy 
69,45,Elsa Goh,1,5,Genius 
70,45,Daniel Ling,1,4,Prodigy 
71,45,Yong Kah Hwee,1,6,Master 
72,45,Good Day Every Day,1,6,Master 
73,45,Nicholes Wong,1,6,Master 
74,45,Png Cheng Xi Damien,1,4,Prodigy 
75,46,Good Day Every Day,1,6,Master 
76,46,Loo Cheng Chuan,1,6,Master 
77,46,Teo See Hwa,1,3,Wonderkid 
78,46,Luke Ho,1,6,Master 
79,46,Yixiong Chang,1,5,Genius 
80,46,Hariz Arthur Maloy,1,9,God of Wisdom 
81,47,Loo Cheng Chuan,1,6,Master 
82,47,Good Day Every Day,1,6,Master 
83,47,Teo See Hwa,1,3,Wonderkid 
84,48,Good Day Every Day,1,6,Master 
85,48,Loo Cheng Chuan,1,6,Master 
86,49,Loo Cheng Chuan,1,6,Master 
87,49,Gabriel Tham,1,8,Wizard 
88,50,Loo Cheng Chuan,1,6,Master 
89,51,Hariz Arthur Maloy,1,9,God of Wisdom 
90,51,Loo Cheng Chuan,1,6,Master 
91,52,Jim Ng,1,5,Genius 
92,52,Gabriel Lee,1,6,Master 
93,53,Hariz Arthur Maloy,1,9,God of Wisdom 
94,53,Loo Cheng Chuan,1,6,Master 
95,53,Yixiong Chang,1,5,Genius 
96,54,Loh Tat Tian,1,6,Master 
97,54,Jim Ng,1,5,Genius 
98,54,Loo Cheng Chuan,1,6,Master 
99,54,Hariz Arthur Maloy,1,9,God of Wisdom 
100,55,Yixiong Chang,1,5,Genius 
101,55,Jim Ng,1,5,Genius 
102,56,Loo Cheng Chuan,1,6,Master 
103,56,Chong Learn Khang,1,2,Rookie 
104,56,Good Day Every Day,1,6,Master 
105,57,Jonathan Chia Guangrong,1,6,Master 
106,57,Gabriel Tham,1,8,Wizard 
107,57,Jeff Yeo,1,6,Master 
108,58,Loo Cheng Chuan,1,6,Master 
109,58,Nicholes Wong,1,6,Master 
110,58,Yeap Ming Feng,1,5,Genius 
111,58,Kenneth Lou,1,8,Wizard 
112,59,Loo Cheng Chuan,1,6,Master 
113,59,Yeap Ming Feng,1,5,Genius 
114,60,Loo Cheng Chuan,1,6,Master 
115,61,Kenneth Lou,1,8,Wizard 
116,61,Yong Kah Hwee,1,6,Master 
117,62,Hariz Arthur Maloy,1,9,God of Wisdom 
118,62,Yong Kah Hwee,1,6,Master 
119,62,Gabriel Tham,1,8,Wizard 
120,63,Kenneth Lou,1,8,Wizard 
121,64,Teo See Hwa,1,3,Wonderkid 
122,64,Good Day Every Day,1,6,Master 
123,64,Yixiong Chang,1,5,Genius 
124,65,Loo Cheng Chuan,1,6,Master 
125,66,Loo Cheng Chuan,1,6,Master 
126,66,Good Day Every Day,1,6,Master 
127,68,Loo Cheng Chuan,1,6,Master 
128,69,Loo Cheng Chuan,1,6,Master 
129,70,Loo Cheng Chuan,1,6,Master 
130,71,Loo Cheng Chuan,1,6,Master 
131,71,Yixiong Chang,1,5,Genius 
132,72,Christopher Tan,1,6,Master 
133,72,Hariz Arthur Maloy,1,9,God of Wisdom 
134,73,Christopher Tan,1,6,Master 
135,73,Gabriel Tham,1,8,Wizard 
136,73,Luke Ho,1,6,Master 
137,74,Christopher Tan,1,6,Master 
138,74,Nicholes Wong,1,6,Master 
139,74,Lim Dewei Nicholas,1,1,Freshie 
140,74,Yong Kah Hwee,1,6,Master 
141,75,Christopher Tan,1,6,Master 
142,76,Christopher Tan,1,6,Master 
143,76,Devanshi Singh,1,3,Wonderkid 
144,77,Ashley Wong,1,4,Prodigy 
145,77,Christopher Tan,1,6,Master 
146,77,Lok Yang Teng,1,6,Master 
147,78,Kenneth Lou,1,8,Wizard 
148,78,Cedric Jamie Soh,1,7,Grand Master 
149,80,Yeo Enk Loui,1,6,Master 
150,80,Isaac Chan,1,8,Wizard 
151,80,Brandan Chen,1,6,Master 
152,80,Gibson Junxun,1,3,Wonderkid 
153,80,Jonathan Chia Guangrong,1,6,Master 
154,80,Loh Tat Tian,1,6,Master 
155,81,Jonathan Chia Guangrong,1,6,Master 
156,82,Jonathan Chia Guangrong,1,6,Master 
157,83,Gabriel Tham,1,8,Wizard 
158,83,Jonathan Chia Guangrong,1,6,Master 
159,83,Ashley Wong,1,4,Prodigy 
160,84,Hariz Arthur Maloy,1,9,God of Wisdom 
161,84,Yong Kah Hwee,1,6,Master 
162,84,Lok Yang Teng,1,6,Master 
163,85,Ng Lip Hong Kyith,1,5,Genius 
164,85,Heng Kai Le,1,4,Prodigy 
165,86,Charmaine Ng,1,6,Master 
166,86,Eric Chia,1,4,Prodigy 
