,content
question,"AMA 1M65 CPF Expenses Tracking Loans Asked by AnonymousAsked on 01 Nov 2018I'm currently working as a freelancer, getting 2-2.2k per month without CPF contribution. However my expenses are also 2-2.5k per month. Any ideas on how to better manage my situation?Hi, currently I had around 2 – 2.5 K worth of expenses every months and at the moment does not have any luck to secure a full time job. Currently, working as a freelance worker and getting around 2 - 2.2k per month (Non CPF contribution). Should I carry on this for a long period or is there any other alternative way to my problem at the moment?8 answersAnswerBump0"
0,Answers (8)Sort By Most UpvoteMost UpvoteMost Recent
1,Loo Cheng ChuanLevel 6. MasterAnswered on 02 Nov 2018Cut down your expenses! 0 comments4
2,"Ck ChaiLevel 4. ProdigyAnswered on 19 Dec 2018work on cutting down unnecessary expenses... Which are the wants and needs?
e.g. Grab/Cab too much? -- leave early for work or appointment instead0 comments0"
3,Elsa GohLevel 5. GeniusUpdated on 11 Dec 2018Work 2 jobs. Or take up more freelance work if possible. This is not sustainable. Math doesn't lie. All our investment tips depend on people having spare cash in the first place.0 comments0
4,"Daniel LingLevel 4. ProdigyAnswered on 11 Dec 2018Start by tracking your expenses.People whom are unable to know where their money goes are either lazy or just giving excuses.Over the years, i have picked up a habit to spend 15 minutes every Sat to pen down my expenses.0 comments0"
5,Yong Kah HweeLevel 6. MasterAnswered on 01 Nov 2018Maybe you can elaborate on what you spend on? First thing you should do is cut your expenses!0 comments0
6,"Good Day Every DayLevel 6. MasterAnswered on 01 Nov 2018Cut down your expenses and increase your income. As long as expenses are greater than income, you will not be able to save or invest. 0 comments0"
7,"Nicholes Wong, Diploma in Business Management at Nanyang PolytechnicLevel 6. MasterAnswered on 01 Nov 2018Even if you find a full time job, your expenses also same. Reduce your expenses first. You can just ask yourself. Is it good for me to live paycheck to paycheck? If your answer is no, record down all of your expenses and see which can be reduced. If yes, then nothing I can say.0 comments0"
8,"Png Cheng Xi Damien, Happy Life Seeker at HomeLevel 4. ProdigyAnswered on 01 Nov 2018You already know your problem: exceptionally high expenses. So focus on cutting that first. What is the main reason you cannot find a job?0 comments0"
