,content
question,"Bank Account Asked by AnonymousAsked on 28 Sep 2018My wife and I have struck a windfall. We wanted to donate 100k to charity. rather than lump sum, we wanted to an annual donation of 10k (for the tax relief) Where is the good place to park and earn some interest in the meantime?We went to a few bank, they are suggesting put a portion for 6 to 12months FD the rest for longer tenor. Thank you.8 answersAnswerBump0"
0,Answers (8)Sort By Most UpvoteMost UpvoteMost Recent
1,"Gerard Ong, Tax consultant  at Ernst & Young Level 4. ProdigyAnswered on 29 Sep 2018Just FYI, if you donate the 100k in one lump sum, you won't necessarily ""lose out"" on the excess tax relief. Unutilised donations can be carried forward to offset future income, up to a maximum of 5 years.But having said that, it's probably still better to spread out the donations than to do it in one shot, because you won't get your usual personal reliefs if the lump sum donation is sufficient to fully offset your annual income. 0 comments3"
2,"Nicholas ChanLevel 5. GeniusAnswered on 28 Sep 2018Invest in SSB, withdraw annually 0 comments3"
3,"Gabriel Tham, Kenichi Tag Team Member at Tag TeamLevel 8. WizardAnswered on 28 Sep 2018Singapore savings bond is the best you can get for the liquidity and interest rate0 comments1"
4,Good Day Every DayLevel 6. MasterAnswered on 29 Sep 2018Invest in Singapore Saving Bond or a fixed deposit. 0 comments0
5,"Jonathan Chia Guangrong, Fund Manager at JCG FundLevel 6. MasterAnswered on 28 Sep 2018Cimb fastsaver for a flat 1% interest rate. Citibank's maxigain would work as well, as the base interest rate is 0.8% of 1 month sibor, bonus interest of 0.1% every month (max 1.2%) if balance is untouched 0 comments0"
6,"Gabriel LeeLevel 6. MasterAnswered on 28 Sep 2018CIMB FastSaver (1%)
Singapore Savings Bond 
Fixed Deposit accounts 
High interest savings accounts like DBS Multiplier, UOB One or OCBC 3650 comments0"
7,"Jeff Yeo,   amateur Social contributor  at School of social sharingLevel 6. MasterAnswered on 28 Sep 2018Cimb 1%ssb - 1ish if you sell off early Citibank maxigain 2ish peg to sibor​0 comments0"
8,"Yong Kah HweeLevel 6. MasterAnswered on 28 Sep 2018You can look at Singapore Savings Bond, FD, as well as high interes savings account :)0 comments0"
