,content
question,"Bank Account Investments General Asked by AnonymousAsked on 19 Sep 2018I had recently inherited $14.7 million (after conversion from GBP). I have no parents nor guardian since 1.5 years ago which is why I don't have anyone to talk to when it comes to finances. Any investment advice?I would like to gain some knowledge with regards to how I can invest without any risks involved. I'm a first year medical student and finance/investments aren't my forte so I hope you can excuse my newbie question. I do have a Singaporean uncle here in this country but I'm not close with him at all. I have read about investor's risk profile and I would say that I am very conservative, too conservative that I am not willing to take any risk. I've seen investment options that have high, moderate and low risks but nothing that says no risk. I have a minimalist lifestyle (eats in hawker centres, stays in school dorm, instant noodles, travels via metro) and am not looking to get rich as I am perfectly fine with extremely low rates of returns as long as it is higher than the HSBC Premier Savings Account I have right now which earns 0.1% interest rate. Would appreciate any feedback given. Thank you so much ^_^29 answersAnswerBump4"
0,Answers (29)Sort By Most UpvoteMost UpvoteMost Recent
1,"Christopher HowLevel 4. ProdigyUpdated on 07 Jun 2019Can I just say that very few people (if any) in this community have experience handling this large sum of money. You're really better off speaking to wealth managers (not insurance agents, I'm talking about the real deal here).​They are the ones who can give you proper advice and they will do regular portfolio reviews with you.​If you are working with a wealth manager for the first time, don't hand over all your money to him/her. Let him/her manage $200,000-$500,000 and see how they work. Are they capable of doing a good job?​If yes, you can choose to double down on this wealth manager. Otherwise, you can always switch to find another one.5 comments18"
2,"See all 5 comments Christopher How19 Sep 2018If the truth is a cheap shot, then I think many people would be full of holes in their bodies. You can say you have a lot more training for this scenario, but have you managed this amount of money for a single client before?Leong Wen Fong20 Sep 2018Chill guys, to be fair, few people have managed this amount in their lives!"
3,"Lim Ren YingLevel 3. WonderkidUpdated on 07 Jun 2019some capital guaranteed options would be:​Singapore savings bonds, max $100,000 per person​Fixed deposits, max $50,000 per financial institution under SDIC, so diversify​Capital guaranteed endowments and annuities, max $100,000 per insurer under the Policy Owners' Protection Scheme, so diversify ​CPF, subject to limits ​​(Also, not related to investing, but you should get yourself insured for hospitalisations and medical expenses 🌸)2 comments10"
4,"Kenneth Lou19 Sep 2018Another very good answer, thanks for contributing @Lim Ren Ying! Appreciate your answer! Im sure the asker will feel very appreciative also :) The SDIC one is a very legitimate concernShaun Goh23 May 2019Yup, just living off the passive income from these no to low risk instruments are way more than enough if you're not living a lavish lifestyle. *cannot imagine $14.7mil* @_@

Assuming you'd just draw down from the amount monthly for 80 years, that's $15k per month :D"
5,"Siti PutriLevel 5. GeniusUpdated on 07 Jun 2019I can understand your situation somewhat feeling lost not being sure whom to ask or seek advice from financially. Firstly ask yourself if you are genuinely keen to learn to invest because that in itself takes time, dedication, lots effort and honestly the interest.Thruthfully this $14mil could last 3 generations without even investing since you seem to be very prudent in your lifestyle and most likely will have a well paid career after graduation.Not all “investing” can make money, in fact can even be in sub zero level loss if not careful like leveraging CFD etc.Since you know that you are conservative, I would just put in few FD in multiple banks. As HNW you can get special rates. Do becareful when any bank RM or insurance agents when they ask you to invest into products. You will be considered an accredited investor (AI) which means they can purposely give you risky stuff as their fiduciary duties don’t quite apply to AI. Think also about your future career. Is your intention to have your own clinic? If so, where will the clinic be? You might want to do research about buying a commercial unit where you could one day turn it into your own clinic. I am not sure if now is a time to buy but if you do invest in property in SG, I think you could consider commercial property which you could rent out too in meanwhile till you are ready to convert it you your hypothetical clinic.Do you think you want to live in SG or overseas? If u have plans to migrate overseas and defined sure where, suggest to purchase a property too. It could be for own stay in future be or rental.Since you mentioned that you are conservative. In general, I think besides the multiple FD, can consider real estate provided u do proper research on location. There will be rental yield and also capital appreciation. Also do lump sum put some money into your CPF SA, just to lock in for 4% interest. Do buy a good well covered health insurance too.You can also consider being a venture capitalist. This will be risky but there are courses from Angel Central ( I think) and you could network as well with entrepreneurs. Be diversified across different biz ventures if you decide on angel investing.Good luck with your studies. 1 comment5"
6,"Yi Fong Tan25 Sep 2018Second this!! ""$14mil could last 3 generations without even investing since you seem to be very prudent in your lifestyle"""
7,"Elsa GohLevel 5. GeniusUpdated on 07 Jun 2019Edit: Have the estate matters been settled? I assume the moneys were left to you in UK. You may need to appoint a solicitor in the UK or a lawyer in Sg who is able to advise on UK estate law and tax liability. Big name law firms in Sg are Rajah & Tann, Wong Partnership, KhattarWong, Lee&Lee. Check whether they have UK offices or ventures.But before you do that, pls ensure u have really inherited something and it is not a scam, as it sounds too good to be true.If this is true... congratulations. Also, when it comes to investing such a huge sum, this is beyond us. You need to appoint a fund manager or a banking advisor.By the way, please ensure you have the money in your account before you actually start spending. Sometimes these things can get tied up for ages. And be wary of nigerian princes.1 comment5"
8,"Kenneth Lou19 Sep 2018I love this comment haha ""If this is true... congratulations. Also, when it comes to investing such a huge sum, this is beyond us. You need to appoint a fund manager or a banking advisor."" So true tho"
