,content
question,"CPF CPF IS Retirement Asked by Kenneth LouAsked on 24 Apr 2019What do you think of the CPF? What improvements do you think you would like to see in the near future?We're meeting the CPF team next week and we are keen to give them some feedback on how it can be improved as well. I just wrote a piece on CPF vs other pension schemes in the world, and I'm curious to understand the community's thoughts on CPF in Singapore!10 answersAnswerBump3"
0,Answers (10)Sort By Most UpvoteMost UpvoteMost Recent
1,"Hariz Arthur Maloy, Independent Financial Advisor at Promiseland IndependentTop Contributor (Sep)Level 9. God of WisdomUpdated on 07 Jun 2019Limits on property purchase. Higher Medisave withdrawal limits for insurance and bills across all ages.Other pension schemes around the world are sometimes only for the social security or the CPF Life part. Not many use our 3 account system for housing needs, retirement needs, and medical needs.I think that our CPF needs to be more segregated from each other. People don't understand that Medisave amount cannot take out, and say their CPF got a lot of money when it's all just Medisave. Quite a lot of lack of education. And I can't wait for RSS to be phased out permanently and for everyone to be on CPF life. Less headache as well.1 comment4"
2,"Kenneth Lou25 Apr 2019Yup this one is noted in my recent research as well! ""Other pension schemes around the world are sometimes only for the social security or the CPF Life part. Not many use our 3 account system for housing needs, retirement needs, and medical needs."""
3,"Goh Kah Kiat, Editor-in-chief at Risknreturns.comLevel 4. ProdigyUpdated on 07 Jun 2019The main issue I have with CPF is the CPFIS scheme. Some reforms have been implemented but more can be done.Cost prohibitive to have a diversified portfolio of stocks (especially if your positions are small) due to quarterly $2.14 charge per counter. Having 10 stocks = $85.60 per annum. I understand these are bank fees and CPF may not be able to influence them, but one can try.Limit amount you can use to buy Unit Trusts, ILPs, Annuities and Endowments. Having no limits on those products make no sense when most of these products underperform Index funds. It also encourages predatory financial advisors to recklessly sell these products to customers as “you can’t touch this money anyway”3 comments3"
4,"See all 3 comments Goh Kah Kiat25 Apr 2019Https://www.cpf.gov.sg/Assets/members/Documents/CPFISInvestmentProducts.pdf This document seems to contradict the point on annuities and endowments. Anyway, I get that stocks are risky to the uninitiated. Which is why I understand why there are limits on stocks and I'm not arguing for a lift on the limit. I'm more arguing from the point of view that ILPs and Unit Trusts should have limits too as they are risky products (they are essentially equities too if you buy a equity fund). Just because there are so-called experts managing those products doesn't make them risk free.Hariz Arthur Maloy25 Apr 2019A long time ago you could buy endowment and annuities. Not anymore for a number of years now. Currently you have to leave behind 20k in OA and 40k in SA before investing. I would agree to not allow SA investment but only OA. And yes they aren't risk free, but they are less risky."
5,"Good Day Every DayLevel 6. MasterAnswered on 25 Apr 2019A lot of people are not clear what Medisave could be used for. There also seems to be a lot of restrictions with regards to the usage of Medisave. At the same time, the BHS (Basic Healthcare Sum) is increasing every year. Perhaps more education in this area could be provided to the public.  Just a suggestion.0 comments1"
6,"Mypetrescue GivelifeLevel 1. FreshieAnswered 6h agoI am 62 and my wife is 60 this year. We are fortunate to be able to accumulate both our RA to ERS and will be drawing down from age 65. If I passes on before my wife or her before me, my suggestion is for CPF to allow the remaining balances in our RA account to be transferred to the surving spouse's account, instead of a payout in cash to prevent the elderly to money scams, investments etc. An enhanced nomination has its limitations as you are well aware.0 comments0"
7,"Shirley TayLevel 1. FreshieAnswered 8h agoMedisave acct - for those with no chronic history and hardly touch Medisave , makes no sense to keep increasing amt and retiree can't touch when still alive. Esp if person has no dependents to bequeath to. Whole cpf system is overly complicated. Suggest revert to primary objective of funding retirement need and maybe plus one secondary area eg housing or health etc (depending on members choice). Can't have everything. From age 65, calculate monthly payouts based on max 20 yrs duration. More meaningful to live a better quality of life when retiree still mobile. No point leaving hardearned $$$ behind when gone.0 comments0"
8,"Min Shun HsuLevel 1. FreshieUpdated on 29 Apr 2019Hello there,
Regarding CPF Vs other provident fund. One main difference is with regards to expats requirement to contribute to the fund. It should be mandatory for employer that for all employees local or non citizen should be required to make such contribution.Example if a job opening that has a budget of 5000.
The company can hire a local at 4200 or an expat at 5000. This is the discrepancy when such provident rate is not applied across the board. Meaning 37% of the CPF is technically contributed by local and PR due to the long run effect of the scheme.Employers should be required to contribute employer's portion regardless of citizenship. This will make hiring consideration more fair and just. 
Other countries likely require expats to contribute.I hope this issue can be raise for discussion as it affects almost all PMETs and fellow Singaporeans during hiring considerationThanks0 comments0"
