,content
question,"Career Savings Investments Credit Card Lifestyle Asked by Daniel LeeAsked on 19 Dec 2018What are your personal finance resolutions for 2019?Here is Seedly's ""5 Days of Christmas"" Day 3 task! Tell us what are your personal finance resolutions for 2019? And if you'd like, share a little about your personal resolutions as well. For me, my pf resolutions would be to get my finances in order, starting with using the Seedly Money Framework. And personally, to get healthier by cutting down on some bad habits, as well as.. maybe.. exercising. Let's hear yours!104 answersAnswerBump5"
0,Answers (104)Sort By Most UpvoteMost UpvoteMost Recent
1,"Kenneth Lou, Co-founder at SeedlyLevel 8. WizardUpdated on 07 Jun 2019My Personal Financial Resolutions for 2019:Bring my total Investment portfolio value to around $50k or more by end of yearDeriving a total dividend yield of around 6 to 7% p.a distributed in quarters ($3,500 cash yield every year)Optimise my REIT portfolio to model the index better so it's more diversifiedContinually contribute my RSP between $500 to $1000 every monthEnsure our Joint Account with my other half continues to grow well (and put at a better Yield location rather than the 1% p.a now) Saw a 2.02% savings account model type (even better than SSB)Buy 2 x Growth stock during the market crash (when it happens)Total Returns = Capital Gains (growth stock) + Dividend Yield (REITs)Other side resolutions:Grow the Seedly community here while our team also grows! And become Singapore's largest personal finance community centered on the mission to make smarter decisions!Donate some % of my income to charity I believe in (right now it's the Brain Tumour Society Singapore)Lose 10kg and win the weight loss challenge at work - Total pot is worth $1k LOLTry the Keto diet lol.I will be documenting my investment journey here on my Seedly profile, so do join me here: https://seedly.sg/profile/kenneth-louHere is the reference from previous years general template:11 comments13"
2,"See all 11 comments Adam Yam17 Jan 2019Hi Kenneth, do you expect all of your portfolio to derive 6-7% dividend yield? Or is there some growth stock vs dividend stock element to this?Kenneth Lou17 Jan 2019Hey Adam! Yup annualised return, so both growth and dividend yield combined. Now my dividends are close to 4.5 to 5% so it's decent... need to look for better yielding stocks with incremental growth elements."
3,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardUpdated on 07 Jun 2019My  personal finance resolutions for 2019:Learn to self pick REITS and low cash high potential equity via direct investment as first steps to build passive income stream.Sign up more classes to upskill / upgrade for better jobs / more income.Find alternative income stream to save more for better cash flow to invest to reach goal #1 faster.eXcercise and food control to lose 10kg! :P What's yours ? Any suggestions to reach all the above in plan ? :) Since we ""Never plan to fail but fail to plan!""   - Let's work towards our goals by first start planning !!!Cheers! Merry Christmas and Happy 2019! 4 comments9"
4,See all 4 comments Pascal Samsoon23 Dec 2018I'm also watching my weight and body fat for 2019! #weightcontrolHC Tang23 Dec 2018@Pascal Samsoon High 5! 😄
5,Yew KhimLevel 3. WonderkidUpdated on 07 Jun 2019i wish i can make more money whilst sleeping.  i meant i hope to earn more passive - not selling my body. haha.2 comments6
6,Leong Wen Fong19 Dec 2018I'm glad you clarifiedKenneth Lou19 Dec 2018Hahaha good one Yew Khim
7,"Ho Jia XuanLevel 3. WonderkidUpdated on 07 Jun 2019In 2019, I want to Make money doing what I loveGive money by donatingRead up some financial booksTrack my budget for expensesPlan for future tradings, fixed deposits to earn some profits2 comments6"
8,Leong Wen Fong19 Dec 2018What do you love doing?Loh Tat Tian01 Jan 2019Interesting. Trading :) 
9,"Gabriel Tham, Kenichi Tag Team Member at Tag TeamLevel 8. WizardUpdated on 07 Jun 2019I want to go premier banking so can drink free wine5 comments6"
10,See all 5 comments Leong Wen Fong19 Dec 2018Invite me also plsHC Tang19 Dec 2018Ask Kenichi to bring u! :) hhaa
11,"Jim Ng, Digital Marketing Specialist at Https://swiftturnmarketing.comLevel 5. GeniusUpdated on 07 Jun 2019Financial/Personal Resolutions for 2019:Invest in Blue Chip Stocks by monitoring market movement. Not sure if the next economic crisis is coming. Given that 1997 Asian Financial Crisis and 2008 Great Recession were roughly 10 years apart, I wonder if it's coming soon! Need to research more on this.Make $100,000 for the year 2019 through acquiring more clients in my Digital Marketing AgencyProvide more free financial advice on Seedly platform whenever I have the time.Work out at the gym and get that sick body to impress the wife. Teehee.Cheers.Enjoy your Christmas and Happy New Year2 comments5"
12,HC Tang19 Dec 2018#4 is hahahahahaJim Ng19 Dec 2018It is important leh! HAHAHA
13,"Gloria NeoLevel 3. WonderkidUpdated on 07 Jun 2019I have only just started my investment journey this year, after attending my first SGX talk just months ago. So going forward into 2019, I am hoping to be a little more daring when making my first investments. I am also excited to attend more investment talks and learn more from the insightful articles on seedly XD1 comment5"
14,Kenneth Lou19 Dec 2018Solid!! haha That's really good :) Keep going and learning along the way.
15,Victoria ErLevel 3. WonderkidUpdated on 07 Jun 2019Save and invest 50% of my take home salary!1 comment5
16,Kenneth Lou19 Dec 2018This is a good one! very achievable also :) go go go! Especially if you are only starting out now :)
17,"Aaron LimLevel 3. WonderkidUpdated on 07 Jun 2019Firstly My 2019 personal finance resolution would be that to get a better paying job, able to save more than what i saved this year and lastly is to invest my money somewhere to make it grow! Secondly is to travel to taiwan and japan as i'm dying to go there on top of that lose some weight! Lastly is to learn more about finance management and help people around me to have the habit of savings!1 comment5"
18,Pascal Samsoon23 Dec 2018#weightcontrol you are the second guy who commented looking to lose some weight. Haha. Should form a group for that. Lol
19,Tanyingfang JaniceLevel 3. WonderkidUpdated on 07 Jun 2019My 2019 financial resolutions are:1) To commit to no spend days2) To cut away subcriptions from Netflix and Spotify3) Maintain or increase my savings 4) Broaden my source of wealth😊💪🏻🤑5 comments4
20,"See all 5 comments Daniel Lee19 Dec 2018Alternatively, you could look at getting the family plan for both and then share the costs with a couple of friends! It'll cost you cheaper per month for the subscription. That way, you don't have to kill the subscriptions!Tanyingfang Janice19 Dec 2018Heh oki! Thanks for the suggestions :) "
21,"Sheryl KohLevel 3. WonderkidUpdated on 07 Jun 2019Gotten some inspiration online & my specially picked ones are : Taking the challenge to have some “No Spend Days” in the month! Something newTracking my budget more consistently Cutting bad habits to reduce overall expenses (e.g eating at restaurants less often, avoiding temptation to have desserts all the time after a full meal) 1 comment4"
22,"Kenneth Lou19 Dec 2018“No Spend Days” are intense! Maybe we should also try that hahaha. For your budget part, we hope we can be part of you in that journey :)"
23,"ChiChing WanLevel 3. WonderkidUpdated on 07 Jun 2019My 2019 Personal Finance Resolution is to 1. find a better job with better work life balance and prefarably higher pay, and 2. save as much as i can for BTO1 comment4"
24,"Loh Tat Tian01 Jan 2019My view personally is, if you can beat the 2.6% of HDB loan, it's good to drag out the loan. There are some strategies which some community members have shared. They max out basic healthcare Sum and CPF SA for interest to overflow to CPF OA. This works if you are a decently high income earner. "
25,"Priscilla LongLevel 3. WonderkidUpdated on 07 Jun 2019For my pf resolution, I aim to further challenge myself to learn more on investment by doing more reading and attending courses next year! Seedly had been my go-to place for reading as a beginner. ◡̈1 comment4"
26,Kenneth Lou19 Dec 2018Solid!! Haha hope we can continue with you on that journey beyond your beginner and intermediate stages :)
27,"Nicolas Leung Jun WeiLevel 3. WonderkidUpdated on 07 Jun 2019 My Personal Financial Resolutions for 2019: Increase my revenue instake as a student, via giving more tuition, taking up internships and part time roles.Reduce my expenses as a student, emaning eating cheaper meals, less partying, stay away from having a girlfriend.Stay focus on goals on goals above for now.Cheers1 comment3"
28,Loh Tat Tian01 Jan 2019Stay away from having a girlfriend? You might miss out on future partner. Your wife will work with you on personal finance. It shouldn't be costing you much by having a girlfriend if she's wife material. 
29,"Guan WinsonLevel 3. WonderkidUpdated on 07 Jun 20192019 is a brand new year. In the coming year, I will try to polish my knowledge in financing either in saving or investing. I will stick to my plan towards financial freedom. In such a challenging years I ll try to accumulate more value stocks in my basket, involve some p2p crowdfunding to boost the earning. I will also cut some bad habit which which is wasting time and money. In this year I learnt a lesson, do not be hurry, just step by step towards financial freedom. The more eager you are, you might lose much more than you expected 2 comments3"
30,Kenneth Lou19 Dec 2018Starting and taking the first step is always good!Loh Tat Tian01 Jan 2019I like your comments on slow and steady. I was actively reading up investopedia for at least 10 years. And only started investing recently. 
31,"John KhawLevel 3. WonderkidUpdated on 07 Jun 2019In 2019:Ride out the volatility in the stock market now (and have the cojones to watch it nosedive)Invest in REITs, slow but steady stream of incomeHold out for 2020 before buying any new phones (wait for 5G!)Do the usual, save wisely.Make a dent in the universe.1 comment3"
32,Leong Wen Fong19 Dec 2018hmm... 5G... hope the speed is really there!
33,"Rslyne Lim, On Site Coordinator at VWRLevel 2. RookieAnswered on 19 Dec 2018My personal finance resolutions would be to try to increase the percentage that I save from my salary, track my expenditure more diligently and cut down on where I can and to learn & finally do some investments!! And finally like everyone else, to lose weight hahahahaha. :D0 comments3"
34,Tay Boon SiangLevel 3. WonderkidAnswered on 19 Dec 2018Personal finance resolution for 2019 is to start turning in a tidy profit on all my investments. 2018 has been a year of consolidating my messy investments and throwing them into eTFs 0 comments3
35,"Chen ZhirongLevel 4. ProdigyUpdated on 07 Jun 2019Wow I was just planning this last night. For about 35k, including bonus, this was how I planned.Firstly, TREAT YOSELF. Gave myself a budget of about 5k for holidays and entertainment. Planning to catch the Aladdin and Matilda musical next year! Plus visit North Korea.Then, ""business expenses"" read one or two new cameras. I would really like the Fuji XT3 and maybe the 50-140mm. Or maybe get more Canons and get the 11-24mm? Need some LED lights too. Probably 5k for the lot though I might exceed.With the remaining 25k, I plan to put 15k into SRS and invest either in an annuity or stocks, depending on the market. 7k into CPF SA.  7k in my parents' OA. And keep the remaining 1k as buffer or maybe to donate?2 comments3"
36,HC Tang19 Dec 2018Good son :) Chen Zhirong20 Dec 2018^_^
37,"Beverly NgLevel 3. WonderkidUpdated on 07 Jun 2019In the past, my approach towards ""saving"" money is cutting down unneccessary expenses (e.g.  reduce dining out with friends, cut down on facials, try to avoid taking Grab/taxi as much as possible). Though these are good saving habits, but certaintly unsustainable in a long run as this affects the quality of my life. In 2019,  I will start to take advantage of credit card promotions or/and make dining reservation through Eatigo app to enjoy more savings without compromising meet-up with friends. When booking hotel for overseas trip, I will also book through Shopback to enjoy greater cashback savings. I will also look forward to read more on investment strategies to know how I can grow my wealth. Overall, I hope to improve my personal financial knowledge to acheive financial freedom for myself. 1 comment3"
38,Leong Wen Fong19 Dec 2018That's very specific!
