,content
question,"Credit Card Asked by AnonymousAsked on 29 Sep 2018If I have credit card debt, is it better to get a loan from the bank to pay off the credit card debt knowing loan interest rate is lower than credit card interest rate? ?9 answersAnswerBump0"
0,Answers (9)Sort By Most UpvoteMost UpvoteMost Recent
1,"As DfLevel 3. WonderkidAnswered on 01 Oct 2018That's basically what they do with debt consolidation. Before that, you could try tapping interest free options IF you're disciplined enough to not just snowball your debts.0 comments3"
2,"Jonathan Chia Guangrong, Fund Manager at JCG FundLevel 6. MasterAnswered on 02 Oct 2018Sorry to go into a bit of a lecture mode, but if you are unable to pay off your credit card balance in full each month, perhaps you should not be holding credit cards in the first place. The interest can kill you if you are not careful. You need to be more disciplined in your spending (strong reminder to myself as well). Someone in my family was banned from applying for credit cards for a number of years due to snowballing of interest..​That said, if you are indeed in credit card debt, try calling the bank to see if there's any way to put together a plan to restructure the debt. It will be a painful episode while you pay down the debt but I believe you will be stronger at the end of it. ​All the best.0 comments2"
3,"Charmaine Ng, The Value Maximizer at @ Every Ma La Xiang Guo StallLevel 6. MasterAnswered on 16 Jun 2019No. Also please evaluate how deep in debt you are right now.If you are having credits and unable to pay off; stop looking for ways to pay it off first. Start looking at ways to cut your spendings first.Suggestion:If you're 1-3months of your salary in debt right now; immediate cut out unnecessary everyday luxuries + review monthly expenses (telcos etc.) to pay off the debt now. Don't bother looking at taking out loan for lower % interests; because they would have a one-time processing fee which would equate to your interest rates anyway (or a little more.. which the costs is insignificant considering you might snowball your debts anyway.)If you're 4-6 months of your salary in debt right now; do the above; switch to a loan ONLY after evaluation. By evaluation I don't mean speaking to bankers who benefits from your business. I mean comparing different loans and speaking to bankers only to understand the product; not sign-on immediately. Ask Seedly community if you must; but by this time you should also be looking at discussion with family members to see if they could help out & 2nd income source to speed up your repayment.If you're 7months of your salary and in debt. Contact CCS and register for an infotalk. You urgently need it and do not think about getting another loan to pay the first one. You will never cover the hole without getting proper knowledge of where you went wrong. Also in the talk you will hear more about the different types of options for you.All the best!0 comments0"
4,"Aik KaiLevel 6. MasterAnswered on 12 Mar 2019Agree with Jonathan. Otherwise, you can look at debt consolidation services provided by the banks. Almost all has it. Just do a quick google search.0 comments0"
5,"Loh Tat TianLevel 6. MasterUpdated on 16 Jun 2019This has been answered before.https://seedly.sg/questions/if-i-have-credit-card-debt-is-it-better-to-get-a-loan-from-the-bank-to-pay-off-the-credit-card-debt-knowing-loan-interest-rate-is-lower-than-credit-card-interest-rateMY take, you should not even need to look into this.2 comments0"
6,Charmaine Ng16 Jun 2019Lol. I think you just posted the link to this question itself.Loh Tat Tian16 Jun 2019😱 ops. There are really many similar threads. Didn’t know why this question was updated 9hours ago
7,"Elsa GohLevel 5. GeniusAnswered on 01 Oct 2018If you have not begun accumulating credit card debt, don't even start. The stress of snowballing interest is not worth it.0 comments0"
8,"Nicholas ChanLevel 5. GeniusAnswered on 01 Oct 2018Definitely, if u can get one. They are sometimes referred to as debt consolidation plans0 comments0"
9,"Jay Liu, Sleepyhead at Land of Dreams Level 6. MasterAnswered on 01 Oct 2018You can try getting a loan since interest is lesser but subjected to approval. Alternatively, try getting from families/friends. But do remember to pay them back. Best to start clearing it ASAP before the interest kills you alone. 0 comments0"
10,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardUpdated on 30 Sep 2018You can try to use those letter with cheque that bank always mail to their credit card user or call them to ask for fund transfer offer with lower interest.It usually comes with admin charge and lower interest or some just admin charge and zero interest.​If you calculate the admin charge and interest total is lower than your current cc debts plus interest ,and confidence to repay the total loan in time, then is worth taking it.​Call up the bank and see what they can offer you.Either way , have to try to repay ASAP as the interest always snowball fast and high. Try to repay credit card debts always before or at the point of bill comes.​Cheers.0 comments0"
