,content
question,Credit Card Promo Codes Asked by AnonymousAsked on 29 Nov 2018Anyone willing to share your YouTrip referral code?Looking to earn the $10100 answersAnswerBump9
0,Answers (100)Sort By Most UpvoteMost UpvoteMost Recent
1,"Willy ChuaLevel 3. WonderkidUpdated on 25 Jun 2019Can use mine, just got my new card so still have 10 invites as at 28 May'19. Hurry before it runs out. Note that you have to top up $20 into the card and wait for at least 1-2 weeks before they will credit the $10 into your card.CHUA has invited you to use YouTrip, get S$10 free money after your first top up! Get the app and accept the invitation with this special link: https://youtrip.app.link/HWEE%20LEE663218 comments7"
2,"See all 8 comments Ng Hong Liang16 Jun 2019Hi Hwee Lee, I used one of your slots! Just got my card! No referrals as at 15 June 2019.

~If anyone needs another code here's it:

https://youtrip.app.link/HONG%20LIANG189415JCJohnwei Chong25 Jun 2019Use YouTrip, get S$10 free money after your first top up! Get the app and accept the invitation with this special link:
https://youtrip.app.link/CHOON%20WEI187365"
3,"Tee-Ming Chew, Co-founder at SeedlyLevel 6. MasterUpdated on 20 Jun 2019You can use mine via this link:https://youtrip.app.link/TEE%20MING142805SGD$10 for both of us after your first top up!0 comments3"
4,"CL TanLevel 2. RookieUpdated on 27 Jul 2019Still available for referral code, feel free to use mine below I have invited you to use YouTrip, get S$10 free money after your first top up! Get the app and accept the invitation with this special link:https://youtrip.app.link/CHEOR%20LEONG1632483 comments3"
5,See all 3 comments Nurul Liyana14 Jun 2019Thank You!CL Tan27 Jul 2019It’s my pleasure
6,Damian YeoLevel 2. RookieAnswered on 23 Mar 2019Here you go! Free $10 as well!https://youtrip.app.link/DAMIAN%2C%20QUANKAI119250 comments3
7,"Clarence Chua, Financial Planning Specialist at Prudential Assurance SingaporeTop Contributor (Sep)Level 7. Grand MasterUpdated on 28 Jun 2019You can use my link: https://youtrip.app.link/HAN%20WEI%2C%20CLARENCE798120 comments2"
8,"Fiona Finny LeeLevel 2. RookieUpdated on 14 Jun 2019This link will help you all to get $10 for free when u sign up with this link!
https://youtrip.app.link/FIONA%20JIH%20YIN22173Please bote that u have to TOP up $20 on your own acc before receiving this $10!1 comment2"
9,Fiona Finny Lee14 Jun 2019I left with 9 referrals! Help yourself with it! Have a nice day!!!
10,"Cherie Julianne Tan, Content Strategist at SeedlyLevel 6. MasterAnswered on 31 May 2019YoOoooOo, joining the bandwagon for this. Top up S$20 in your YouTrip card and we both get S$10 FOR FREE! :)https://youtrip.app.link/CHERIE%2C%20PI%20FENG120380 comments2"
11,"JAJoseph AngLevel 2. RookieUpdated on 28 May 2019You can use mine! Joseph has invited you to use YouTrip, get S$10 free money after your first top up! Get the app and accept the invitation with this special link: https://youtrip.app.link/JOSEPH%20JI%20SHIANG1564000 comments2"
12,Tham Wai YipLevel 2. RookieAnswered on 09 Feb 2019Can use this too! Thanks😁https://youtrip.app.link/WAI%20YIP251280 comments2
13,Daniele SambenedettoLevel 2. RookieUpdated on 27 Jun 2019Just a reminder for the new subscribers: in order to get the 10$ you have to top up your card at least 20$.here you go my code:https://youtrip.app.link/daniele60886cheers 😁2 comments3
14,"Sherry Joanna Lee13 Apr 2019There's a capped of 10 successful referrals. I need 8 More!! 

Here's mine https://youtrip.app.link/HUI%20BIN%20SHERRY22900Megan Tan27 Jun 2019Here it is, rmb to top up 20$. 


https://youtrip.app.link/PAT%20HOON%2C%20MEGAN213786"
15,Xuan Le GohLevel 2. RookieUpdated on 07 Jun 2019Here you go!https://youtrip.app.link/XUAN%20LE16886 (fully referred)or https://youtrip.app.link/TING TING SHANICE108602 comments2
16,"Lim Lim08 Feb 2019Hi there just use your code :) . Xuan Le Goh08 Feb 2019Thank you, remember to top up your value =)"
17,"KKennyLevel 2. RookieAnswered on 25 Jun 2019Left with only 5. Do act fast for free money..
https://youtrip.app.link/CHEE%20WOOI208346
5/100 comments1"
18,"Joye SunLevel 2. RookieUpdated on 07 Jun 2019I have invited you to use YouTrip, get S$10 free money after your first top up!
Get the app and accept the invitation with this special link: https://youtrip.app.link/RONG1804011 comment1"
19,CL Tan06 Jun 2019You’re welcome
20,Philip WanLevel 2. RookieUpdated on 31 May 2019HiMine was just created (31 May 19)... and has 10 new invites ... Top up $20 and enjoy $10 credit. Do consider :)https://youtrip.app.link/WEI%20MENG1466850 comments1
21,"Vernetta Tan Jia XuanLevel 2. RookieUpdated on 18 Jul 2019You can use mine :)
8 more available (:
VERNETTA has invited you to use YouTrip, get S$10 free money after your first top up! Get the app and accept the invitation with this special link:https://youtrip.app.link/VERNETTA%2C%20JIA%20XUAN646792 comments1"
22,Vernetta Tan Jia Xuan30 Jun 20198 more available ☺️Vernetta Tan Jia Xuan18 Jul 20197 avail slot more to redeem (:
23,"Yong Ann LyaLevel 2. RookieAnswered on 29 May 2019Hi everyone, you might want to use my referral link below for the free $10. https://youtrip.app.link/YONG%20ANN1674670 comments1"
