,content
question,"DBS DBS Multiplier Savings Bank Account Asked by Ivan LeeAsked on 04 Sep 2018Are there advantages in having a fixed deposit account and a savings account? Why do some people put money into a FD account, instead of say, putting everything into a savings account (e.g. DBS Multiplier)?Would like to understand if having a FD account grants some form of interest rate that is more attractive as compared to savings accounts these days - thanks!9 answersAnswerBump1"
0,Answers (9)Sort By Most UpvoteMost UpvoteMost Recent
1,"Lok Yang TengLevel 6. MasterUpdated on 07 Jun 2019Fixed deposit(FD) also known as time deposit is when you lock a sum of money with an entity(government, coporations, banks) in exchange for higher interest rates than what savings account offer.​Disadvantage of FD: Illiquid, your money is locked until its maturity. If you choose to withdraw before the maturity date, you will not receive the interest and may inccur transaction fees.​Advantage of FD: Higher interest rates than what common savings account offer​Disadvantage of savings account: Lower interest rates than FD​Advantage of savings account: You can choose to withdraw your money anytime without constraints and inccuring extra charges for any uses.​You should put only a portion of your money into FD since you may not be able to touch the money within the next few years (usually 5-10 years).2 comments3"
2,"Ivan Lee04 Sep 2018Thanks for the comparison! But please help me to understand - when you mention lower interest rates for savings accounts (compared to FD), is this still the case? I'm looking at DBSM, OCBC360, interest rates on these accounts look very attractive.Lok Yang Teng04 Sep 2018For normal savings account, interest rates are usually 0.05% per annum. Savings account like OCBC 360, DBS Multiplier also have base interest of 0.05% per annum, but have certain criterias which can allow you to increase the percentage (up to 4% or more). However, there are several limitations. 1) For OCBC, one criteria is  to have minimum monthly average daily balance of S$200,000. The Deposit Insurance Scheme (DIS) is only up to $75,000. Meaning that if the bank is to lose all your $200,000 (in an unlikely scenario), you will only get back $75,000. 2) Not everyone is ... (more)"
3,"Jonathan Chia Guangrong, Fund Manager at JCG FundLevel 6. MasterAnswered on 17 Sep 2018Both instruments serve different purposes. FDs incentive you to leave the money locked in for a selected period of time for a pre-determined interest rate, whereas savings account typically give lower interest rates but are definitely more flexible when it comes to movement of funds. ​It'll also depend on the savings account used. Some like DBS multiplier or OCBC 365 may give higher interest as compared to a FD, but there are conditions to be fulfilled. Some like CIMB Fastsaver or Citibank's Maxigain account gives straight up higher base interest for just leaving the funds untouched. The latter may potentially give more than 2% p.a after a year once the 12 bonus monthly counters are in.0 comments0"
4,"Jay Liu, Diploma in Accountancy  at KHEALevel 6. MasterAnswered on 17 Sep 2018If you can't meet multiplier categories for higher interest e.g.being a student, NSF. You can actually go for FD instead for higher interest rates and shorter tenure. Typically standard savings account are 0.05% Base interest. There are much more higher ones out there like fastsaver, maxigain. But it's around 1.25%. Say the recent CIMB FD online promotional rates are up to 1.80%++.0 comments0"
5,"Ck ChaiLevel 4. ProdigyAnswered on 17 Sep 2018Pros of FD:FD offers better interest rates than the normal saving accounts.FD does not require the need to fulfil min. 2~3 criterias to enjoy better rates in High Yield Savings e.g. DBS Muiltiplier / UOB one / OCBC 360.​Cons of FD:Usually has a locked down period of 12 / 24 months with a min. amount, esp during promo int rate periodloses some interest if withdraw before maturity, and depending on when you withdraw​Pros of High Yield Savings:More flexibility in terms of withdrawal​Cons of High Yield Savings:Need to fulfil min. 2~3 criterias to enjoy high interest and some of the High Yield Savings A/C require a min. spending on credit cardsUsually there will be a cap to the max of savings that can enjoy the high interest, e.g. DBS Multiplier capped at 50KDepending on individual's situation, some don't mind putting money into FD if they foresee there's is no need to touch the $ for time being. Others who prefer more flexibility may either opt for High Yield Savings A/C, SSB or CIMB Fastsaver.0 comments0"
6,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 16 Sep 2018FD: Some kept into for higher than normal savings a/c interest and able to being lock at least for 12 months for decent interest. ​High interest savings (eg. DBS-M): These days i think these are more popular, easy to fulfill the conditions of 2 (credit salary and credit card) and get higher interst savings, with immediate liquidity except need to maintain min 3k savings. ​Personally, i see DBS-M or CIMB savings account a better choice due to it's immediate liquidity. If i want higher interest and don't mind being lock up for 12 months, i wil rather go for SSB.  0 comments0"
7,Good Day Every DayLevel 6. MasterAnswered on 16 Sep 2018Only advantage is higher interest rates even though fixed deposits are less liquid than saving accounts. 0 comments0
8,"Gabriel LeeLevel 6. MasterAnswered on 16 Sep 2018Sometimes, fixed deposits offer higher interest than normal savings accounts. For example, for someone who doesn't meet the salary credit or minimum spending for a higher interest savings account like DBS Multiplier (NSFs/students). In my case, I'm currently an NSF and using CIMB Fastsaver for my life savings to earn 1% interest with no requirements (Closed my POSBkids account). Recently, I opened a fixed deposit account with CIMB as they are offering 1.84% interest for locking in my funds for 12 months. Also, I do not need these funds anytime soon which explains why I'm willing to lock it in to earn the higher interest. You can check out the promotion here https://www.cimbbank.com.sg/en/personal/news-and-promotions/promotions/accounts/cimb-fast-fixed-deposit-promo.html . Also, fixed deposits is a safe way to grow your money as it's assured by the Singapore Deposit Insurance Scheme for up to $50k.​The cons of fixed deposits is that if you were to withdraw the money, you would not be able to get that extra interest that you could have earned. But contrary to popular belief, you can withdraw the money from your fixed deposit account. If you are looking at long term, can consider Singapore Savings Bonds as well as it offers more than 2% interest, captial guaranteed and is liquid.0 comments0"
