,content
question,Endowment Policies Investments Insurance Asked by AnonymousAsked on 04 Oct 2018Is endowment plan necessary? Especially one that requires payment for 30 years or would investing be the better option?13 answersAnswerBump1
0,Answers (13)Sort By Most UpvoteMost UpvoteMost Recent
1,"Jonathan Chia Guangrong, Fund Manager at JCG FundLevel 6. MasterUpdated on 12 Jun 2019No it's not necessary.. Definitely not when the funds are locked up for so long period a time.. There are safer and more liquid ways to park your funds. Like Singapore savings bonds, or a bond Etf. These will give you about the same sort of returns as an endowment, plus minus a bit. There are also high interest rate accounts like citibank's maxi gain giving you about 2% or more at the end of one year (based on current rates where the base interest is 80% of one  month sibor). If you have a larger risk appetite, a basket of s-reits yield a better return than an endowment. Hope this helps. 3 comments5"
2,"See all 3 comments Jonathan Chia Guangrong05 Oct 2018Mm is there any surrender value to the policy at this point in time? Personal take is to look at this first before deciding further.. If there is some surrender value, you can assign it to a third party like REPS holdings for something higher than current surrender value. Do this if you are comfortable with better liquidity with a little less returns via the previously mentioned instruments or if you think you can get better returns out there without your funds being locked up in a retail product. Again this is my personal opinion. Hope this helps Eric Chia12 Jun 2019It seems like you're back tracking if you stop the endowment plan now. Are you 100% sure that your investments will give better returns than the endowment? If yes, then surrendering after 3 years of premiums paid don't seem so bad. If not, maybe you should set aside some extra money for investment and then compare your investments with the projected returns of the endowment plan before doing anything."
3,"Hariz Arthur Maloy, Independent Financial Advisor at Promiseland IndependentTop Contributor (Sep)Level 9. God of WisdomAnswered on 05 Oct 2018Firstly, we need to understand the purpose and objective of an endowment policy.​When money has to absolutely be there no matter what for a specific event in your life (child education, retirement, paying the downpayment on a house or car), get an endowment.​If you can take any sort of risk to seek for better returns than 4%, it would be smarter to invest in the market.​A globally diversified managed portfolio can generate 6-10% on average based on your risk profile which offers liquidity is might be something you should explore if you're not interested in learning how to invest by yourself.​But before you start looking for potential upside, make sure you protect your downside, by having an emergency fund of about 3-6 months of your salary, life insurance that covers about 10-15 years of your salary in the event of death and permanent disability, and about 3-5 years of your salary in the event of Critical Illness.​All the best!0 comments3"
4,"Choon Yuan ChanLevel 4. ProdigyAnswered on 06 Oct 2018No, especially For endowments that requires you to be locked in for 30 years​Using the oney to buy term/Index Funds/ SSB or even CPF SA would outperform such 30 year endowments. I would say no to any financial advisor who advses such long term endowments unless it can gurantee 4.75% returns0 comments2"
5,"Ck ChaiLevel 4. ProdigyUpdated on 07 Jun 2019If there’s a chance, I would tell the teens me not to buy endowment coz after 23 years near maturity, I just managed to break even. It is not even 1/2 of projected value as last checked, estimated matured value is now $13K+ vs originally projected $20k+. it was my very first policy bought when I'm totally ignorant of the pros and cons.​However, endowment may works for those without saving discipline. Best to buy without the riders. Having said that, there are other investment instruments that provide greater flexibility.5 comments2"
6,"See all 5 comments Ck Chai15 Nov 2018e.g. AIA 25Year BMAE, Total Lifetime premium to pay $11.8K and last checked maturity value $14K vs originally projected $20K+  but then interest rates has dropped tremendously over the years since 1 first bought 20 years ago :(
Also initial years bought with rider and only cancelled much later...
Loh Tat Tian19 Nov 2018Oh dear. The rider has taken a huge bite into your returns. Care to share what rider is it? Normally payor benefit is only about 1% of the premiums (and that should not eat up the projected returns so much)."
7,"Jim NgLevel 5. GeniusAnswered on 05 Nov 2018Firstly, you need to determine what kind of risk profile do you have.Are you a conservative investor, moderate investor , or aggressive investor?Determine how much risk you are able to stomach before determining the investment vehicle, what is the time horizon you are looking at to set aside this amount of money, and how much losses you are able to take.Next, realise that endowment policies are partially guaranteed and partially non-guaranteed.  Where as for investment options** such as unit trusts, exchange traded funds, mutual funds, they are 100% non-guaranteed**.Then, compare between instruments that provide guaranteed returns. They are namely Fixed Deposits and Singapore Savings Bonds. In comparison to the returns that Singapore Savings Bonds can return over a 30 years period, endowment policies can only potentially provide higher returns than Singapore Savings Bonds.You can read more about the calculations that I've done here:https://bit.ly/2F0zkgc0 comments1"
8,"Vinson Ong, Financial Consultant at Financial Consulting FirmLevel 2. RookieUpdated on 07 Jun 2019Endowment plans are definitely not necessities but they could be a good addition to your portfolio.Many investors diversify their investments by investing in instruments of different risk levels. Endowment plans could be an option for these investors as a low-risk instrument which requires minimal monitoring while providing them with a potential of 2-4% (approx) yield per annum. Furthermore, there are endowment plans which provide minimal guaranteed maturity values with at least 1% (approx) yield per annum. Thus, if the participating fund of the endowment plan performs terribly consecutively for the term of the policy, the investor could still achieve a yield similar to a fixed deposit. However, this scenario is unlikely as endowment plans typically run for long periods which makes it rare for the policy to be issued zero bonus across the years. Furthermore, once the bonuses are declared, they become part of the policy. Endowment plans thus helps these investors to free up their time and allow them to focus their attention towards investments with higher risks (which translates to higher potential returns).Endowment plans are also suitable for parents who are looking to put aside money for their children's education. Parents want to make sure that regardless of what happens to them, be it death or disability, their children get a chance to pursue the education they deserve. With an endowment plan, should death or total disability happen to the policy owner, the endowment plan would pay out a lump sum of money which can then be used for the children's education. Endowment plans also provide the discipline (which some parents may lack) by locking away the funds until the maturity date. This ensures that the children's education funds remain untouched until it is needed.In conclusion, endowment plans are definitely not necessities but it can serve as a good instrument to certain groups of people. Thus, be clear of the reason you are purchasing an endowment plan before committing to it.Should you have any queries, feel free to contact me at https://m.facebook.com/vinson14 or drop me a text at 94318747. 1 comment1"
