,content
question,Expenses Tracking Family General Asked by AnonymousAsked on 20 Sep 2018How do married couples share your kids expenses? Share which method your are using here! I have put four ideas here but interested to know more?1) 50-50 - Both parties contribute same amount every month 2) Go by % of income - Both parties contribute same % of their income every month 3) 100% from Man of the Household 4) Maintain individual savings account 5) Any others?13 answersAnswerBump2
0,Answers (13)Sort By Most UpvoteMost UpvoteMost Recent
1,"Kenneth Lou, Co-founder at SeedlyLevel 8. WizardUpdated on 07 Jun 2019There is no right answer to this! But let me try to paint it clearer for the others to understand.​1) 50-50 - Both parties contribute same amount every month ​I think while this sounds logical, may not be sustainable eg some couples sometimes may have different earning power, but the kids are both their responsibilities.​2) Go by % of income - Both parties contribute same % of their income every month ​This one seems pretty modern and also the most utalitatian (fair) way to do it. But also need to have common understanding on both sides that by both increasing income, it helps the overall situation. In fact, I think this could work by creating a seperate savings account (eg CIMB Fastsaver at 1% p.a) joint account to withdraw from here. ​A shared expense - their kids.​3) 100% from Man of the Household ​I think this way is not the modern way to do it, used to see other families and my mum sharing from some of her colleages that if the wife stays home, that is where she gets a allowance + family maintainence that she will have to budget for groceries and kids etc.​4) Maintain individual savings account ​I think this may also result in miscommunications which is not so ideal in a long relationship. Money often is the core of most relationship problems.​5) Paying for certain activities (or by respective kid). MY WAY​This example is the one my parents used to raise us up. Both are working adults and worked hard to provide for my brother and I.​For tuition, enrichment classes, presents, gifts rewards (for me and my bro) - My Mum covered theseFor groceries, petrol, ultilities, and bills - My dad will cover all theseSo far, we've grown up well, and my family has a strong sense of financial independence and know-how imparting good money values to us as well. So I guess this kinda worked? ​At the end of the day, find your own way and stick with it! ​4 comments4"
2,See all 4 comments HC Tang24 Sep 2018@Yixuan Hello.. haha. .there is .. just that we're not so lucky to bump into one :P heheKenneth Lou26 Sep 2018LOL. Oops. @Yixuan
3,"ETEugene Tan Jia RongLevel 2. RookieUpdated on 07 Jun 2019My Wife and I earn roughly around the same. We have 2 kids, one is special needs requiring expensive therapy. as such, kids education alone takes up 40% of our income alone.​For Shared expenses, here’s our split (Which is roughly 50-50 in our household):​1) Kids education - as wife is the trustee of the kids‘ CDA, she handles all education payments including monthly CDA top-ups. She also handles the kids insurance.2) Utilities, conservancy & broadband - Wife3) Car loan, petrol & parking - Me4) Domestic helper - me5) Groceries - me6) Dining & entertainment - Me1 comment3"
4,Leong Wen Fong26 Sep 2018Ooh actually is it better to split the bills in a way that someone is always in charge of something so that we wont miss anything out?
5,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardUpdated on 07 Jun 2019For my dad, it is : 3) 100% from Man of the Household since he earns more than mum​Both has individual account, besides his own expenses for work & insurance, he just1) Pays for all the bills, utlities, groceries.2) Allocate a portion for investment for the family future3) Save a small amount for emergency funds in case of jobless / between jobs4) Save a small portion monthly for seasonale gifts such as CNY Ang Pow for Mum, kids, Parent in law, gifts of mum/kids birthday, children's day, mother's day, Christmas etc.5) Finally, balance all goes to mum to pay for everything else such as school fees, enrichment, tuitions and for mum to safe keep in case of any accident or mishap, mum and children will always be taken care off.​=> This is because mum is a very prudent woman who doesn't spend $ on clothings, branded goods etc and very sensible, practical with $ and living and absolutely hate wastage. Thus Dad trusted mum 100% with all that he earns and as the Finance Minister. After all, since he has chosen to married mum and have us as kids, all that he work for is towards the family well being and he kept hs own spending / entertainment cost minimum.​Since Dad contributed all that he has, so whatever mum earns, she will pay for anything else that she think is good for the children with their shared pool of $ or her own earnings.​​​2 comments3"
6,Kenneth Lou26 Sep 2018This is a good one! An all-round complete answer hahaHC Tang26 Sep 2018Thanks. Haha :) 
7,"Lim Tian ShangLevel 3. WonderkidAnswered on 24 Sep 2018100 😄
We do not separate between wife or husband.0 comments2"
8,"Thanh DatLevel 3. WonderkidAnswered on 26 Mar 2019Hi members, As a married couples, as a husband and wife, communication is important. For my family is this way how we managed our family. I earn more than my wife. I'm the planner. I have a boy and gal. I copy from Members Eugene Tan Jia Rong template for easy viewing as point form.1) Kid education - I'm my son (5yo) trustee of the kid CDA, I will handles all my son education payments including CDA top-ups while my wife did it for my gal (16yo) Vietnamese secondary 3. I also handles all my family medical insurance. For my gal education later part we plan to use CPF to fund for her study depand on situation in another 2 years time.2) Utilities, conservancy & broadband - Me3) Passing weekly school allowance - Wife, but I may help at time.4) Groceries - me if we go together, I look after my son milk supply. :). If she go solo with my son n gal. She paid.5) Dining & entertainment - Me. Sometimes she would said treat me. ;)6) Saving raining day: Me7) Investment: Me, just last week spend $1000 on buying gold bracelet and pendants for my wife. (Before when we are in hard time, we will pawn the gold for cash for temporary support). Time are good now. Increase gold asset for my wife.8) Fixed deposit: Me (Coming June)0 comments1"
