,content
question,"General Career Asked by AnonymousAsked on 16 Sep 2018I'm a fresh grad who has done 2 internships so far. One of the companies I interned at is offering me $2,500 gross pay. I feel that it is too low, am I being too picky? (It's for a marketing role)?SO far I have not have any offers yet, but have gone for a couple of other interviews9 answersAnswerBump0"
0,Answers (9)Sort By Most UpvoteMost UpvoteMost Recent
1,"Gabriel LeeLevel 6. MasterAnswered on 16 Sep 2018That's not too bad for a start. You can take up the offer first to gain more exposure and work experience, then make a switch in the near future 0 comments1"
2,"Good Day Every DayLevel 6. MasterAnswered on 16 Sep 2018$2500 is not too bad lah. I had been offered $1500 before and they even said : Take it or leave it in my face.  There are a lot of foreign talent willing to take the job. 
If it is $1500, say no to exploitation but if it is $2500, not bad lah. 0 comments1"
3,"Gabriel Tham, Tag Team Member at Kenichi Tag TeamLevel 8. WizardAnswered on 16 Sep 2018I think alot of us has started at that level or lower. ​Depends how desperate you are. If you have been searching for 6 months, I think better to take first.​​0 comments1"
4,"Yong Kah HweeLevel 6. MasterAnswered on 17 Sep 2018You need to evaluate if you can learn much from there. If there is no room for personal growth and advancement, then maybe you can look elsewhere :)0 comments0"
5,"Jonathan Chia Guangrong, Fund Manager at JCG FundLevel 6. MasterAnswered on 17 Sep 2018It's a good thing that the company you interned with likes you enough to want to hire you. I'd suggest taking up the offer. Get some corporate experience, work on a portfolio of achievements, then move on to something greater. All the best0 comments0"
6,"Nicholas ChanLevel 5. GeniusAnswered on 16 Sep 2018You need to consider the entire package as a whole, what are the other benefits like, learning opportunities, company brand name, etc, before deciding whether it is a reasonable offer. Don just look a base salary.0 comments0"
7,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 16 Sep 20182.5k may not seems much. But the factor you should look at is that if there's good learning , good mentor, good skills / experience to pick up ( check out and network to talk to other more mature marketing personnel ), if it does provides these good grooming factor, while you still in the middle of looking, then it is wise to take up this to learn first. If something better comes along not only monetary but also good training , mentorship , still not too late to switch over. Doing something is better than doing nothing 😁. Moving , learning and opportunity will come along ! 😄 Cheers 👍0 comments0"
8,"Jay Liu, Diploma in Accountancy  at KHEALevel 6. MasterAnswered on 16 Sep 2018When just starting out in a career, starting pay does not matter much but rather it's the experience that is much more valuable. 0 comments0"
9,Raimi JasmanLevel 3. WonderkidAnswered on 16 Sep 2018Dont be too picky. I’m a fresh grad also and I got an offer of 2K only and I am up for it. I am happy to learn along the way. Go and grab this golden chance as we are still young to learn and gain more new experiences along the way. 0 comments0
