,content
question,"General Loans Family Asked by AnonymousAsked on 25 Oct 2018Should I forgo investing completely and dedicate to clearing my mum's debt?I'm currently a final year uni undergraduate. My mum currently owes the bank more than 60k with 4.5 percent interest rate per year.She doesn't have a habit of saving and is jobless. I have about a year till I graduate.I was planning to start investing once i have an income source but right now, Im not sure if I have the financial ability to do that anymore. So should I focus on clearing my mum debts first or are there any other possible options to explore?17 answersAnswerBump1"
0,Answers (17)Sort By Most UpvoteMost UpvoteMost Recent
1,"Lee Jin Fei AndreLevel 4. ProdigyAnswered on 25 Oct 2018Always focus on clearing your existing debts, especially at such an interest rate. The more you drag, the more it compounds, the worse the debt. Using the money to invest right now is foolhardy and would cause you even more stress.Take for example you have $1,000 left after savings and expenses right now. You could choose to use it to invest of clear the debts. This means that you'll need 60 months or 5 years before you breakeven for just capital alone without interest payment.
If investing it reaps 5% p.a as an example, the returns can barely service the yearly loan interest at all. You'll end up paying much more for the loan instead.TL; DR: It doesn't make any financial sense to invest rn. The opportunity cost for servicing the loan is lower than investing the leftover money. Pay your loan asap.0 comments5"
2,"Shaun OngLevel 3. WonderkidUpdated on 07 Jun 2019I generally agree with Gabriel. That said, what would happen if your mom's debt isn't cleared?Is there a house to seize? Lost business opportunities due to being a declared bankrupt etc? If not, it might make more sense for her to just declare bankrupt. You can continue supporting her of course, but you can save on the giant debt4 comments5"
3,See all 4 comments Leong Wen Fong25 Oct 2018What's the conditions and implications of declaring bankrupt?Teo See Hwa30 Oct 2018https://www.ccs.org.sg/ call them
4,"Kenichi Xi, nᴉʍ oʇ dǝnᴉʇsǝd 不能说的秘密 at Tag Team with Gabriel ThamLevel 6. MasterUpdated on 07 Jun 2019I don't want to see Kok Koon after class bcos I need to gym so I reply here too.We need to know the source of the problem.If ur mum debt is due to gambling and bad habit, is likely the same problem will come back again.My solution will solve the coming back problem if the loans are from legal source n wun get illegal harrsement.Let ur mum declare bankrupt after withdrawing all the cash from bank or join accounts.Close all other investment with her name and sell all valuable assets if needed. Except roof over the head.Cpf and HDB will be protected from bankruptcy so ur mum still have a place to stay.If u think my solution is harsh, then u just have to bite the Bullet n hate her for life.2 comments4"
5,"Yixiong Chang30 Oct 2018""Let ur mum declare bankrupt after withdrawing all the cash from bank or join accounts."" 
Please do not advise on this. It is an offence to dispose of the property knowingly that u will be declaring bankrupt. It applies to the person receiving the property. 

You are required to list all your assets with the official assignee (including assets and their value sold/gifted away within 5years from date of bankruptcy). The official assig... (more)Kenichi Xi31 Oct 2018agree"
6,Elsa GohLevel 5. GeniusAnswered on 25 Oct 2018Do also consider speaking to the bank to restructure the debt as it sounds like your mum might be having some trouble.0 comments3
7,"Gabriel LeeLevel 6. MasterUpdated on 25 Oct 2018I would focus on clearing off your mum's loan as soon as possible first so as to reduce the amount of interest payable. Besides, returns from your investments are not guaranteed and if you end up with a loss, you'll be in debt even more. A rule of thumb is to invest with only money that you can afford to lose0 comments3"
8,"Jefferson SohLevel 3. WonderkidAnswered on 26 Oct 2018I would say do not declare bankruptcy... 4.5% loan is cheap vs the consequence of bankruptcy. Unable to fly, unable to buy things etc.I will advise u pay off first. Only invest with money u can afford to lose. 0 comments1"
9,"Good Day Every DayLevel 6. MasterAnswered on 25 Oct 2018Yes, you should clear your debts first so that you could accumulate more funds for investment. Wait for the right opportunities to invest. There is no need to rush into investment. 0 comments1"
