,content
question,General Shopping Asked by AnonymousAsked on 19 Sep 2018Any Taobao shopping hacks for those lousy in Chinese? Or hacks that are lesser known? Thanks :)?11 answersAnswerBump0
0,Answers (11)Sort By Most UpvoteMost UpvoteMost Recent
1,"JY XieLevel 3. WonderkidUpdated on 05 Aug 2019Came across this article on how to ship Taobao furniture to Singapore. A lot of helpful tips even though I don't buy furniture.Tips include• Narrowing your search results using filters• Camera function• Use the “找相似” function• Live chat function• Redeeming discount vouchersThe article also has a step-by-step guide on how to shop (+ screenshots), how to do quality checks for products and communicate with sellers. V informative and helpful imo2 comments5"
2,DSDaniel Soh05 Aug 2019This is so helpful 👍Charlotte Ang05 Aug 2019Ty for this!
3,"Ham DominicLevel 3. WonderkidAnswered on 22 Sep 2018To shop at Taobao, the most important thing is to be able to find the things you need. If you want to be able to browse and find the items yourself, www.taobaotranslate.com can help you find items you want. There are also guides there that can help you set up Taobao account, shipping from Taobao etc0 comments3"
4,"Jolene TanLevel 2. RookieUpdated on 27 Jun 2019Some hacks that have helped me:Image search keyword search: Upload an image of what you're searching for (this article talks about it in detail). Taobao will churn out a bunch of similar items. Afterwhich, you can dissect the product names -- isolate key phrases and search them, so you'd be able to get a more accurate results for what you want! (imo this works much better than Google translate)Clothes sizing: If you still feel uncertain with regards to sizing, you can actually chat with the merchant and tell them your height & weight - they'll revert with the appropriate size for the specific item you're looking at.Sale seasons (11.11, 12.12, 6.18): A tip from locals is to only buy branded items during sale seasons - reason being that other stores would mark up their items before applying sales discounts. I'm not 100% sure about this but it wouldn't hurt to track the prices of items you're eyeing!0 comments1"
5,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 19 Sep 2018I've writted a similar answer here: https://seedly.sg/questions/any-online-shopping-tips-tricks-and-hacks-in-2018-to-share-with-the-community?aid=2153&utm_source=answer_share&utm_medium=internal ​Tips: For the translation to english, use google chrome and at the taobao home page it will ask you if you want to translate. If it doesn't ask you, just right click and select translate. Voila! Taobao in English! :) Happy TaoBao (Treasuer Hunt!)0 comments1"
6,Xander LimLevel 1. FreshieUpdated on 21 Jun 2019I just found out recently that it is possible to shop perfectly without a need to understand Chinese! There is this digital Taobao Guide available on FB @taobaoguide where u can learn all the 'tricks' n 'secrets' to shopping on Taobao.. See https://www.facebook.com/taobaoguide/Hope this help!1 comment0
7,Xander Lim21 Jun 2019To add on.. Now I am using the Image Search n Camera Seach function.. Go try it!
8,Vivien Lee FengLevel 4. ProdigyAnswered on 18 Jun 2019Can use ezbuy or can use shopee. Both is easy friendly to use.0 comments0
9,"Sheena SngLevel 1. FreshieAnswered on 25 Apr 2019Hi, I am trying to change the logistic provider, but apparently there is only CaiNiao Air or Sea option ? Pls adv how can I select Lazada logistic?0 comments0"
10,"Jay Liu, Diploma in Accountancy  at KHEALevel 6. MasterAnswered on 21 Sep 2018Ezbuy! Bought stuff from there cos I can't read Chinese. I let down my tutor and school teachers sadly. 0 comments1"
11,"Yong Kah HweeLevel 6. MasterAnswered on 19 Sep 2018I will search for an item that i want on taobao in english first, then look for postings containing chinese characters. Usually that will be the item's name in chinese. i'd then copy and paste it into the search bar and search again!0 comments0"
12,"Gabriel Tham, Tag Team Member at Kenichi Tag TeamLevel 8. WizardAnswered on 19 Sep 2018Use google translate. My Chinese also sucks so I press auto-translate. Not the most accurate but with picture and guess-timation, you know what you buying.0 comments0"
13,Gabriel LeeLevel 6. MasterAnswered on 19 Sep 2018I usually use Ezbuy instead!0 comments0
