,content
question,"Giveaways In the News Lifestyle Savings Asked by Kenneth LouAsked on 26 Oct 2018(Halloween Giveaway) Tell a personal finance horror story in 5 words or less! Be as creative and funny as possible! Winner gets a pair of movie tickets chosen by our moderators!Hey everyone who is reading this, do help to “upvote” on the ones you feel should win! (giveaway ends 29th October 2359hrs)52 answersAnswerBump3"
0,Answers (52)Sort By Most UpvoteMost UpvoteMost Recent
1,Rave Ong Ci DeLevel 5. GeniusUpdated on 07 Jun 2019Just one more bet. 5 comments16
2,See all 5 comments Matthew Ng26 Oct 2018He should seek Andy's dadLeong Wen Fong07 Nov 2018Congratulations Rave! You are the clear winner of the Halloween Giveaway! I will be contacting you shortly for the prize!
3,"Gabriel Tham, Kenichi Tag Team Member at Tag TeamLevel 8. WizardUpdated on 07 Jun 2019FORGOT TO USE SHOPBACK!!!3 comments7"
4,See all 3 comments Shaun Goh26 Oct 2018Sometimes I stress over this and forget the cashback is less than 1 cent :( Kenneth Lou26 Oct 2018lol first world horror story haha
5,"Tee-Ming Chew, Co-founder at SeedlyLevel 6. MasterUpdated on 07 Jun 2019""Hello bro how you doing????""2 comments7"
6,"Elsa Goh26 Oct 2018LONG TIME NO SEE.Kok Koon26 Oct 2018I'll reply: ""I'm out of job recently. Can you lend me some money?"""
7,"Nicholes Wong, Diploma in Business Management at Nanyang PolytechnicLevel 6. MasterUpdated on 07 Jun 2019Agent: ""Im not selling anything.""4 comments6"
8,See all 4 comments Kok Koon26 Oct 2018Free power bank.Nicholes Wong26 Oct 2018MLM: Do you want to be your own boss? (but too long)
9,"Nellie LimLevel 3. WonderkidUpdated on 07 Jun 2019Paylah to wrong, unknown number!2 comments5"
10,"Leong Wen Fong26 Oct 2018This actually happened to me before, lucky it was below $10!Nellie Lim26 Oct 2018Mine was ard $20+ which means i will be paying 2x if can't ""chase"" back with the help of the bank. "
11,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardUpdated on 07 Jun 2019eing Approached by the credit card or insurance agent on the street:""I'm Jobless!"" or ""I'm a student!""Add:""Hey free to catch-up?""3 comments5"
12,"See all 3 comments HC Tang26 Oct 20182 or 5 ah. Exclude the ”or"" 😜HC Tang26 Oct 2018Added another one just nice 5 words 😜"
13,"Yeap Ming FengLevel 5. GeniusUpdated on 07 Jun 2019""Where is your wedding?"""" Capella."" 2 comments5"
14,"Yeap Ming Feng26 Oct 2018Cause the Ang Bao rate is the Top 5 in Singapore: https://blog.seedly.sg/how-much-wedding-ang-bao-rates/HC Tang26 Oct 2018Wedding at the ""Istana"" :P hahahah"
15,Beverly NgLevel 3. WonderkidAnswered on 26 Oct 2018No more full rider policies. 0 comments4
16,Huang YixuanLevel 6. MasterAnswered on 26 Oct 2018Cannot waive annual fee.0 comments4
17,Carrie Sim-GohLevel 2. RookieUpdated on 07 Jun 2019One year later: Agent disappeared8 comments4
18,See all 8 comments Bear Cranky27 Oct 2018DON'T buy insurance from friends!Kenneth Lou30 Oct 2018wow... tough ones...
19,"Kenichi Xi, nᴉʍ oʇ dǝnᴉʇsǝd 不能说的秘密 at Tag Team with Gabriel ThamLevel 6. MasterUpdated on 07 Jun 2019I am Pregnant2 comments3"
20,Leong Wen Fong26 Oct 2018CongratsKenneth Lou26 Oct 2018lol lol nice one.
21,"Shaun GohLevel 3. WonderkidUpdated on 26 Oct 2018""Capital gains taxed as income"" - please don't tax my dividends tooooo0 comments3"
22,"Joseph Sng, Chief Curator at CurateXX AsiaLevel 3. WonderkidUpdated on 07 Jun 2019Dropped iPhone XS (Screen Cracked)1 comment3"
23,"Kenneth Lou26 Oct 2018Wah. ""buy apple stock"""
24,Shaina Catalina PehLevel 2. RookieUpdated on 07 Jun 2019Student loans + housing loans 😱1 comment2
25,"Leong Wen Fong26 Oct 2018Hahaha anything with the word ""loan"""
26,"Jay Tee, PC enthusiast at HomeLevel 3. WonderkidUpdated on 07 Jun 2019Girlfriend wants 2 carat ring.2 comments2"
27,Kenneth Lou26 Oct 2018lol hahaha. 2 carrots more like it.HC Tang26 Oct 2018🥕🥕 That's easy! 
28,Elsa GohLevel 5. GeniusUpdated on 07 Jun 2019IRAS: Shares capital gains taxable.Cryptocurrency replaces SGD as currency.2 comments2
29,Kenneth Lou26 Oct 2018Wow that 1) is a big one. hahaLeong Wen Fong26 Oct 2018LOL this one really quite horror
30,"Liew XunLevel 2. RookieUpdated on 07 Jun 2019"" CPF withdrawal age increased""1 comment2"
31,Leong Wen Fong26 Oct 2018amount better increase also
32,"Jeff Yeo,   amateur Social contributor  at School of social sharingLevel 6. MasterAnswered on 26 Oct 2018Income tax increased again ... 0 comments2"
33,"Kenneth Lou, Co-founder at SeedlyLevel 8. WizardAnswered on 26 Oct 2018""Can help me do survey?""Last year's winner! 0 comments2"
34,Nathan KohLevel 2. RookieUpdated on 07 Jun 2019“Your account has been locked”After trying to type the correct password for your ibanking/brokerage account!1 comment1
35,Leong Wen Fong30 Oct 2018wa this one heart really can stop one leh
