,content
question,HDB BTO AMA SG Young Investment Fresh Graduates Loans Property Asked by AnonymousAsked on 07 Sep 2018Should a fresh graduate couple proceed to apply for a BTO despite being in student debt?I am not sure if we should jump into applying for the BTO now as we are both still repaying our student loans. We have just started working as well. And we have checked and found that we are eligible for the deferred assessment of income schedule that was recently launched in May 2018.16 answersAnswerBump0
0,Answers (16)Sort By Most UpvoteMost UpvoteMost Recent
1,"Siti PutriLevel 5. GeniusUpdated on 07 Jun 2019I am a believer in well planning in advance.1) Upon reading your question, actually  the first thing that strikes out to me is the relationship. I assume both of you are certain wanting to share your life with each other and not simply because it is the “norm” stage. Pardon me as I am not trying to be offensive but this is important. There are cases of young couples having to folk out a lot penalty $ when they forgo their successful BTO supposing, plus might be ‘blacklisted’ and wait longer next time.2) Next, at this early stage of career, are you certain both of you like the jobs you are in and can stay for at least 2 years in same company? Oftentimes this is the stage of “finding” yourself in your job and tendency to job hop. The concern here is on your income stability.3) If you are absolutely certain on items 1 & 2, then I suggest to do a proper financial calculation. List down all the liabilities each of you own like school loan, credit cards. Fixed expenses like food, transport, insurance premiums. Discretionary lifestyle like fine dining, travelling. Total assets if any like CPF OA and any cash savings. It is understandable if you do not have enough cpf and cash for the deposit. However I think BTO using HDB loan is only 5% using CPF which is $20k supposing $400k BTO and you since you will be eligible for deferred scheme I don’t think you need to worry about this deposit. For 2 adults, need only 1 year work to accumulate this $20k in OA. 4) After doing item 3, set out a savings goal like each person save 20% (not sure how much if comfortable) of nett take home pay after paying of your liabilities. You should each open a separate bank account and automate this savings like the SAYE. Also do talk about your lifestyle choices if anything should be cut out like less movies, less travelling etc. This saving goal is not just for your BTO but should be Long term practice due to wedding, home renovation, future kids, emergency back up savings, investments, retirement. Try to increase the rate % as your income increases and debts decreases.5) Continue to pay off your study school loans concurrently while you save up​If you are able to rationally discuss and take action on the 5 items above, then I think you are ready to apply for BTO. Applying for BTO doesn’t mean you will get it. I know many who applied like 5 times never get it as depends on your luck too. A BTO is definitely a savings in itself since much cheaper than resale especially since you will get lots of grants from government. ​Good luck and don’t worry so much. One can only plan ahead and take actions based on information and sources available at point in time. You are both university educated and both working, it is just a matter of time (couple years) for your debts to be over​1 comment6"
2,"Kenneth Lou10 Sep 2018Awesome sharing! I actually also really believe that with proper planning and commitment, this can be a very strong factor in helping to build the foundation of their relationship and family."
3,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 10 Sep 2018I think there's a few questions we can ask ourselves:​Are we sure that at current stage, we're stable and confirm in our r/s leading to marriage ? (This is because many of my friends were not sure / stable and at the point of marriage or before they even go to the discussion of marriage, they are not sure and end up break off before that and lose all the deposit and the chance of 1st priorities to get BTO because of cancellations).Once #1 is cleared and sure, and you both are sure that you're gonna marry each other no matter what happens, then you should:​(A) Check both of your salary, do a budget, see where you can cut (Expenses usually, if you need help on how to cut, you can pm me and I'll be glad to help) and how much you can spare to be able to pull out for BTO repayment monthly (Cash for bank loan or your CPF OA)​(B) list down your study loan repayment schedule (how much to repay per month, how long you need to repay).​(C) Use your results in (A), (B) versus your ability to pay @ HDB. (Note that you also need to consider between Bank VS HDB Loan. Typically Bank interest rate is lower but it may raise in times of bad economy(but you can refinance when good times some other bank offer lower interest rate) , while some choose a safer bet of HDB fix loan @ 2.6%. Read this useful guide by Seedly: https://blog.seedly.sg/the-complete-guide-bank-hdb-loan/ to know more).​(D) Choice of HDB: For newly weds, I suggest get a 3 room BTO (About 200k all the fees included with 2 bedroom suffcient for couple and a study / kid room) because that's a balance start and after 5 years when both your income has grow, meeting the min stay (MOP) of a HDB flat to be able to sell and when you guys probably about or already have 1st kid or even 2nd kid, then you can sell and buy a 4 room HDB for the extra bedroom for both kids and use the extra space for them to play/roam around in the house)​FInally, my thought is that:​If you are able come out with the 5% Cash as downpayment and sufficient OA in your CPF, both your monthly CPF contributions is sufficient to cover the HDB loan of both(you and hubby/wife) share and your monthly income repayment for the study loan (5/8/10 years) repayment is managable (means with some small amount of cash able about 5 to 10% to save monthly after repaying the study loan for emergency use), then why not go ahead with BTO (which will comes after 2.5 years after successful applications and lead time balloting of possibly 1.5 years, a total of 4 years wait!! ) ?​(i) The best is if you both can stay in one of your family house first (some compromises of staying with in-laws) to save $ before BTO comes in 4 years (as this will save you room rentals cost of 4 years $800 +/- x 4 x 12 = 38.4k and you would have settle another 4 years study loan, not to mentioned you can use the 4 years to save for more $ for BTO.​(ii) If you don't have a place to stay or have difficult in-laws, then BTO seems to be the sensible choice rather than renting out rooms outside where you need to waste $800 +/1 to rent a HDB room. So instead of paying for others, why not hustle and pay for your own home sweet home now!​(iii) House Grant available to save lots of $:Such as SHG and AHG. See: https://www.hdb.gov.sg/cs/infoweb/residential/buying-a-flat/new/first-timer-applicants and thus save a lot.​(iV) If you plan to have kids in 1 to 2 years time, a house is important for a growth of a kid as you don't have sufficient space and safety for a baby to roam in a rented room be it own family house or BTO wait of 4 years.​Cheers. Hope it's a good point of few for your considerations. As always , you're a couple now, so discuss anything and everything with him/her :)​Happy Marriage and BTOing :)​​​0 comments3"
4,"Chen QijianLevel 3. WonderkidAnswered on 10 Sep 2018Basic short answer is no.​Let me tackle this from a pure financial perspective - Interest cost of student loan -5%, HDB theoretical returns => 5% rental yield, 1% capital gains, 2% interest cost nets out to be roughly 4%.​So if given a choice between paying off your loan or buying a HDB, pay off the loan first.​Second thing to consider is this - when you are young, you need flexibility esp in today’s job market where you might find yourself switching careers early . In order to facilitate those decisions, having a stash of cash is always better.​Last of all, i get the feeling that you are looking at a BTO from a pure financial perspective. If thats the case, dont do it. The returns from a BTO are not that impressive anyway and certainly not worth rushing to marry for it.​Cheers0 comments2"
5,"Cedric Jamie Soh, Director at Seniorcare.com.sgTop Contributor (Sep)Level 7. Grand MasterAnswered on 04 Jun 2019Yes. (I am assuming you two are in love and ready to be married)1) BTO is impossible to lose moneyBTO are subsidised heavily. I have never heard of a BTO, after meeting the MOP of 5 years, that sold below the original price.Just based on that, its impossible to lose money.Currently some of the BTO flats in Tiong Bahru, Kallang just met their MOP 5 years and the price is doubled of the BTO price.2) If you choose a suitable size, all or most of your payment is via your CPF (money you can't touch via other means anyway)3) What about renovation, furniture or stuff like that?If you want to save, don't renovate (or do light touch up only)Go for lite or Zen look, go for as little furnitures as possible. Go facebook group and google for Freegan Singapore or downloand OLIO app for freebies.I have so many friends who done their family up with not much money. The priority in their life is not to save money, its to start their family ASAP when they still have little savings in life.Go figure.0 comments1"
6,"Kenichi Xi, nᴉʍ oʇ dǝnᴉʇsǝd 不能说的秘密 at Tag Team with Gabriel ThamLevel 6. MasterAnswered on 10 Sep 2018Only purchase when u can afford it
Or
The rice is cooked already.
Reason: already in debt is a problem. Being in multiple debts is worst.
Tt could lead to break out which forfeit the deposit.
Plus there is a one year ban for bto application if the bto is the only choice. ​ 
Anyway, to be serious.
If  they can commit to the cheapest bto which is lot lesser compare to a  mature estates with all grants approved, is still do able.
If the grants are used to pay down payment, the couple will owe cpf the grants money and ask to return back.
So from student loan debt, it becomes
1. Loss money in deposit
2. Payback to all cpf granted
3. Loss confidenCe in love
4. Become a laughing stock among relatives
5. Have to declare to new rs about the one year ban.
Getting  married and getting a flat is one thing but once it goes haywire there will be  alot of complication that might be long lasting in a or 2 person life.0 comments1"
7,"Jay Liu, Diploma in Accountancy  at KHEALevel 6. MasterAnswered on 10 Sep 20183 room and 2 room to me will be ok. Since BTO will take years to build. Hopefully your student loan will be paid fully by then. 
While waiting for flat you can consider renting from the government in 1 room flat. (requirements I'm not quite sure) I want to get a BTO too. But...  I'm single :(((0 comments1"
8,"Lim Chun Long Jimmy, Distributor at Newbrand Organic Green TeaLevel 5. GeniusAnswered on 10 Sep 2018As quoted by Warren Buffett: ""Never depend on single income. Make investment to create a second source.""​It's dangerous to depend solely on single income from your work to pay off your student loan(s), housing loan(s) and other expenses. If one day, the unexpected happens, such as an accident, such that you're unable to work anyone, then you would lose that single income, which would affect your ability to pay off the expenses and then got into heavy debt.​What you can do is, while working to earn active income:Ensure that you have sufficient insurance protection coverage for you and your family. Seek financial advice from a licensed financial advisor on this. Try to choose term plans over whole-life plans to minimise premium and maximise coverage.Educate yourself on how to earn additional income from additional source(s), and find some investment strategy(s) that works for you. Then take action by investing. This way, you wil have additional income sources as backup to pay off your expenses.​​0 comments1"
