,content
question,Investments General Asked by AnonymousAsked on 18 Sep 2018Are rich people poor?Strange question but need to ask the open ended question. I’ve always wondered how green is the pasture on the other side. What are your thoughts?8 answersAnswerBump0
0,Answers (8)Sort By Most UpvoteMost UpvoteMost Recent
1,Nicholas ChanLevel 5. GeniusAnswered on 18 Sep 2018All relative. 0 comments0
2,"Yong Kah HweeLevel 6. MasterAnswered on 18 Sep 2018Rich and poor are very subjective. You might not think that you are rich. But to some, you are rich. 0 comments0"
3,"Good Day Every DayLevel 6. MasterAnswered on 18 Sep 2018Rich and poor? When the game is over,  it all goes back in the box. 0 comments0"
4,ZeeeeeLevel 4. ProdigyAnswered on 18 Sep 2018Rich and poor are subjective words LOLBut how rich you are isn't about how much one has but rather how little one need:-)0 comments0
5,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 18 Sep 2018Haha. I think so if is : Asset rich cash poor so no extra $ at the moment to enjoy much. ​However , I think its more of a choice. One can be worth tens of billions but still jusr drive a normal Honda Accura ( mark zukerberg).  ​One can be in debts and making 20k salary but all the deductions, expenses and lavish lifestyle to maaintain a matching front still cost him/her to have  no cash / no savings left monthly and live pay cheque to pay cheque. ​Only one who optimizes what he/she has now,  plan and invest for future will truly be rich, physically and mentally 😁😉0 comments0"
6,"Jay Liu, Diploma in Accountancy  at KHEALevel 6. MasterAnswered on 18 Sep 2018What is rich what is poor? How much do you define whether a person is rich or poor? One can be rich financially but poor in health. Vice versa. 0 comments0"
7,"Jonathan Chia Guangrong, Fund Manager at JCG FundLevel 6. MasterAnswered on 18 Sep 2018Mm poor is very subjective. If you meant that the rich just chase after more riches and ignore other aspects of their lives, family and health, then it's poor indeed. On the flip side, if the rich manage to stay rich while also enabling better lives for the less fortunate, won't that be something better?0 comments0"
8,"Leong Wen FongLevel 6. MasterAnswered on 18 Sep 2018Haha definitely a strange question, but deep nonetheless. I like the saying that some rich people are so poor, that the only thing they have is money. It really depends on what you look for in life. ​If you look for achievements and success, then the rich to you are those who have great achievements.​If you look for money, then you will always look at those richer than you, and wish you were them.​If you look for love, then your treasure is found in one that will love you back. (get a dog)​If you are looking for legacy, then you your riches are in building something that you know will last beyond your generation.​If you look for significance, then you will look at the number of people whom you can help, and will go on to helping other people in their lives.​Which brings us to Seedly. It's full of people who are willing to help others at no cost, and give unbiased views on products!​You ask: Are the rich poor?I ask you: What do you look to be rich in?0 comments0"
