,content
question,Investments General Coffee Meets Investing Asked by AnonymousAsked on 07 Jul 2018How would you invest your first 10-20k?23 answersAnswerBump2
0,Answers (23)Sort By Most UpvoteMost UpvoteMost Recent
1,"Randall TanLevel 4. ProdigyAnswered on 13 Jul 2018The outcome of investing is to have a better retirement in the future. Think of retirement as a Pyramid - you will need a solid base to work on. My solid base consists of CPF, followed by global index funds (IWDA) and local index funds (STI ETF)110 minus your age equals the percentage to be invested in stocks and put the rest in bonds (CPF)50-50 split between local and global stocksWhy CPF?​​Contribution to CPF RSTU and MA helps to reduce income tax. https://www.areyouready.sg/YourInfoHub/Pages/News-Voluntary-Contribution-vs.-Retirement-Sum-Topping-Up-Which-suits-you-better.aspxMeeting FRS early means that bulk of your CPF funds during retirement will be from the government. (Rule of 72, compounding interests)Eventually you will meet FRS and MA capped so why not take this chance to reduce your income tax!​Why gobal index fund IWDA?IWDA is an index fund that tracks MSCI World and it is based in London Stocks Exchange. No tax withholding because of how the fund is reinvested into the fund. https://www.bogleheads.org/forum/viewtopic.php?t=221000 & https://www.ishares.com/lu/individual/en/products/251882/ishares-msci-world-ucits-etf-acc-fund?siteEntryPassthrough=true&locale=en_LU&userType=individualWhy local index fund STI ETF?You do not want to expose yourself to too much currency risk0 comments8"
2,"Kenneth LouLevel 8. WizardAnswered on 11 Jul 2018This is a pretty good question! In fact it's something which we often discuss about in our community because the first step can really be so hard sometimes.​Make sure you have 3 - 6 months of rainy day funds first before going into investments. That will allow you a buffer for unpredictable events. (eg retrenchment or accidents etc.)​In fact we actually asked some local financial bloggers what they thought of before jumping in with their first $10k: https://blog.seedly.sg/how-singapores-top-financial-bloggers-will-invest-their-first-10k/​Here's my own take: ​For someone in the age range, 25 - 35 years old, here are some Investments you can consider: (from most recommended to least)Robo-advisors (for exposure to US and global market indices at low cost) (you can read reviews of the robo advisors here)STI ETF (via RSP a regular savings plan and investing in local SG market index movements)REITs and Blue Chips (stable dividend paying stocks)SSBs (to beat inflation in the long run)Fixed Deposits (for time value that you may need for children's expenses etc at a certain year)Again, these are benchmarks but you can go and figure out these investment products to properly determine which you are most comfortable with before committing to it. But beyond that, I feel that it is important to take the first step so you are 'vested' to get better. Most people pay market lessons to the market before really learning deeper. You may learn from your small losses, but over time your long term gain and compounding can really be a huge gain.​Hope this helps :) Cheers!0 comments5"
3,"Soon XiaohuiLevel 5. GeniusAnswered on 13 Jul 2018hmm I would divide into 3 portion after putting aside the emergency fund:  investment fund, opportunity fund & education fund. ​Education fund: fund I used to educate myself on investment, this may be on books, courses, etc. ​Opportunity fund: is fund which I put aside, until I am ready to invest further or the market is bearish or the market is at the price I wanted. ​Investment fund: likely to be amount which I will allocate monthly to contribute into the investment tool(s) which i am comfortable with. ​Definitely will combine 3 of them into my portfolio :) 0 comments4"
4,"Junel SeedLevel 3. WonderkidAnswered on 11 Jul 2018I will probably ""invest in myself"" and get myself well protected with insurance first. Then 5k into STI ETF and maybe 2k intp blue chip stocks to get me started on equities! will aim to diversify my portfolio with stocks and bonds​0 comments6"
5,"Tai ZhiLevel 4. ProdigyAnswered on 07 Jul 2018Passively and diversify the capital across asset classes (stocks; government bonds), geographical markets, industries and companies. This is a more conservative way to achieve consistently decent investment returns.​Remember the research by Standards & Poors Dow Jones shared earlier? Here's the link to the report. Page 6 and 14 shows the summary statistics where an overwhelming majority of professional fund managers underperformed general markets consistently over short, medium and long term.https://us.spindices.com/documents/spiva/spiva-us-year-end-2017.pdf​If an overwhelming majority of professionals who went through the good finance education, have the best market data/tools at their disposal (eg. bloomberg) and who devote 8 hours a day managing investments can't even match the general market performance, I would suggest investors to carefully consider if they have the confidence to outperform first the professionals and second the general market.0 comments4"
6,"Chris ChinLevel 4. ProdigyAnswered on 18 Jul 2018Good to start with dividend Income investing on defensive stocks that give 6% and above in dividends. 
Always focus on reducing your Risk, instead of focusing on the Potential Returns., as Higher Returns comes with Higher Risk too. 
Manage your risk with a portfolio of 6 -  10 stocks.
Learn the trips and traps of the Stock Market through Investing Courses, not Forex or trading courses. 
You either pay below 4k to learn the tested approach, or lose >10k to learn the hard way. 
Of course, you could read up yourself and test out yourself. Just be mindful that many of these books don't provide the updated details and tools relevant to the countries that you are investing. 
Attending courses also give you more friends and avenues to get different perspectives on a stock too. 0 comments3"
7,"Anthony OngLevel 3. WonderkidAnswered on 08 Jul 2018Something slightly contrarian to the usual diversification response, but I would suggest concentration only on 1 or 2 investments, even if the investment can be a diversified investment (i.e an ETF). There is no need to split the amount across 4 or 5 investments at this stage as this increases your transaction costs (brokerages charge a minimum transaction fee) which in turn increases the return you need to achieve in order to break even. Also, assuming you are continuing to save, this 10-20k will not be the last investment you are making and so you can use your later investments to diversify.​On details, maybe you could consider 1 ETF and 1 stock to split your initial sum. The ETF can give you some diversification, and the stock can give you some practice in analysis and choosing shares to invest in, which will help you in the longer run as well.​Good luck! :)0 comments3"
8,"Joel SimLevel 3. WonderkidAnswered on 12 Jul 2018This is based on the assumption that the individual not being good at investing or trading strategies.​Set aside 3 month’s worth of monthly expenses (not income). As he/ she works and saves more, accumulate it to 6 months.​if the individual has a more aggressive profile, he/ she can maintain 3 months‘ of expenses and focus on investing the rest.​Credit Salary into DBS Multiplier account for extra interest without any risk.​Invest into Singapore Savings Bond. Again, there is no risk unless the government defaults ​Dollar cost averaging into STI ETF or US Indices tracking ETFs. - I do not recommend robo-investing as individual needs to do proper diligence and research.​Save big on food by tapping on apps such as Eatigo, Entertainer and Burpple0 comments2"
