,content
question,"Investments Online Brokerages Asked by Serene TohAsked 3w agoWhat should we look out for when choosing an online brokerage?I'm looking to invest in some European stocks, which are not covered by SCB which I'm currently using. Was looking at Saxo. It seems relatively safe but fees wise lose out to interactive brokers, which has a less user-friendly platform (according to reviews- https://brokerchooser.com/best-brokers/best-online-brokers)What would be the key factor for you? Additionally, anyone knows if Saxo & IB have custodian fees & how much?7 answersAnswerBump0"
0,Answers (7)Sort By Most UpvoteMost UpvoteMost Recent
1,"Elijah Lee, Independent Financial Advisor at Phillip Securities (Jurong East Lite)Top Contributor (Sep)Level 9. God of WisdomAnswered 3w agoIf it may help you, although POEMS has a custody charge, idle funds in POEMS account will earn returns in a money market fund, which does help clients offset their custody fee.As an alternative way to look at it, returns from a good stock will more than pay for the custody fee, so the custody fee helps you to be more critical of what shares to buy.1 comment5"
2,Serene Toh3w agoThanks. Unfortunately poems don’t have access to the market I’m interested in that leads to this question.
3,"Kishor BhagwatLevel 4. ProdigyAnswered 3w agoJust do an excel sheet and compare the trading commissions, fixed fees etc for the amounts you plan to invest and trades. Will take 15min to figure out the cheapest.
IBKR has another advantage - really cheap FX conversions. Add that to your sheet too.
IBKR has a PC version, a mobile app and a simpler Web trader option.1 comment1"
4,Serene Toh3w agoThank You!
5,"Angeline Teo, Calculator at The InternetLevel 3. WonderkidAnswered 3w agoInteractive brokers for its low fees, and nope, they have no custodian fees.0 comments1"
6,"MIModel InvestorLevel 2. RookieAnswered 3w agoI would definitely recommend SAXO, if you do not trade often, SAXO is having a referral promotion which you can refer here: https://www.home.saxo/en-sg/accounts/referral. The referral fees are more than enough to cover commission costs and miscellaneous costs for quite a number of trades.1 comment1"
7,Serene Toh3w agoThank You!
8,"SKShabir Khan, Graduate Of Aviation Management & Services at Temasek PolytechnicLevel 4. ProdigyAnswered 3w agoHi,IB has really good low fees and no custodian fee but the downside is that you have to meet certain criteria to not incur the $10 monthly fee which is to either have over $100,000 in assets invested with IB or transact $10 fee worth of stocks. As for Saxo they don’t have the account minimum that IB has but they do have a 0.12% custodian fee which has no minimum, their exchange rate is also excellent. If you are an investor who purchases a lot of stock then IB would be better but if you don’t transact a lot Saxo would be better.Hope this helps.1 comment1"
9,Serene Toh3w agoThank You! This is so helpful 👍
10,Harvey TanLevel 5. GeniusAnswered 3w agoCost and availability of options. Go with Interactive Brokers. IB has no custodian charges.1 comment1
11,"Serene Toh3w agoThanks. Actually they have something similar to poems’s custodian fee, they call inactivity charge. Which is a killer fee for me, cause I don’t make that many trades. I need to think about this carefully."
12,"Cedric Jamie Soh, Director at Seniorcare.com.sgTop Contributor (Sep)Level 7. Grand MasterUpdated 3w agoI love interactive brokersgreat forex rates (most brokers have a low commission but there is hidden ""charges"" in the forex rates)great low fees on many productsa wide range of productsAs far as I know, no custodian fees for IB.1 comment1"
13,Serene Toh3w agoThanks
