,content
question,"Investments Retirement Savings Asked by Pecah LobangAsked on 26 Aug 2019My wife & I are in our mid-40s. I have just been retrenched, she could lose her job soon. Advice needed on whether we can sustain our outflow till 80. Any recommendations and potential risks we should cater to?We have total SGD $2.5M cash/FDs, $350k investment (SSB, STI ETF, US stocks), $1.14M CPF & no debt.Medical insurance renewable until 75 & 2 $500k term life policies. Live in small HDB with lease till our 90s. Have 2 ageing mothers in their 70s. Projecting $7k monthly expenses post-retirement + 3% annual inflation2019 avg $7.5kLast 3yr avg $7.4k5yr $7k10yr $6.9k Should diversify into multi-currencies, goes other than asset categories? Character limit, pardon brevity. Thanks!10 answersAnswerBump7"
0,Answers (10)Sort By Most UpvoteMost UpvoteMost Recent
1,"DeleteEditElijah Lee, Independent Financial Advisor at Phillip Securities (Jurong East Lite)Top Contributor (Sep)Level 9. God of WisdomUpdated on 27 Aug 2019Hi there,I'm sorry to hear of your job situation, and I hope that your wife would be able to keep her job in the coming months as the global economy slows down.I looked at your numbers and did some simple analysis with the following factors applied:Your cash/FDs are generating at least 1% a yearYour $350K in investments are generating at least 3% a year conservativelyWorst case scenario assumption (your wife loses her job)Both of you do not find any employmentCPF Life starts paying out from age 65, and both you and your spouse will receive $2000/mth for lifeA quick analysis of the situation predicts that your funds will run out around the age of 72. The numbers will not be exact as it is a rather long time horizon, but it would seem to suggest that you will need to ensure that you increase the returns on your cash/FDs in order to stretch your financial lifespan. Ideally, it would be good to know your expenses on your term and medical insurance (especially medical insurance) as that will make the calculation more accurate.The key risks you will want to cater to includes:LongevityHealth RisksInflationSequence of returnsMarket volatilityWhen we retire, we are looking for income that is stable, inflation hedged, and with low volatility. To that end, I would recommend you create a 3-pronged retirement strategy, ensuring thatYou have a systematic withdrawal plan from your assets Proper segmentation of your assets into various buckets and layersHave a basic retirement income floor with guaranteed income solutions for the essentials.The finer details of the recommendations (e.g. which areas to diversify to, which asset class) have to be tailored to your specific situation, as without sufficient details, I can only provide an overall picture of your financial plan. I would be able to assist you in looking at the planning and options available, to improve the use of your resources, in order to achieve your goal of financial longevity. You can contact me at elijahleest@phillip.com.sg and we can converse there.1 comment12"
2,Pecah Lobang27 Aug 2019Thank You! Curious how you arrive at the funding depletion by age 72. Will reach out to you to discuss more.
3,"Colin Lai, Client Adviser at MoneyOwl Level 3. WonderkidUpdated on 06 Sep 2019Hi Pecah Lobang,I am sorry to hear about your retrenchment and possibly your wife's too. I hope the situation improves on the employment front. Working through the assets you have described is a very important step into planning for your financial security. Well done. It is also heartening to see the clarity in which you have determined your expenses and long-term needs. With regards to retirement risks, the classic 5 that were mentioned includes Overspending, Healthcare, Longevity, Market and Inflation. In addition, as retiring now means possibly another 45-55 years of non-employment, you do not thus have the usual steady stream of earned income to factor into your planning. It is also important to address additional dependents needs in alignment with your own. Lastly, on risks, there are additional planning and planner risks to work through.That being said I must suggest that finding work you enjoy while you still can is a valuable economic resource. Some would say it is your current most vital asset since there will come a day you no longer can work and this ability is out of reach. Some pre-retirees who visit us often grapple with the disarming thought that they have so much time but so little resource to help them through the retirement years. They thus begin to worry and are in great need and urgency for a reliable, conflict-free and competent retirement solution. This is what MoneyOwl is set up for.You see when we stop earning an income whether by choice or not, we still need to grapple with spending and to have enough to last us and our loved ones till we pass on. All the while maintaining our current lifestyles as much as possible. The balance can be addressed with lifestyle-based planning. Conventional goal-based planning is not able to account for this fine balance. We often say life begins now and not only when we retire!With these in mind, I would like to suggest the following ways to sequence your planning considerations:Cashflow - understand what is important for your lifestyle now and into the future.Investment and insurance - use only low-cost solutions so that you get exactly the protection you need and choose well-researched investment assets that match your need, willingness and ability. Retirement - focus on how your cashflows can be carefully layered to provide a reliable amount of retirement income yet be inflation-hedged. Estate - prepare for undesirable end-of-life complications that may derail the best laid-out plans by reducing leakages, headaches and delays. Next, you can move to structure your assets to better address your retirement needs. I would suggest looking to the following key take-aways:CPF Life (65 onwards)- Form a stable stream of income with CPF Life as your foundation. Current analysis puts CPF Life on par with a risk-free 6.5% p.a payout with the Singapore government's backing. Do note current payouts at 65 are not a guarantee of future payouts later on at 65. However, be cautious if you are being touted with insurance-related retirement income plans without a firm consideration for CPF Life first.CPF OA & SA (55 onwards)- from our experience, most pre-retirees are not aware that you can drawdown from your OA and SA to help provide income from 55 onwards. It is possible to have large amounts of money in OA and SA growing annually compounded at 2.5% and 4% respectively even with RA formed at 55. And to start drawing down from it as you would a bank account with no penalties.Investment- focus on having a larger portion of your funds in low-cost, research-backed, enhanced beta portfolios. You will need all the clarity you can get for this portion of your asset location into a globally diversified portfolio of developed markets, emerging markets and bonds. This because such a portfolio has been statistically significant in providing at least 30 years of income with the highest probability of success. What is more fascinating is when we analysed '21 30-year rolling periods, our model shows a 100% probability that one can withdraw 4% of their starting portfolio value and adjust it annually for inflation to last 30 years.' What this means to you is that $2 million generates $6,666/mth + about 2% more per year over 30 years. Our research also points to the positive remaining fund value you might expect at the end of 30 years. This, we believe will surprise most people. Higher yielding but riskier investments- having a smaller portion of your overall assets in such investments may provide additional growth but do so only if you have the confidence and are certain about handling the risks involved. This is optional.Emergency fund- in retirement the most difficult times are when you need to tap into your assets mentioned earlier to meet an unexpected emergency. While insurance can address healthcare worries, a pool of money for a 'rainy day' still holds true. Consider SSBs for continued growth, about 1.9%, but are as liquid as a bank account. Set aside and do not touch this fund unless you absolutely have to.I hope these broad strokes will help you understand what can be done to address your retirement outlook. If you would like to consider a research-backed process to retirement planning, I invite you to visit us at the MoneyOwl office here at Keong Saik Road (beside Outram MRT).MoneyOwl is a joint venture between NTUC Enterprise and Providend Holdings- where we combine decades of trusted service excellence with expertise in financial advisory and fund management. If interested, you can reach me at colin@moneyowl.com.sg for a deeper conversation. I will be happy to introduce our diverse team with CPF, CFP and CFA expertise to assist you with your planning needs.But before I sign-off, I hope you will be happy to hear that you have done well in having no debt and various funds to plan around with. But DON'T forget your current number 1 asset- yourself!I hope you find meaningful work and passion and purpose for life so you can truly enjoy the fruits of your labour! Or et labora.Warmest regards,
Colin Lai7 comments8"
4,"See all 7 comments Colin Lai06 Sep 2019Kenneth, thanks ah for calling me an 'old bird'! Seriously, love the work you and the team at Seedly are doing to make financial matters easy to learn. MoneyOwl has been a place where comprehensive bionic planning comes together for ano-pressure, research-basedColin Lai06 Sep 2019And truly cost-effective only financial solutions. Thanks to Seedly...we are slowly getting recognised for this! (Accidentally pressed Post previously while trying to edit it)"
5,"Cedric Jamie Soh, Director at Seniorcare.com.sgTop Contributor (Sep)Level 7. Grand MasterUpdated on 30 Aug 2019Mid-40s. Based on the current medical provision, you are only 1/3 of your life!Your wife and you can still get a new job, and maybe even higher pay than current.Stay trained, stay employable. (Or start a new business if you can).There are so many government incentives such as SkillsFuture. Go for more training, more learning, and stay happy in a new good job!1 comment4"
6,Pecah Lobang30 Aug 2019Thanks for sharing your thoughts.
7,"Loh Yong ChengLevel 2. RookieUpdated on 30 Aug 2019Dear Pecah Lobang,I am sorry to hear about your situation as well as the possibility that your wife might lose her job too. However, I did a quick number crunching using my firm’s RetireWell methodology and found out that you are actually in a good position to stop work now and still meet your goals.
I did 2 scenarios for you:Based on $7,000 per month income that you needBased on $8,000 per month income possibilityThis is what I found out:On Retirement WithdrawalBased on $7,000 per month retirement income needed nowCapital needed (I am assuming that both of you are age 45): $2.5 million to be invested across different asset classes with different risk/reward characteristics.You will start receiving a payout of $7,000 p.m. adjusted for inflation from age 45 to age 64 years old using the $2.5 million invested.At age 65, both your CPF LIFE payout will start and it will be $4,000 p.m. and will form part of your $7,000 p.m. needed. As CPF LIFE is an annuity and is not subject to market risk and it pays out for life, this will be your safe reliable income floor.You will be able to have $7,000 p.a. adjusted for 3% inflation till age 90But If death happens to you unfortunately at age 70, you will still have a potential unused capital of $3.8 million + unused capital from CPF + your home + your
insurance proceeds.This calculation has not taken into consideration your $350,000 investment in SSB, STI ETF and US stocks, as well as the excess of CPF that you may be able to draw out above your prevailing full retirement sum at age 55.Based on $8,000 per month retirement income needed nowCapital needed (I am assuming that you are age 45): $2.887 million to be invested across different asset classes with different risk/reward characteristics.You will start receiving a payout of $8,000 p.m. adjusted for inflation from age 45 to age 64 years old using the $2.887 million invested.At age 65, both your CPF LIFE payout will start and it will be $4,000 p.m. and will form part of your $8,000 p.m. needed. As CPF LIFE is an annuity and is not subject to market risk and it pays out for life, this will be your safe reliable income floor.You will be able to have $8,000 p.a. adjusted for 3% inflation till age 90.But if death happens to you unfortunately at age 70, you will still have a potential unused capital of $4.4 million + unused capital from CPF + your home and
insurance proceeds.This calculation has not taken into consideration the excess of CPF that you may be able to draw out above your prevailing full retirement sum at age 55.On Coping With A Medial ConditionI am not sure if your ageing mother and mother-in-law have good medical expense insurance above CPF Medishield Life, if they do not and are no longer insurable, you might want to set aside some cash as a medical sinking fund for themI also notice that your medical insurance seems to end at age 75. If you have an integrated shield plan or MediShield Life, it should cover you for life. If you do not have an integrated shield plan, I will encourage you to get one if possible so that you have coverage for medical expenses for life.On Advanced PlanningAs both your wife and you are still relatively young and you have amassed pretty sizeable assets, it would be good that you consider the following areas of advanced planning:A trust, orA will and making your CPF nomination (as a will does not cover monies in our CPF accounts), andLasting Power of Attorney (LPA)Key RisksAs you have long retired years, you will be faced with market risks that are caused by geopolitical situations such as the current US-China trade war, terrorism, recessions, structural breakdown, etc. The investment and withdrawal plan must be able to deal with this. The RetireWell methodology that I mentioned above will be able to mitigate this risk. In fact, it would be able to mitigate inflation and overspending risks as well. The other risk has got to do with your ability to cope with the emotional roller coaster when markets go through a meltdown. During the 2008 financial crisis, we witnessed how fearful investors were and we had to do a lot of work to risk coach our clients.On Living A Meaningful LifeHolistic retirement planning is not just about having enough money. In our work with retirees over the past 18 years, we found out that the biggest concern for retirees is how they can remain engaged in their retiring years. The first 2 years for a retiree is the toughest as they try to get used to not getting an income and also losing social connections. This emotional journey of a retiree cannot be underestimated. That is why in our very first meeting with clients, we usually don’t talk about the financial aspect of their retirement first as this is usually not the problem with our clients. They have enough money, they just need to know how to structure a good withdrawal and investment plan to spend it. What we would prefer to do is to spend time to ask a series of questions to understand what does money mean to them and how it can enable them to live the purposeful life that they want to and should live in retirement. I think not thinking through this part is the biggest risk.Having gone through your financials very quickly, I will like to assure you that in terms of the financial aspect of your retirement, you will be more than fine. This is probably due to your prudence in living life simply. So a big congratulation in that regard. Losing your job now may be a blessing in disguise as it “forces” you now to do something not because you have to but because you love to.ResourcesIf you would like to read more about our RetireWell methodology, you can go to https://www.providend.com/retirewell-part-1/. We have published a series of 9 articles on the topic of retirement withdrawal on the Business Times from late 2016 through 2017. You can also visit our website at www.providend.com to read other articles as well as watch our short videos.ContactIf you would like to discuss more, I would be happy to meet up with you. You can contact me at yongcheng_loh@providend.comThank you once again for sharing your concerns on this platform.4 comments3"
8,"See all 4 comments Kenneth Lou30 Aug 2019Lol Zhirong. Interesting thought process. But good answer Yong Cheng!Loh Yong Cheng30 Aug 2019Thank you for your kind words, Kenneth!"
