,content
question,"Investments Savings Retirement Asked by AnonymousAsked on 14 Jul 2019What is the best way to invest $25k for a beginner?Hi Seedly community,I am a 27 yr old and currently looking for advice from the experts in the financial world on a good way to invest 25K. I would like to allocate them into 1: 1 ratio for the following time frames,1) Mid term (5 to 10 years)2) Long term (10 years+)All inputs are welcome as I am new to investments and honestly quite reluctant to keep the cash in bank accounts with the low interest rates..Best regards,Liam8 answersAnswerBump6"
0,Answers (8)Sort By Most UpvoteMost UpvoteMost Recent
1,"Elijah Lee, Independent Financial Advisor at Phillip Securities (Jurong East Lite)Top Contributor (Sep)Level 9. God of WisdomAnswered on 15 Jul 2019For monies that are needed within the next 10 years, stay conservative. You can go for defensive investments like Singapore Saving Bonds or investment grade bond UTs, with some allocation in equities through either ETF or UT. Rebalance whenever your allocation starts to skew heavily to equities as it is an indication that markets have gone up and it is time to take profit.Long term you can consider a more aggressive weighing on equities. Maintain bonds in the portfolio, something like 30-70 should be OK. This assumes you have no definite timeframe for liquidation and can hold on to the portfolio when the markets are down.0 comments5"
2,"Jefremy Juari, Financial Writer at Medina BooksLevel 3. WonderkidUpdated on 18 Jul 2019Hi Liam,I was a financial consultant for a decade, recommending people insurance, managed funds, endowments, etc. What i felt was that i was doing my clients an injustice. It was simply taking their monies and pocketing into the company's and mine and investing whatever is left.
Now that I've left the industry, my vision for opportunities is far wider. In the mid-term what i am  doing is hedging against the currency and moving into gold, properties, masternodes and some crowdfunding causes, all with an appreciation of more than 10%. What I look for in these instruments are capital appreciation, a regular payout and a sense of control over the assets itself.
Nothing is absolutely passive, spending a little time learning and being proactive can absolutely make more for a healthier bottomline. We are at the edge of a major global economic shift where fortunes are made and lost. The one who has more knowledge trumps over those who are lacking. 
There's my 2 cents. Hope it helps you in the long run.11 comments5"
3,"See all 11 comments Jefremy Juari18 Jul 2019I have a dash. Sold off my Pivx. The issue with masternodes currently is its adoption. Dash is already in use, pivx is unclear. The next cycle is STOs and Utility tokens. So the value of masternodes maybe a bit lacking against other alt coins. Transaction tokens like masternodes only can gain traction with market adoption, e.g. Xrp, nano, dash. 
So the top 2 would be the safest imo, as they have the market capitalization already.Jefremy Juari18 Jul 2019Masternodes feel like an investment property, capital appreciation with regular payouts. Best part is no taxes, agent fees, insurance costs, etc. But fair warning, due diligence must be upheld, scams still abound"
4,"Luke Ho, Kick-Ass Financial Services Consultant at Trillion Financial PlannersLevel 6. MasterUpdated on 17 Jul 2019Offhand, I have no idea where you got any idea that you were going to find experts in the Financial World here. You're not.
What you're really going to get is a very mixed set of comments and you're going to lean in towards what you feel makes more sense, compared to what may actually do so.
The worst advice are people who tell you you should go study and acquire knowledge entirely on your own. Thats inefficient and about as valuable as the advice. Which is free. And worthless.
If you really believed this or had any interest in this prior to posting your message, you'd probably have studied very differently, or already have the capacity to figure out what you want.
You have a guy who doesn't think he helped people in his job and yet he was perfectly comfortable pocketing money for 10 years. That definitely seems like a good place to take ideas from, returns or otherwise.
I would literally send you off to MoneyOwl even though I clearly work in conflict with them. Them, or literally any other Finanacial Advisor can give you far more specific and valuable advise than a couple of paragraphs.Whats the purpose of the 5 -10 year timeframe? Is there a need, or is it a feeling?How about the 10+ years? Why 10+? Why not a very specific number towards a very specific goal?
And if you didn't want to share those specific goals from the beginning, why would you think that answers based on the limited parameters and information would be any good?
If you're looking for an expert in the Financial World to get advice from, go to someone with a license to give that advice. https://www.moneyowl.com.sg/ https://www.moneymaverickofficial.com/0 comments4"
5,"Clarence Chua, Financial Planning Specialist at Prudential Assurance SingaporeTop Contributor (Sep)Level 7. Grand MasterAnswered on 15 Jul 2019Hi Liam, Everyone investment strategy will be different as each individual is unique and have different expectations for their investments.To help you better, consider some of this simple questionsWhat is your desired level of returns from your investments? 
And the level of risk you are willing to take?
Are you doing a lump sum or spreading your investments out?
Is there a specific event you are investing for?
And will you be actively managing your investments?Depending on your answers, you will split them between the various asset class to create your investment portfolio. You can also look at high yield savings account from the banks. For example, I use UOB ONE account and I am actually getting around 3 plus percent on my savings; such returns are similar to bonds returnsIf you only have 25k currently, you may want to look at them and allocate some towards such high yield savings account.0 comments4"
6,"Hariz Arthur Maloy, Independent Financial Advisor at Promiseland IndependentTop Contributor (Sep)Level 9. God of WisdomUpdated on 17 Jul 2019Hi Liam.For any monies required in 5 to 10 years, I'd go for a conservative portfolio of around 30% Equities, 50% Bonds, 10% Commodities, 10% Cash Instruments.For anything longer than 10 years or possibly for retirement, I'd have my age as my bond allocation and the rest in equities. Maybe drop some equities to include property as an asset class as well. I'd rebalance yearly and adjust my asset allocation every 5 years or so.3 comments3"
7,"See all 3 comments Hariz Arthur Maloy16 Jul 2019I wouldn't suggest the STI ETF. Go for a global portfolio, not just investing in one country's highly concentrated, financially overweight fund.Luke Ho17 Jul 2019The STI ETF is a total clown fiesta."
8,"Vincent Tan Wen Bin, Assistant Vice President at Thinkers AllianceLevel 5. GeniusUpdated on 22 Jul 2019Set a side your emergency fund. 6-12 months of your income.Have a short term savings those within 1-3 years time frame as you are nearing the age where you would be getting married or buying your first property soon. (50%)Mid term. 5-10 years  (30%)Long term (20%)The reason of why in this format is to take into accord that you might be buying a property when you reach the age of 30 hence a huge chunk would be in the short term component.
30% mid to 20% long term component can be left into either RSP, endowment, ILP, Annuities to earn a higher return.3 comments2"
