,content
question,"Investments Singapore Saving Bonds (SSB) Asked by AnonymousAsked on 02 May 2019I am currently a university student with quite a sum of savings, what should I do?Over the past few years I have managed to run my own business and saved a sum of amount (~200K). I planned on doing dollar cost averaging on a portfolio of 70/30 equity/bonds as opposed to putting one lump sum in a portfolio(minimize risk). Hence my plan will be to park all my cash in SSB and transfer some of my fund from SSB to portfolio every 3 months. Is this wise? Will you guys have a diff approach?6 answersAnswerBump5"
0,Answers (6)Sort By Most UpvoteMost UpvoteMost Recent
1,"Christopher TanLevel 6. MasterUpdated on 07 Jun 2019Dear Anonymous, first of all, well done. You have really done well in your business. I think the strategy you have proposed is workable. But do note that dollar cost averaging generally do not work well in an up market. Of course, we do not know if the current market is sustainable. No one can guess. So if you feel comfortable doing what you have proposed, I think it's fine. For me, I will set aside enough for emergency fund into an SSB and with the rest of my money, I will invest 60-70% of it at one go and keep the rest as dry powder, just in case the market goes below 20%, I can invest a bit more but still for the long term and not to move in and out. But just make sure you don't get caught up with trying to time the market as very few people can do it right most of the time. I wrote an article on Sunday Times on this so you might want to read it here https://advice.moneyowl.com.sg/breaking-the-addiction-to-active-management/Also, MoneyOwl is having an investment symposium on the 25th morning. If you are keen, you might want to sign up here https://www.eventbrite.sg/e/moneyowl-investment-symposium-registration-60702740531All the best!2 comments15"
2,"Question Poster04 May 2019Thank you for your insightful reply! Yes, read somewhere that investing a lump sum would beat DCA 2/3 of the time. Will check out the events.Christopher Tan04 May 2019Most welcome!"
3,"Lee JiahuiLevel 5. GeniusAnswered on 08 May 2019You can just wait for good IPOs then apply a lot to get higher allocation. E.g. share price $0.40, then apply 500 lots (500,000 units), usually get about 6 to 8 lots. In the meantime keep in those ~1% p.a. savings account.0 comments5"
4,"Vinc Tay, Ex-fc at Prudential Assurance CompanyLevel 3. WonderkidUpdated on 08 May 2019Note: Each early withdrawal on SSB has no penalty but subject of $2 admin charge. So perhaps an alternative for some of the money could be fixed deposits at banks, about 1.6% for a year, slightly lower interest but better liquidity if you wish to move often. Anyway. Also good to keep several pockets of lump sums for topup to your portfolio when market conditions are favourable – so a mix of disciplined DCA & strategic lump sums.0 comments5"
5,"Gabriel Tham, Kenichi Tag Team Member at Tag TeamLevel 8. WizardUpdated on 07 Jun 2019Wow that's fantastic! If you are good at running the business and able to save so much, perhaps the wiser choice would be to reinvest in your business to scale it up to make more money.1 comment5"
6,"Question Poster02 May 2019Yes, I am doing this as well. The thing is my business requires low capital, hence the excess cash."
7,Daniel ChinLevel 2. RookieAnswered on 08 May 2019Https://www.bogleheads.org/forum/viewtopic.php?t=2164980 comments1
8,"CharlesLevel 2. RookieAnswered on 07 May 2019Hello fellow Seedly member, can I ask what your business is about and how do you manage to juggle both studies and business at the same time?0 comments1"
