,content
question,"Investments Stocks Asked by Andy YewAsked on 04 Jun 2019Strongest stock in SGX is ST Engg, Capitacomm, Fraser Cpt? Yes? Any other suggestions?7 answersAnswerBump5"
0,Answers (7)Sort By Most UpvoteMost UpvoteMost Recent
1,Elijah LeeTop Contributor (Sep)Level 9. God of WisdomAnswered on 04 Jun 2019Singtel is also holding up strongly0 comments8
2,Darren ChewLevel 5. GeniusUpdated on 07 Jun 2019Agreed!2 comments6
3,Cherie Julianne Tan04 Jun 2019Hi welcome Darren! What are you agreeing to? HahaDarren Chew04 Jun 2019Agreed with the 3 stocks mention. Mapltree Commercial Trust is also quite strong.
4,BCBerica ChongLevel 3. WonderkidAnswered on 04 Jun 2019Parkway Life REIT0 comments5
5,"Ang Han WeiLevel 2. RookieAnswered on 04 Jun 2019In such uncertain times, REITs are perceived as safehaven. You can try looking at some stronger REITs likeFrasers Centrepoint TrustParkway LifeMapletree Comm TrustAscendas REITBut know that REITs seemed overvalued currently.0 comments1"
6,Tan Wei MingLevel 5. GeniusAnswered on 04 Jun 2019Most of the REITS are stable during market uncertainty.0 comments1
7,Wilson Nid A BreakLevel 4. ProdigyAnswered on 04 Jun 2019Haw Par corporation0 comments0
8,"Gabriel Tham, Kenichi Tag Team Member at Tag TeamLevel 8. WizardAnswered on 04 Jun 2019Parkwaylife Reit....super strong refusing to go down!0 comments0"
