,content
question,"Investments Stocks Maybank Kim Eng Asked by AnonymousAsked on 04 Jun 2019What can I do now that Maybank Kim Eng is stopping Monthly Investment Plan(MIP)? Any other alternative out there that I can consider? also, what will happen to my odd lots of shares if I do not sell it off?7 answersAnswerBump1"
0,Answers (7)Sort By Most UpvoteMost UpvoteMost Recent
1,"Jonathan Chia Guangrong, Fund Manager at JCG FundLevel 6. MasterUpdated on 07 Jun 2019Unfortunately there is no viable alternative currently, to me, for MIP. Not with the breadth of counters available and at their commission structure. Only other way I see is to continue funding your prefunded account and buying into the counters manually. I'm personally considering this option once MIP ends, since the prefunded commission rates are cheaper as compared to non prefunded account rates. The shares you purchased through MIP will remain in your prefunded account. There is a promotional rate until end of the year to sell off the odd lot shares at 'normal' online brokerage commission rates. It will be 40 dollars otherwise if you contact your broker to sell off the odd shares.2 comments2"
2,"Question Poster05 Jun 2019Thank you for the detailed response!

I share similar thoughts on this. I have looked up on the other MIP plans other places offers but plans like DBS InvestSaver actually have minimal counter options and POEMS have commission and dividends charges which I strongly do not favour. Buying into the counters manually is a viable option but it would significantly add up to my transaction cost (1% to min $10 each counter) since I was buying into 3 counte... (more)Jonathan Chia Guangrong05 Jun 2019Nope there is nothing wrong with keeping the odd lot shares in your prefunded account. It's basically a custodian account in your name holding the shares. Some people just don't like the idea of odd lots I guess as it may be more difficult to sell them off. Sold off my odd lot mapletree commercial through my broker and it was a smooth transaction. From what my broker tells me, I'll need to terminate the giro facility else the funds will still be wired into the prefunded account every month. Perhaps you can do leave the giro in place and plan your dca around the 'new' com... (more)"
3,"Cedric Jamie Soh, Director at Seniorcare.com.sgTop Contributor (Sep)Level 7. Grand MasterUpdated on 05 Jun 2019There are many other alternatives:-1) POSB Invest Saver - if you doing monthly $100 to $5002) OCBC Monthly Blue Chip Investment Plan3) Philips Capital ShareBuilders4) Standard Chartered Bank-5) Robo advisers also may have monthly plans, go check out StashAway, MoneyOwl, AutoWealth etc etc. Check the Seedly article  https://blog.seedly.sg/singapore-robo-advisor-investment-comparison/ POSB Invest Saver is easy to get started with the lowest fee for up to $500 per month. ($4 if i remember correctly)0 comments2"
4,"Jessica Ann LeeLevel 4. ProdigyAnswered on 05 Jun 2019POSB Invest Saver is really cheap at about $4 for $300 per month regular investment.If you are regularly investing $100 to $500 per month, then go for POSB Invest Saver. And maintain for years, you will retire happily.0 comments1"
5,"SKShabir Khan, Graduate Of Aviation Management & Services at Temasek PolytechnicLevel 4. ProdigyUpdated on 07 Jun 2019Hi,For your odd lot of shares they will remain in your account and you can sell them at a later time but the commission would be higher as at the moment it is discounted. Or you can keep them in your account and earn dividends if the shares payout any.1 comment1"
6,Question Poster05 Jun 2019Would there be any issues if I were to keep the odd lot of shares and not sell it? What is the rational for clearing the odd lot of shares? Thank you.
7,"Ericsson TingLevel 3. WonderkidAnswered on 04 Jun 2019Hi yes,you can do it via posb invest saverSummary: 1.investing $100-$500 per month use posb and Maybank 2.investing $500-$1000 per month use OCBC @3%,min $5 or Maybank @1%,min $5 3.investing $1000-$3332 per month use OCBC @0.3% ,min $5 4.investing $1000-$5000 per month Use standard chartered,@0.2, min 10For monthly purchase of A35, there are only two options, standard chartered and posb1.below 1k,use posb invest saver 2.above 1k,use standard chartered @0.2%,min $10you can also read more about my posb invest saver updates at my blog :https://sonicericsg.blogspot.com/2019/03/post-80week-61learning-investingtrading.htmlor if you need a guide on how to set up posb invest saver:https://sonicericsg.blogspot.com/2019/03/post-80week-61learning-investingtrading.htmlDo note that posb invest saver only has sti ETF and abf bond,ocbc may be the choice for you if you are looking to dca into blue chips too0 comments0"
8,"Tan Wei MingLevel 5. GeniusAnswered on 04 Jun 2019Depending on how much you are investing every month. For any amount that is $500, I will go for POSB InvestSaver.0 comments0"
9,"James Yeo, Founder at SmallCapAsia.comLevel 4. ProdigyAnswered on 04 Jun 2019I think you still have other banks like posb invest saver to choose from.Phillip also has their sharebuilder.If not you can opt for mutual funds rsp every month? Go via fundsupermart.0 comments0"
