,content
question,Lifestyle Asked by AnonymousAsked on 16 Nov 2018How do you balance being thrifty and enjoying life while in your 20s?10 answersAnswerBump3
0,Answers (10)Sort By Most UpvoteMost UpvoteMost Recent
1,"Elsa GohLevel 5. GeniusUpdated on 07 Jun 2019Get thrifty friends with similar mindsets as you. If they are all the high income or high spending type, it is almost impossible to be thrifty.2 comments7"
2,Leong Wen Fong16 Nov 2018This is very true! you are the average of your 5 friends!Elsa Goh17 Nov 2018I have friends of both types. The high income ones gave me horrified looks when i told them i didnt grab and arrived by public transport. It wasn't a good feeling.
3,"Junus EuTop Contributor (Sep)Level 8. WizardAnswered on 16 Jul 2019I actually don't need to balance it, as I don't see both as mutually exclusive.Most of the food I enjoy are low-cost (super smooth teh halia at $1.50, super fresh yong tau foo at Chinatown at $3), and most of the experiences I enjoy are free (walking around the marina area).0 comments1"
4,"Nicholes Wong, Diploma in Business Management at Nanyang PolytechnicLevel 6. MasterUpdated on 07 Jun 2019There are a lot of things you can enjoy that does not cost a lot of money, you just need to find them. Think positive.1 comment1"
5,"Loh Tat Tian16 Nov 2018Hopefully your friends are not spendthrift. If not, you just ""lost"" those friends. Hence you need to find friends who support this too"
6,"Lucas Ong, GreenBoii at GreenBoiisSGLevel 3. WonderkidAnswered on 16 Nov 2018For myself since I'm living off NS allowance, I force myself to save at least twice the outgoing amount before I start spending (if it is a foreseeable expense). If not, responsible spending (justified and reasonable expenses) is something I try to stand for.0 comments1"
7,"Mengting WuLevel 2. RookieAnswered on 16 Nov 2018Enjoying life for me = good food and travelling often. I'm a huge planner so I always plan: What to Buy, When to Buy (11/11, Black Friday, Cyber Monday etc) , Where to Buy (best promo codes, timed sale), How to Buy (Which credit card, can I stack with Shopback).Plenty of apps like Entertainer, Eatigo, and Burpple around to help you save while dining out too.0 comments1"
8,"Lok Yang TengLevel 6. MasterUpdated on 07 Jun 2019Save money by frequenting cafes and cinemas less. (It’s not about the food or environment, it’s about the company)1 comment1"
9,Elsa Goh16 Nov 2018This.
10,Yong Kah HweeLevel 6. MasterAnswered on 17 Nov 2018look for deals/discounts! you don't need to spend to enjoy. there are tons of free/cheap stuff that you can enjoy too!0 comments0
11,"Izah AlepLevel 3. WonderkidAnswered on 17 Nov 2018Set a savings target every year. Once you hit the targetted amount and have excess(eg aim to save 10k but have 15k savings within a year,),you can use the excess amount(5k) for guilt free spending. But let me warn you in advance. Once you are thrifty it is very hard to break the habit 😂😂😂0 comments0"
12,"Steph Yeo, Auntie Uncle Whisperer at Agency for Integrated CareLevel 5. GeniusAnswered on 16 Nov 2018""Being thrifty"" and ""enjoying life"" are subjective terms. I think it helps if you can identify some stuff that you think are worthy to splurge on, then for the other stuff you try to save. For the splurge, try to do in moderation.E.g. i believe in spending on my yoga classes and eating well. But i still try around yoga studios to find sth that has good teachers, okay facilities and ok price. And i eat healthier food which sometimes may be more expensive than say chicken rice, but i dont go to the extent of eating Daily Cut every meal or cafe-hopping all the time. And i believe in saving on clothes, so i buy from Zalora when on sale. I also dont believe in spending on transport, so while some ppl use Grab all the time, I'm almost always a public transport person. 0 comments0"
13,"Gabriel LeeLevel 6. MasterUpdated on 16 Nov 2018Currently a 21 year old NSF and I always set aside a sum of money from my monthly ""allowance"" which will be automatically transferred into my POSB SAYE account. I can then use the remaining amount for my expenses and save up the leftovers in my savings account. On a side note, totally agree with Elsa's answer.0 comments0"
