,content
question,Lifestyle Career Asked by AnonymousAsked on 15 Jul 2019Is work-life balance overrated in today’s Singapore working life?Saw this question on a magazine recently and got me thinking. Good to ponder and interested to know about the community’s thoughts?9 answersAnswerBump0
0,Answers (9)Sort By Most UpvoteMost UpvoteMost Recent
1,"Junus EuTop Contributor (Sep)Level 8. WizardUpdated on 19 Jul 2019I find that my peers who usually mention wanting a 'work-life' balance usually don't enjoy their jobs very much.
Think about it: If you love your job, or are building a business that you are excited about - which category do you put it as, work or life?Forbes also featured an interesting piece on this:  https://www.forbes.com/sites/williamvanderbloemen/2017/04/17/there-is-no-such-thing-as-work-life-balance/#58cca56e39c86 comments6"
2,See all 6 comments Kenneth Lou18 Jul 2019Haha yeah it’s always struggling to get through to the weekend...Petrine Tang19 Jul 2019Haha not really. I enjoy my work very much but I have a child so work life balance for me is more important than you think 😅
3,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 18 Jul 2019I don't think is over-rated.  In fact , according to survey, one of the highest staff welfare employee desire is not salary or annual leave or awesome facilities like google, but true flexi work scheme for work life balance.
In NZ, my customer company, the CEO starts at 8 or 8.30am and ends at 4.30pm to go home earlier for their family and hobbies and life. The have dinner earlier and sleep at 8.30pm.
Back to SG, i think it's more of too much emphasis is face time in the office. If more SME and MNC adapt a more pro family, adapt new generations of expectations of work lifestyle.I always believe in balance, single need life , need balance for own personal hobbies, exercise for healthier body and mind.  Parents need to fetch children from school , go home to cook or spend more time helping children with school work, for own hobbies and personal development.
Therein work takes up too much of our life and time. When downturns hits, when recession comes, when company let go of staff, who's the one still with us, stay with us and backing us ? It's our family and love one.
So if there's no balance, no allocation of more focus on family, who will be there for us ? What will be there for us when we're not working anymore ? when we're old  ?
So there, I fully support work life balance. Rather for everything in life, there need a balance.  If we're made for extreme, we won't need so many stages of life, we don't need much of life, we just live for one thing and one purposes, the extreme.0 comments4"
4,"Clarence Chua, Financial Planning Specialist at Prudential Assurance SingaporeTop Contributor (Sep)Level 7. Grand MasterAnswered on 26 Jul 2019Find a job you love doing, and you will not worry about that!0 comments3"
5,"Lim Chun Long Jimmy, Graduate at Actions to WealthLevel 5. GeniusUpdated on 18 Jul 2019It's not overrated, as life is not all about work. It's all about one's life priorities including but not limited to:WorkFamilyFriendsHealthFinance""Dig your well before you're thirsty.Early retirement is the dream.""0 comments2"
6,"Rachel ChiaLevel 2. RookieUpdated on 24 Jul 2019Personally, I don’t think so. In fact more work-life balance makes jobs better. People aren’t robots and can’t be on their top performance all the time without proper rest.It’s true that there are cases where individuals are willing to sacrifice work-life balance: difficult financial circumstances, or to speed up their career. But if it’s the company itself that decries work-life balance, it could honestly care more about its profits than its people.#1.Singapore’s work life balance is actually terrible.First off, working in Singapore today is probably worse than it was previously. Hours might have been long back then (and now), but thanks to the Internet, people are expected to be available for far longer. It’s gotten so bad that women here are giving birth later and later because they don't have time to raise kids.#2.It’s not overrated, because it makes staying in a job sustainable.Work-life balance is incredibly underrated, because a job with it way is more sustainable than one without. People are likely to stay much longer in a place where they don't burn out so quickly.Plus, staff who are well recharged are often more way more productive at work - which is one of the key reasons why some countries are proposing a 4-day work week.#3. You could think of it as work-life integrationIncreasingly, top companies are admitting that it's not possible to have 50% of time set aside for leisure and 50% for work. Instead, they’re suggesting work-life integration - an alternative where people fit more working hours into their schedules by slotting them in around their own life rythms.For example, flexible hours and remote working mean you could leave work at 6pm but then continue working later at night, or work from home in the morning to spend time with family, before coming in later in the day.1 comment1"
7,Kenneth Lou24 Jul 2019Interesting and valid points!
8,"Wei ShengLevel 2. RookieUpdated on 18 Jul 2019Each member may have a different opinion on what is constituted as work life balance.For me, my definition of work life balance would be the ability to do my best work in an industry or sector that I can continually learn and grow in, whilst also having the time and luxury to develop my skills and expertise in activities that would be of benefit to me in the long term.As such, it's vital that you decide what you want from a work life balance rather than let anyone else define it for you.1 comment1"
9,"Kenneth Lou18 Jul 2019I totally agree: ""Each member may have a different opinion on what is constituted as work life balance."" it's very true!"
