,content
question,Lifestyle Credit Card Shopping Asked by AnonymousAsked 4w agoWhy would people use Grab Pay rather than using a credit card to directly pay for stuff?Are the Grab Rewards worth it?10 answersAnswerBump3
0,Answers (10)Sort By Most UpvoteMost UpvoteMost Recent
1,"Aik KaiLevel 6. MasterAnswered 3w agoThe power of triple-dipping, especially for miles chasersImagine this situation. Person A and B are at Subway and they ordered the same thing. They are paying for their order at the cashier. Person A pays with his credit card only. He gets either cashback or miles based on the card he uses. That's it.Person B pay using Fave Pay and his/her account is linked to Grab. His GrabPay was topped up by his miles credit card (i can't say much for cashback cause I am not sure). So he earns miles from topping up GrabPay (first dip), earn rewards points for using GrabPay (2nd dip) and earn cashback through Fave for using Fave Pay (3rd dip).Same order, same amount, but Person B walk away with more rewards and cashback. So why not?Grab Rewards have have a lot of things in their catalogue but essentially Grab is still a ride-hailing service provider. The points you earn, just redeem for promo codes lor if you don't have other uses for them. If I already need to take Grab and they give me points along the way, who am I to say no?6 comments14"
2,"See all 6 comments Keith Lam2w agoWhere to get started on 1. Grabpay account, 2. Favepay account?Aik Kai2w ago@Keith, Grabpay account is automatic when you have the grab app. the same goes for Favepay.

You need to get both apps on your mobile phone, then look for the wallet logo.

More info here: https://www.grab.com/sg/pay/ and https://lp.myfave.com/favepay-sg"
3,"Cedric Jamie Soh, Director at Seniorcare.com.sgTop Contributor (Sep)Level 7. Grand MasterUpdated 3w agoSome people are not able to get a credit card, so they don't have this option of using credit cardsSome people are using credit cards to pay for Grab top-up, hence they are earning points on the Grab anyway (not all credit cards giving points for Grab top-up nowadays)Grab Pay can be more convenient at times, such as a quick scan with your phone (I don't bring my wallet when I go out for short trips)GrabPay promotions. Some retailers offer a good discount if you use GrabPay instead of cash/credit card/etc. BEST REASON FOR ME. hahaWhatever the reasons, do enjoy what Grab is offering! :D0 comments4"
4,"Zhuang Si'enLevel 3. WonderkidAnswered 3w agoFor people who want to earn credit card rewards without paying currency exchange fees, you use your credit card to top up your grab pay and use GPMC to top up Youtrip/Revolut for overseas use. Hence, you earn credit card rewards overseas without paying any fees.3 comments3"
5,See all 3 comments Zongzong3w agoThis is truly so helpful that I immediately signed up for GPMCCLChung-Wei Lee3w agoIs there any cc beside UOB One? I believe alot of the banks are removing grab top-up for cc rewards.
6,"Fergus Tan, Senior Partner at Vision Advisory ManagementLevel 4. ProdigyAnswered 4w agoSo many reasons!Essentially tech startups are subsidising the cost of transactions in order to get more users.
For example, I top up my GrabPay using a UOB ONE credit card. If you fulfil certain criteria, it will give up to 10% cash rebates every quarter.
When I then choose to spend using GrabPay, I might earn grab reward points.
If you want to stack 1 more level, You can use Fave app to link to GrabPay. So if you pay using FavePay, you earn 10% rebate on Fave, Grab reward points, and then credit card points/rebates.That's about the best reason actually.0 comments3"
7,SOSj OhLevel 2. RookieAnswered 4w agoGrabpay has Grabreward points + now UOB one card has a tie-up with Grab and topping up with UOB one card gives one of the highest rebates every quarterly if you meet the minimum $500 spending :) The only disadvantage of Grab will be its inability to take out the money inside Grabpay.0 comments2
8,"Ng Wei En, Bsc(Information Systems) at Singapore Management University Level 4. ProdigyUpdated 3w agoMost solutions offered would involve topping up GrabPay using a credit card followed by checking out with GrabPay /FavePay at the merchant. This triple dipping is however limited to only GrabPay or FavePay.
I present to you a solution that allows you to maximise the 10%(5%+5% for Grab) cashback by using UOB One Card to top up GrabPay. First, top-up GrabPay using your UOB One Card. Next, to circumvent the GrabPay/FavePay limitation, move your GrabPay credits to a multi-currency card like YouTrip or Revolut by topping up to these cards using GrabPay Mastercard. Now you can spend your GrabPay credits through a contactless payment channel like Paywave through Youtrip or Revolut. This applies to overseas spending too as both Youtrip and Revolut support competitive wholesale FX exchange.
Regardless of whether the merchant accepts Grabpay, Favepay or just simply Visa(Paywave)/Mastercard(Paypass), you're able to MINIMALLY realise the 10% cashback. For Grabpay and Favepay, you'll enjoy the benefits of triple dipping. For the rest, you'll still get 10% cashback.0 comments1"
9,"Jeff Yeo,   amateur Social contributor  at School of social sharingLevel 6. MasterAnswered 3w agoLet me share a hack that helps you save on Fx cost
Uob one top-up - Grab - Youtrip
use the Youtrip for overseas purchase online on foreign websites/spend physically overseas
benefits 1) save on FX from credit card overseas spend 2) 10% cash back from UOBI believe this is the best option for overseas spend currently.0 comments1"
10,"Kenneth ChanLevel 4. ProdigyAnswered 3w agoI would if there isn't a queue, otherwise you will just hold up the line even more. 😒0 comments1"
11,Allan LeeLevel 2. RookieUpdated 3w agoWhy not? I use my Amex card to TOP up Grab Pay and uses Grab Pay whenever available. Cash back + Grab Rewards Points which I usually use on GrabCar voucher to subsidise my trip.0 comments1
12,"Kenneth Lou, Co-founder at SeedlyLevel 8. WizardUpdated 3w agoGreat question, many good tips and hacks have been shared here!Personally I feel these are just some of many reasons why people use Grab Pay:It's convinient (there are a ton of merchants accepting this island wideI top up my wallet for rides and food as well, so there's always around $20 to $50 sitting in my Grab Pay walletYou can get really good promotions (on Rewards and eg the Cathay movies one for $10 per weekend ticket)I use the Grab pay as my extra top ups from my AMEX DBS Altitude card which allows me to hit my $6k spend within 3 months (because I will definitely use my Grab Pay at different locations)The integration with FavePay is simply amazing! you can stack it to get cashback on top of your GrabRewards points0 comments0"
