,content
question,"Lifestyle Education Asked by AnonymousAsked on 30 May 201826, 3.2k, dip grad, healthcare industry. Considering my studies in biz mgt @ kaplan uni in Sg but unsure if it is worth the money & time (23k total). At my age, is this pay considered normal or shld i further to have a chance of increasing income?9 answersAnswerBump1"
0,Answers (9)Sort By Most UpvoteMost UpvoteMost Recent
1,"Gabriel ThamLevel 8. WizardAnswered on 30 May 2018This pay considered not bad already for dip grad. Even uni grads most will likely be this pay range. ​Don't get fooled by the news articles saying uni grads mostly get 4-5k on graduation. Those are the exceptions. Maybe you are an exception too but here I assume average person.​Before you further studies, maybe you need to think, how does this degree help in your career path?Does being in the healthcare industry require a business management degree? Or did you choose this because you read articles or heard friends saying business degree has potential? ​Maybe you can consider furthering your studies in healthcare related areas if you are really interested to go further into healthcare industry.0 comments1"
2,"Yong Kah HweeLevel 6. MasterAnswered on 19 Sep 2018If you think that the degree can give you a chance of increasing income, then I would say go for it! 0 comments0"
3,"Good Day Every DayLevel 6. MasterAnswered on 18 Sep 2018If you are passionate in what you are doing and you choose to study to upgrade in the same industry, then go for it. If you study to seek new opportunities in other industry, you may end up having a pay cut instead because you may not have the relevant experience. Think carefully. Just my humble opinion. 0 comments0"
4,"Gabriel LeeLevel 6. MasterAnswered on 18 Sep 2018Your salary is considered very good given that you hold just a Diploma certificate as it's similar to a fresh graduate from University! With that said, I feel that getting a degree will potentially open more doors of opportunities for you and allow you to explore more areas especially if you decide to make a switch in the future. It also serves as a form of safety net. Ultimately down to you, as to whether you're satisfied with your job and salary. 0 comments0"
5,Nicholas ChanLevel 5. GeniusAnswered on 18 Sep 2018Your pay is good considering your qualifications & age. Ask your employer if you need a degree to advance further & whether a private degree would be useful. 0 comments0
6,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 18 Sep 2018If the purpose is to increase income in current possible pathway on your studies / similar occupations, can try to :​Go talk to career counselor someone senior in the same field to find out what this possible career path way. Once you have the career pathway map, plot out he positions, and the next level and the next level. Go to all the online job site to find out for the title of the next level of positions , what is the experience , skills and qualifications requires to achieve those. Find out the good / suitable courses that offers those qualifications, or the company that offer the training to attain that experience or knowledge. ​With the above 4 steps , it will be able to help you reach your target better. Because you find out your objectives and work backwards. This way will be most practical. Not based on popular opinions or what courses being recommended. ​All the best 😄👍0 comments0"
7,"Jonathan Chia Guangrong, Fund Manager at JCG FundLevel 6. MasterAnswered on 18 Sep 2018Honestly, 3.2k at your age with just a diploma qualification is quite a lot, and it's comparable to some entry level degree roles. That being said, do you still intend to stay in the same company after you get your degree? Maybe you can have a chat with your boss to see how it'll open up doors to you in the same firm once you graduate 0 comments0"
8,"Jeff Yeo,   amateur Social contributor  at School of social sharingLevel 6. MasterAnswered on 18 Sep 2018What is the direction you wish to move into ? Management ? Sales ? Health care sales ?​i think all degrees help you open that initial door where most jobs states a degree requirement. The topic of study should be inline with what you wish to become further down the road.​i think education is never wasted ​please continue to learn 0 comments0"
9,"Charmaine NgLevel 6. MasterAnswered on 03 Jun 2018To be honest I think this pay is quite decent for a dip. grad in healthcare industry. You'd need to decide for yourself if you are taking the course solely for the sake of increasing your income or because you have an interest as well. If for increase of income, usually people will take your work experiences into consideration once you've worked your first job and if you're thinking of using the degree to ask your current employer to increase your salary - it wouldn't have a big impact... so you'd need to look for a new employer (new set of considerations will then set in..!)​Kaplan is fine as the professors are still from the individual universities. Do some research to evaluate how's the review of these degrees are for robustness of course syllabus and quality of professors. I've attended SIM full-time course..International Business with Uni. of Birmingham and got so bittered and disappointed because the professors are mostly great with reciting what I have already read from the textbooks while my studies with Kaplan were much more rewarding (I worked for a while before signing up for a part-time degree) and really applicable to my work.​Any investments should be considered in monetary and time wise of course but how you think/feel would affect how you perform in the course and whether you'd actually need it at all.​Hope that helps!0 comments0"
