,content
question,"Lifestyle Marriage Asked by AnonymousAsked on 24 Sep 2018I found out that my husband is having an affair. However, he is also the only one earning in our family. If I file for a divorce, does it mean I will have to provide for my 2 children alone?Feeling very lost here, I only have a diploma, so I'm not sure I can support both my kids if I file for a divorce. What should I do?14 answersAnswerBump3"
0,Answers (14)Sort By Most UpvoteMost UpvoteMost Recent
1,"Yiyang ChenLevel 3. WonderkidUpdated on 07 Jun 2019Sorry to hear of your situation. ​First try to talk to your husband and find out the cause of the affair. Listen to him and try your best to work on the problems.​If the marriage cannot be salvaged and you file for a divorce, it does not mean you have to provide for your 2 children alone. You can apply for maintenance for both you and your children. You will be expected to find a job though as you are healthy so maintenance from him for you will not be high. But for your children, your husband will be reasonably expected to maintain their present lifestyle. ​As their mother, and if you are perfectly healthy, you will have custody of the children with access to your husband. ​Regarding housing, talk to your husband then and see if your husband is willing to transfer this house to you if you do not have the money to buy over his share. ​If you reach the stage of having to apply for a divorce, please seek advice from a divorce lawyer. And remember, you will not be alone. ​Hope the above helps. ​​2 comments6"
2,"Leong Wen Fong26 Sep 2018Hey, thank you for sharing this!Bear Cranky29 Sep 2018My 22-yr marriage oso v weak. Husband nv put me & Gal in his heart. Work & friends r his priority! He often hme late & weekends MIA 5-6 hrs. Wonder ware he go as he refuse to say! Believe he hs women outside. Luv to lie & v secretive! Ppl always say talk it out bt he say nothing to talk! Sad! He gt lots to talk w friends & clients! He sleep on d floor in d other rm. Treat here like hotel. Why must men always be d one to hv affair? Unfair! Women always lose out! Man can easily find women despite his age bt women b/c undesirable as she age. Sad! Did think of getting PI to check if he h... (more)"
3,"Tina Sharon LeeLevel 3. WonderkidUpdated on 07 Jun 2019Hi thereI am sorry to hear about your situation. You may want to contact Aware. They have a free legal clinic. It may help you sort out your thoughts by discusssing your issues with experienced people for a start. Here is the linkhttps://www.aware.org.sg/information/divorce-2/Don't be afraid. There are many who have gone through the same thing and are more than willing to help you.All the best!
Cheers3 comments4"
4,"See all 3 comments Tina Sharon Lee26 Sep 2018Yes it is sad especially when young kids are involved. Many take marriage vows lightly and there is a lack of commitment overall. :(Leong Wen Fong26 Sep 2018Nonetheless, thanks for sharing, glad there are always people like you who are there to help! Always 2 sides of a coin."
5,"Kenichi Xi, nᴉʍ oʇ dǝnᴉʇsǝd 不能说的秘密 at Tag Team with Gabriel ThamLevel 6. MasterAnswered on 24 Sep 2018Sorry to hear about the situation.​Sit down with him and talk about it to know what is the cause of it.​Try to keep the marriage intact ""for"" the children if he is willing to change.​IF he is not, then i am sorry you need to get out of such a toxic relationship.​It will take a lot of money and effort to get custody of the child if the father does not wanna to let you have it. ​You will still be the mother of the child and given access to your child.​As for maintenace, you can refer to the link below but bear in mind LAWYER FEE are something you can never avoid.​https://singaporelegaladvice.com/law-articles/maintenance-of-spouse-in-a-divorce/​The ppty u are staying will be another issue to look at and u have a choice to buy over ur husband share or if he is unwilling, u have to sell tt ppty away.​Hope my reply helps.If you feel this reply have Quality, please upvote and check other Quality Reply.https://seedly.sg/profile/a-kenichi-xiThank you.​​0 comments4"
6,"Xinyi LumLevel 5. GeniusAnswered on 25 Sep 2018By another user who wished to remain anonymous as well​1) do not talk to your husband about it until you have gathered all information in his affair and his financial matters.One of the most difficult things is proving(i) his financials especially if he is not a salaried worker(ii) yours and his contributions to the family(iii) his affair.​(2) how to gather information on his financials - get hold of his tax assessment, bank accounts, assets, cpf account, details of properties, shares. You should also get information on his monthly expenses, your monthly expenses and your children monthly expenses. This is a double edge sword - the more thrift you are w your own needs right now, the lesser you get in terms of your maintenance. Same goes w your children’s maintenance.​(3) gather information on your past contributions to the family - what financial contribution to your matrimonial home - did you make payment before you stopped Work? How much?Do you regularly pay for meals, renovations, etc?How about now- what are your contributions?Courts usually give w more equal share to both parties the longer the marriage is.​(4) gather evidence of the affair. Note that the court usually requires some PI report of the couple spending somewhere overnight before divorce is granted on basis of adultery​(5) talk to divorce lawyers / aware etc​(6) prepare yourself emotionally - start by strengthening your group of friends. I advise you to do all these before you approach him.0 comments3"
7,"Cedric Jamie Soh, Director at Seniorcare.com.sgTop Contributor (Sep)Level 7. Grand MasterAnswered on 03 Jun 2019Please keep all proof of your husband having an affair. (documents, videos, photos, witness etc)That will help you greatly in asking for maintanence fees for your children and yourself.The court will look at the family finances before and after wedding, and generally advocate that half of the men's financials after wedding is due to the wife's contribution to the family as well.With proof of the affair, it is easier for the courts to make a decision.0 comments1"
8,"Junus EuTop Contributor (Sep)Level 8. WizardAnswered on 20 Mar 2019Sigh. Which is why I am always an advocate of being financially independent as a woman, so that we don't have the crutch of being dependent on the husband. I do believe that Singapore marital law, a woman is entitled to ask for custody, care and control of the children in a divorce. It is irrelevant if she has no income. The court can order a man to pay maintenance of his wife upon divorce, separation or annulment of marriage. The court can also order division of matrimonial assets upon divorce - even if the woman did not contribute to it.In essence, if you do decide to file for divorce, then you won't need to provide for your children alone as it will still be a shared responsibility.All the best! I hope everything turns out well for you, and hope you find someone who truly loves you and is true to you! Also, surround yourself with loved ones and friends - I am sure you would need all the love and support at this point!0 comments1"
