,content
question,"Lifestyle Property Investments Asked by Cherie Julianne TanAsked on 19 Apr 2019Why was Singapore willing to spend S$1.3 billion to build Jewel Changi Airport?According to Business Insider, it costs S$1.3billion to build Jewel Changi. Many critics have pointed out that there are many other ways to use that amount of money to improve Singapore's economy instead. So why did Singapore choose to spend so much on Jewel?16 answersAnswerBump6"
0,Answers (16)Sort By Most UpvoteMost UpvoteMost Recent
1,"Billy Ko, President - Investment Club at Singapore Institute Of TechnologyLevel 6. MasterAnswered on 19 Apr 2019Allow me to showcase the reason in 3 picturesTake a look at the statistics. Scroll through your social media newsfeed these couple of weeks and what is the most common thing you see, be it on news or shared by friends? JEWELIf you manage to make a trip down to Jewel and stay till the Waterfall Light Show in the evening, just observe the number of people whipping out their phones to insta-story / Facebook Live the show. It makes my hair stand. Imagine each instastory reaches out to approx. 200 followers, multiply that by the number of insta-stories posted and one will then have the realisation that whatever costs involved was worth it. One can pay for advertising (posters, facebook ads) but one can never pay for publicity (i.e. word of mouth, reviews etc.)Furthermore, one has to understand the cruciality of an airport and its surroudning infrasturcture. The Airport serves as the first impression of a country, being the first and the last thing travellers see when they arrive and depart. It's how a country bades a tourist goodbye or hopefully, a see you. And Singapore has indeed done in right. I personally think much credits has to be given to Chairman of Changi Airport Group, Liew Mun Leong, who was also once the CEO of Capitaland whom I believe has a significant influence in this project. A big kudos to everyone involved in this project.1 comment18"
2,Ezen Ho4d agoI totally agree
3,"Junus EuTop Contributor (Sep)Level 8. WizardAnswered on 19 Apr 2019Changi Airport Group (CAG) managing director for airport operations management, Mr Jayson Goh, said it himself - Changi is positioning to be “a lifestyle destination in itself”.Apart from the surge in publicity in the next few months, think about how it helps CAG's position as the top airport in the world. Additionally, the tourism sector is important. Consider the following statistics in 2018:6.2% rise in tourist arrivals cushioned retail sales slip in 2018Tourism receipts increased by 1% to S$27.1 billionTourist arrivals clocked in at 18.5 million in 2018, driven primarily by increased arrivals from the American and European markets at 13.6% and 11.3% YoY, respectively0 comments8"
4,"Eveline LauLevel 5. GeniusAnswered on 23 Apr 2019It’s the standard Singapore success formula; iconic structure (in a small city) = must visit for tourists = dine and shop there for convenience & impressed by architecture = take nice photos for SNS = free promotion, loop the cycle. It worked for the MBS-GBTB / downtown area, what more for an attraction that you can visit the moment you arrive in Singapore or before leaving? And Jewel can also attract additional crowd - travellers with connecting flights. But will need effort to upkeep the eatery standards / menu (variety of what they can offer) in order to keep the constant steaming of local crowd in the long run. Maybe that’s why many instagrammable spots to attract influencer-wannabes.0 comments5"
5,"JYJavier Yong-En LeeLevel 3. WonderkidAnswered on 22 Apr 2019Very interesting that ST leaves this article free to read https://www.straitstimes.com/singapore/tourist-spending-in-singapore-hit-record-268b-in-2017-china-top-source-of-visitorsBut it clearly states tourists in Singapore in 2017: 17.4 millionMeanwhile if you search number of transit passengers in 2017, Changi Airport has reported the numbers in their website as 62.2 million. Clearly 44.8 million people passing by CAG should be given an opportunity to do some lovely convenient shopping or at the barest minimum spend some dollars at the yummy food paradise of SG?  ( enter new fast and efficient scan passports and go custom system for all terminals) Based on the tourist dollars and number of tourists in sg, per pax spent $1540.22 in SG. So if the 44.8 million people just spent say 1/3 of tourists spent ie about 500 bucks, that will be 23 billion bucks per year. What is 1.3 billion?0 comments4"
6,"Goh Kah KiatLevel 4. ProdigyAnswered on 20 Apr 2019The unfortunate reality is that Singapore has to keep up with regional and global competition. Regional airports are all expanding and upgrading, Singapore has to splash the cash to keep up.Singapore adopts a systems approach to everything. Jewel Changi is only a cog in the tourism strategy. Add in the URA Draft Masterplan to rejuvenate Orchard Road and make the CBD more livable, the planned T5 and T6 terminals, plus the planned expansion of the 2 Integrated Resorts, you start to see the push to keep Singapore attractive and to justify all this infrastructure spending.0 comments3"
7,Mel Tan WmLevel 4. ProdigyAnswered on 19 Apr 2019To show that Singapore is always at the forefront of changing her landscape. And to set an amazing example that aviation and tourism are very important aspects.0 comments3
8,"Richard Woon Tian JunLevel 6. MasterUpdated on 19 Apr 2019Mostly to consolidate Singapore's position as the world's best airport no doubt. Having the world's best airport for the past 7 years running is no small feat for a small country like Singapore, and with our geographical location being a layover stop between asia and the rest of the world our airport is really the biggest impression that travellers will get from their time in Singapore. I don't particularly agree with the entire idea that it will boost travel though - people won't necessarily come to Singapore just to see a big mall, they come to see culture, eat food, experience the night life. The Jewel is but a decoration or a not so subtle flex by Singapore to showcase our wealth, and governmental efficiency. 5 years to build such a huge complex - Countries 10s of times bigger than us take 5 years to merely lay the foundations!0 comments3"
9,"Ricky PehLevel 2. RookieAnswered on 05 May 2019To generate retail revenue for the Airport so that airport related fees such as landing fee, security fee can be competitive. This will attract more airlines to consider Singapore as a base and thus, bringing more travellers in to Singapore and in turn, boosting our tourism sector0 comments2"
10,"Joe TanLevel 2. RookieUpdated on 26 Apr 2019Because it rather make the foreign tourists smile than our poor old, thin and hunch-back folks picking up empty drinks cans and cardboards to fill their hungry and always empty stomach.0 comments2"
11,"黄黄俐中Level 2. RookieUpdated on 24 Apr 2019Singapore being a small island country require large amount of resources to drive its economy. In order to do so, it needs to establish itself as a world class trading hub and stopover for investors and traders so that resources can be exchanged and deals can be easily made in the country. To facilitate the process, land planning and architectures are made to be efficient and comfortable. Given its lack of natural disasters and high security, it further established itself as a safe haven for investor. Jewel is just one of the many land planning strategies to place Singapore as an attractive place to establish headquarters, finance hub, and a place to form diplomatic ties between entities.0 comments2"
12,"Noel PeeLevel 2. RookieAnswered on 23 Apr 2019In my humble opinion, it make's Singapore under the spotlight once again. Showcasing some of their best ideas, architecture, engineering. It attracts tourist to pay a visit, attract in new investor/brands, allowing the country to have another reason to pay a visit. This could boost tourism, which could generate revenue for the country in the long run and in many other ways.0 comments2"
13,"Steph YeoLevel 5. GeniusAnswered on 20 Apr 2019I see Jewel as a combination of a garden, a musical fountain, and a large mall that has a cinema. For relativity let's use the examples of Gardens by the bay (the only other big garden in sg), Sentosa's Wings of Time (the cost of this was easier to find than the MBS light show) and Vivocity (Vivo has 1.5mil sq ft of retail space, vs 1.46mil in Jewel, close enough).Gardens by the bay cost 1.03bil, Wings of time 10mil (just to change the original 30mil Songs of the Sea to another theme), Vivo 417mil. Those add up to more than 1.3bil.Do we need replicas of the existing places of attraction? Maybe not, but we keep building shopping centres everywhere else anyway. Is it nice to have all the attractions above (and more) under one roof? Yes.As a Singaporean, am i proud that we have created such a spectacle in such a short time? Yes.Was my mrt journey there from my home at Pioneer worth it? Yes.Does Jewel make me like Changi Airport at least a little better? Yes.Then build lor.0 comments2"
14,"Lok Yang TengLevel 6. MasterAnswered on 19 Apr 2019Airport is a complementary good with air travel (both come hand in hand). With SQ being widely heralded, it'll be a disappointment for many if the airport they arrive in is in backwater condition.Singapore with rather low consumer base has to rely on tourism for additional income (hotel, casino, etc)Large spending stimulates economy by creating more jobs (higher salary- more spending)Instill confidence in foreign investors since SG has enough money to furbish and improve on airport (contrast: Msia still strugging to keep itself in check)0 comments2"
