,content
question,"Lifestyle Salary Career Asked by AnonymousAsked on 19 Nov 2018What can I do during my spare time at work to earn more money? Or should I look for another job that pays more, but has more stress?I work in maintenance, and I have quite a bit of spare time during work hours, while waiting for something to go wrong. I earn 2.7k every month, and am comfortable with my job. What can I do to earn more during my spare time at work (can be up to 3-4 hours a day), or should I search for something that challenges me more?6 answersAnswerBump0"
0,Answers (6)Sort By Most UpvoteMost UpvoteMost Recent
1,"Gabriel LeeLevel 6. MasterAnswered on 20 Nov 2018Dropshipping is pretty viable and doesn't require much effort/time, excluding the initial set up. Used to do it previously and could earn about $500-600 per month without much effort while I was studying in Poly. Check out my answer related to this here - https://seedly.sg/questions/how-to-be-a-successful-carouseller-on-carousell0 comments2"
2,Good SamaritanLevel 2. RookieUpdated on 07 Jun 2019Hey there!Learn skills and take on freelance jobs! its never too late to learn something new..1 comment0
3,"Cherie Tan04 Apr 2019Hi! Great to see you’re willing and open to earning more income by taking up a second job. I hear tutoring is a great way to both have work life balance and earn a stable stream of side income. Try something like www.A1TuitionAcademy.com, my friends work as tutors with this agency! So far, so good."
4,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 09 Feb 2019Try this too: https://blog.seedly.sg/5-ways-make-extra-money-on-side-low-commitment/3-4 hours a day if you can teach then go for tuition, otherwise even if you don't wanna try, can find out from others how much can they make if is doing food delivery for all the platform. Hope it heps! Happy Hustle hustle! :) 0 comments0"
5,"Simon SohLevel 2. RookieAnswered on 09 Feb 2019If your company allows, drive Grab/GoJek or do courier runs? It helps you support a vehicle (if you don't already have one) which also helps you get to your actual job faster.
Haha just a thought0 comments0"
6,Lok Yang TengLevel 6. MasterAnswered on 19 Nov 2018There's soo many you can do: https://seedly.sg/questions/what-are-the-different-ways-of-producing-passive-income-available-in-singapore (the list is not exhaustive). But whether to find a job that pays more depends on your cost-benefit anaylsis. Is the extra work load worth the X amount? Is there more satisfaction with your new job? 0 comments0
7,"Steven LeeLevel 1. FreshieUpdated on 03 Jul 2019There is a good opportunity is to consider
there is a company marketing  using DNA technology to help people to improve wellness and lifestyle.  It is innovative idea first of its kind. Sort of pioneer in its kind of business.
You can earn side income through introduce friends to join as members.  No selling is needed.  Just introduce FriendS and people to this scheme   More u introduce more u earn.
Some me call this MLM but understand they have cleared and gotten SG govt approval for this business  which meet the criteria of eligibility
the catch is u also need to sign up a member and pay a initial token fee. $200-300 which include a free DNA test plus analysis. And also need to pay monthly subscription fee of less than $100.   Understand you  recover this cost easily once u introduce 3-4 friends  and earning Will escalate and multiply over  time
if keen   Can message me4 comments0"
8,See all 4 comments Steven Lee03 Jul 2019Yes. Sort of like MLM. But approved by SG Govt   So what is the problem ?Hariz Arthur Maloy03 Jul 2019Approved how?
