,content
question,"Lifestyle Savings Credit Card Asked by Kenneth LouAsked on 07 Sep 2018Any Online shopping tips, tricks and hacks in 2018 to share with the community?Taobao 11.11 is coming up really soon!12 answersAnswerBump1"
0,Answers (12)Sort By Most UpvoteMost UpvoteMost Recent
1,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 07 Sep 2018Personally, my fav is still TaoBao due to largest supplier, variety and lowest possible price!​I started on 11th Nov, has the most deals and coupons (like Q10) but expect ETA about 1.5 months!!!​Here are few of my tips that I use whenever I shop at Taobao:English reader use Google translate for your easy understanding.Upload / Take pic of your item (using the camera icon) for easy search in the billions of items. ​​​​​​Use the filter functions to narrow down the size, types, materials, pricing, seller ratings, highest sales volume to get to the treasure in the sea of same product!​​​​Always read User Review. They have Q&A, User Showcase (pic/video) and user review.Tips: a) Review can be fake ! (Paid by merchants to do fake review) but the pic / video is worth a 1000 words! See it for yourself, check the real item pic share / showed by past buyers to be safe of design/colour and some cases, the quality.  b) Read seller review: But take it as a pinch of salt since it can be fake. I'll usually choose those where many people buy from them, so that should be quite safe since many buyers bought from them.​​​​Measure yourself first (clothings), record down and for every item, there's a measurement so you can base on that table to compare and find / buy the right size and fittings.​​​​Happy Treasure Hunt (Taobao!)  Cheers! ​​0 comments3"
2,"Charmaine Ng, The Code Breaker at @ Every Chye Peng StallLevel 6. MasterAnswered on 10 Sep 2018This is what I do personally, just sharing~​Know your dates! 9/9, 10/10, 11/11, Black Friday, Cyber Monday, Christmas, CNY! Share them with your kakis at work or who usually hang out with. Offer to help purchase to earn cashback.​Snap it! Snap picture of whatever you see of interest; especially if you are interesed to get one. Today I saw a digital keyless letterbox lock.. so intrigued by my neighbour's novelty I'm actually 'researching' on taobao/shoppee etc. With a picture you can very quickly find what you need. I usually 'favorite' these pictures and know what I'm going to buy, the highest price I'd pay for before I go into the 'arena'.​Be flexible! Plan your trip but with flexibility. Confirm the dates but be flexible about where you are staying and you can snag a good deal when cashback is high or around shopping peak season! I know people who gets everything done at one go - it's not wise for the wallet. Just purchased return flights on dreamliner to Bangkok @ total $212 including airport taxes; return checkin luggage of 25kg and priority boardings. #hint: use NTUC-scoot promo.. now they have 20% off till 11 Sep.  Which brings me to my next point...​Stack your hacks.  I also got 10% discount from booking.com genius member & 9% cashback from shopback app and a 1.5% cashback from my stand chart unlimited credit card. More savings? Yay!​CSI/research your prey. Check through what are the alternatives. Sometimes you don't need the real stuff that costs so much more because you're only paying more for the brand. Check the difference in ingredients, materials and price. Check through product & seller ratings; make sure you look into the complaint portions and compliments. Many ratings without comments = dubious; so do great ratings and short comments. Look for pictures for proofs and check what are the pain point.​Get it in the cart then leave it alone. Thinking to get something but cannot make up your mind? Sign up to the newsletters/as a member, log in and put the item in the cart without checking out. In less than 48 hours you will see price drop on the said item and a email telling you ""the price has dropped!"" Ya... this is how it works.​7. Compare! If using Amazon, use camelcamelcamel.com. It's a website that tracks the price on Amazon and will pull up the historical prices of which the item was sold at. Sometimes I uses their popular items tab or top price drops just to pass time. You wouldn't want to be buying something at the peak of their price.. Similarly if travelling can use skyscanner.com, hotels.com, bookings.com, trivago or DBS price matcher (for dbs/posb cards only though). I also open multiple private tabs to check for lazada/qoo10/shoppee for similar product price.​Invite your mom and pop to be your best shopping mate. I'll invite my mom, create an account for her and uses her account to shop. This means you earn the referral, she would be able to use a first time promo which may be bigger than the referral bonus but whichever it is, you've doubled your worth of rewards. Also it helps disrupt the marketing data which I absolutely delight in hahaha.​9. Buy gift cards. Sometimes I'd get gift cards from say, fuzzie.com when its on sales. Because gift cards in general are regard as cash, they are allowed to be stacked most of the time (read T&C before you purchase!). Meaning you can get a discounted gift card at -15%, then buy something on offer at -20%, google online for a -5% promo/use shopback app and still get a -1.5% by using a cashback card (in my case stand chart unlimited). Just be strategic when you buy and know that you can utilize it.​Clear your browser cookies and viola! Suddenly prices are lower. Yes, websites tracks what you're interested in and they jack up the price. Clear your cookies after your research and you will have prices as though it's never changed in the first place. Supply and demand works well here.​Get samples or ask for directly. Sometimes you just don't seems to find any promo codes for the items you want. What I'd do is facebook msg the merchant and ask if they have discounts or promo going on. Most of the time they'd let you know approximately when they'd have the promo and you can mark your date or some would be outright awesome and send you a promo code. Ask and you shall be given... We had a road trip booking and we were set on a smaller vehicle (due to hefty price tag) when it's out of stock on the dates of rental! The officer told me the only available one is the bigger one and/or choose others which doesn't really suit our criterias well.. when I spoke to the man about we really liking the bigger vehicle proposed but the price is what's stopping us.​He gave us a free upgrade immediately. That's at least $700 AUD savings!!​Hope this helps! :)0 comments1"
3,Koh Jun Jie JasonLevel 3. WonderkidAnswered on 10 Sep 2018Group Buy to reduce shipping chargesSource or ask for referals codes to get more discounts Read for feedback and pictures Self collection also saves.0 comments1
4,"Gabriel LeeLevel 6. MasterAnswered on 09 Sep 20181) Utilise Shopback to get cashback (if applicable)2) Pay with your credit card that gives you rebate3) Use DBS PriceMatcher to search for the same item with the lowest price4) Compare between different shopping platforms (Qoo10, Shopee, Lazada etc.) 5) See which platform has coupons which you can utilise to further lower the price 0 comments1"
5,"Gabriel Tham, Tag Team Member at Kenichi Tag TeamLevel 8. WizardUpdated on 07 Jun 2019Put all your items in wishlist before the sale​When the sale comes, check which one has discount!​Also, compare across platforms to see if the same item is cheaper or free delivery.​Use Shopback for more savings! Use Special Credit card promo for even more savings!1 comment1"
6,Kenneth Lou07 Sep 2018The wishlist one makes sense! haha you have my 1 x upvote :) Actually also can put into shopping cart!
7,"Varun SharmaLevel 1. FreshieAnswered on 20 Jul 2019Here are some tips to do online shopping like a pro!As you know today online shopping is very common and you can save big on your shopping if you know how to use cashback, coupon and rewards giving websites.
1. Search for brand coupons or cashback which you want to buy. For eg: taobao coupon codeYou will definately find some websites which provides cashback or coupons for the brands you want to buyCopy the coupon code and use it when you go to check out page or if you are going for cashback then click on the cashback link provided by the websiteWith these 3 steps you can save a lot on you shopping. For more tips and hacks on online shopping, visit TrendinBuzz0 comments0"
8,Xander LimLevel 1. FreshieAnswered on 21 Jun 2019I just started Taobao few months ago! So addictive!! Recently I got bored with the Taobao Direct Shipping n Consolidate Shipping methods n upgraded to use 3rd Party Consolidate n Shipping! 1cubic metre of shipping to SG is only 90sgd!! 180 days free consolidation.. My wife is loving it.. Every few months I am getting my restock! Haha I got all this info from this digital Taobao Guide available on FB @taobaoguide where u can learn all the 'tricks' n 'secrets' to shopping on Taobao.. See https://www.facebook.com/taobaoguide/Hope this help!0 comments0
