,content
question,Loans Credit Card Asked by AnonymousAsked on 13 Apr 2018Is it better to get a loan from the bank to pay off the credit card debt knowing loan interest rate is lower than credit card interest rate?6 answersAnswerBump0
0,Answers (6)Sort By Most UpvoteMost UpvoteMost Recent
1,"Kunxiang ChiaLevel 2. RookieAnswered on 18 Apr 2018Both are equally bad, it's a vicious cycle. So cut the credit cards and work on a repayment with the bank's!0 comments2"
2,"Aik KaiLevel 6. MasterAnswered on 29 Apr 2019On theory, it sounds like a sound plan. Clear the higher interest loan then clear the lower interest loan.In reality, nah. Getting more loans to pay off loans is a bad idea. Talk to the bank, get a debt consolidation plan and pay it off before getting new cards or loans.Fundamentally, you have to watch your spending habits. Spend within your means.0 comments0"
3,佩珊Level 1. FreshieUpdated on 07 Jun 2019If Foreigner get any easy loan at Singapore2 comments0
4,"Ganga Ganga27 Apr 2019Yes you can get a loan , just contact us now via email or whatsapp :Email:KAZIMCLEAM@GMAIL.COM
Whatsapp:(+151)86286514佩珊06 May 2019I from where y the contact different"
5,Brandan ChenLevel 6. MasterUpdated on 07 Jun 2019You may consider balance transfer. It's a scheme whereby they charge 0% interest for up to 6 months. This may give you some leeway if you are able to pay off the debt in about 6 months1 comment0
6,佩珊01 Apr 2019Can if bank borrow that money to me but my annual income only $28000 oso foreigner only.the banker chit my money until now 2 years ready my savings acc all buy to investment insurance plan
7,"YMYeap Ming FengLevel 5. GeniusAnswered on 15 Apr 2018As mentioned by Kenneth, there are definitely a few of such schemes to help you out. But on a personal level, taking another loan to pay off a loan is not that good a solution. Best is to bite the bullet and clear the loan ASAP.Here are some methods that can help you clear your debt fast: https://blog.seedly.sg/hacks-to-clear-your-debts-fast-and-effectively/0 comments0"
8,"DeleteEditKenneth LouLevel 8. WizardAnswered on 13 Apr 2018There are very interesting solutions and ways around this. A link found here at this post should be able to address all your queries with 3 different schemes to allow you to clear your debt: https://blog.seedly.sg/pay-off-your-debts-schemes-that-help-you-get-out-of-debt-singapore/ ""Only Singaporeans and Permanent Residents with outstanding balances that amount to at least 12 times your monthly income are eligible to apply for debt consolidation plans (DCP). In addition, you must be a salaried employee with an annual income of at least S$30,000 and a maximum of S$120,000.""0 comments0"
