,content
question,"Loans Property General Asked by AnonymousAsked on 22 May 2018Fiancé & I splitting reno costs 50:50. I can pay my 50 while he can’t. If I pay for the diff, both of us have $0 savings & I need to delay investment plans. Thinking of reno loan but wary of high interest rates. What should we do?16 answersAnswerBump4"
0,Answers (16)Sort By Most UpvoteMost UpvoteMost Recent
1,"Siti PutriLevel 5. GeniusAnswered on 23 May 20181) Reno loan should be the last item as typically 5% interest. Unless u are good and consistent in investing capable to make more than that.2) o reduce the Reno amount decide on priority or not.3) If I were u I won't focus on investing but just more savings to built up for the next couple years., Reno is one thing, still need $10K+ to buy appliances and fixtures like Aircon lights, washing machine, fridge etc. Plus once u start living will have costs like utilities and conservancy fees.4) If I were to plan to live with someone perhaps I will use my extra 50% to cover for fiance. However will make a deal that he/ she transfer some amount back to me every month without interest lah. Alternatively, he/ she can also be the one to pay for monthly groceries, utilities etc once start living together till I recoup back my 50%.5) Open a joint account and teach your fiance to save together a certain amount.6) Everyone has strength and weakness, so it is up to couple to optimise the strengths and complement on the weakness.0 comments12"
2,"HC TangLevel 8. WizardAnswered on 23 May 20181) Just do aircond. system 3 (3 BR with aircond) or 4 (3 BR and living room) cost about 3 to 4k, be sure to choose 4 tick and above. Because if you do aircond later after you move in, gonna be messy, dirtyand lots of hacking, wiring, trunking and existing furniture will obstruct. 2) Electric wiring -  BTO is new does not need to do much wiring. Spend basic on lights and plugs. 3) Kitchen cabinet do the normal and need not spend too much on it. Normal budget about 8 to 15k. 4) Buy furniture from Taobao, since all the furniture you see either made in M'sia or APAC country, tao bao helps save a lot. 5) Draft a list by (a) Needs and (b) Wants. Send the (a) Needs list to family and friends and colleauges, they will be happy to share and buy you some useful furniture.  Buy your (b) wants later one by one after your salary increases. 6) Get standard fixture and fittings packages from HDB (such as floor tiles or even Kitchen cabinet), may not be the best but will save a lot than outside contractor. 7) Buy some of the bed or furnishing using zero interest installment via credit cards, this will help you to pay gradually. ​Finally, go hang out and read a lot at Renotalk forum, find all the sub contractor 1 by 1 doing different trades, husband be the main contractor coordinating all the sub con, this will save a bulk from using a main contractor who does nothing much. Learn to real the floorplan, the quotations, and see how others quote so that you can specify items, materials, and know the costing in details so will not be con on materials or being chop on price/quote. ​Be sure to always spot check the work of the sub con, they might sneak cheap stuff in sometimes. ​In short, most Singapore stays in their BTO for 5 years (once MOP meet) and will be thinking of upgrading when income increases, thus don't need to spend so much $ on the first house. After all when you sell, the buyer don't pay you for the depreaciate values of your fixtures, fittings and your furniture. So do the basic and upgrade every 5 to 10 years. 0 comments10"
3,"Gabriel ThamLevel 8. WizardUpdated on 07 Jun 2019Well....either lower the budget for the reno and make do with less and what you both can afford.​Or, delay the reno, save up more for it and then do the reno.​If both of you cannot pay for it, then its definitely out of your affordability zone. We all want the best but sometimes we just cannot afford it, so we have to make do with whatever resources available. ​This principle goes for many other things in life. People want big houses, expensive car, rolexes, etc. But not everyone can afford. So how? Make do with what you have in life and to your own affordability. 2 comments7"
4,"Cherie Julianne Tan23 May 2018I agree with this, should make do with whatever resources you have. Don't bust the bank trying to achieve something out of your threshold, it would only damage the marriage in the long run, totally not worth it! As long as both of you are happy together, I think that's all that matters! You should communicate your concerns with your other half, so that you will feel less alone on this!Amos Goh23 May 2018Agreed, spending what you can afford can never go wrong :)"
5,"Tee-Ming ChewLevel 6. MasterAnswered on 23 May 2018I believe this is a question that will be faced by many couple.. Please allow me to share my view on this.​There are three possible way to resolve this:Reduce the renovation cost to a sum that both you and your Fiancé can afford. That being said, this means that you need to lower down your expectation on the renovation outcome as lower budget most likely will mean lesser stuffs you can do for the renovation.Pay the difference and have an agreement for him to return you back the sum. As you mentioned that you are planning to start investing, you should talk to your Fiancé about it so that he can understand that you need the money for other use in future.Pay and forget. Since you are starting a family together, one way to think about it is that you are actually investing for the future of the family's comfort (a better home means a happier family). That being said, you should really think if you're ok with this arrangement!Again this is my perspective. Hope it helps!0 comments3"
6,"Aksel YapLevel 2. RookieAnswered on 23 May 2018I'm gonna tackle this as a business problem. It depends on what skills you want to pick up.​1) Call subcontractors directly. That means getting flooring , painting , carpentry from guys who do those jobs. Not a renovation company. Renovation companies mark up by about 30-50%. Get good at negotiation and u can knock that 30-50% off. It also means you have to schedule and manage the whole project yourself. Congrats, you just started your own renovation  company.​2) Start an Indiegogo or GoFundMe. There seem to be similar stuff here https://www.gofundme.com/wedding-honeymoon-fundraising/. Think of it as a giant wedding registry! ​Offer incentives like picture taking with the house after renovation done or something. Congrats, you just became a social ""influencer"".​Those are just 2 ways to make the money you need. If you hustle, I'm sure u can think of more. ​Too hard? Yea, stick with cutting down something or getting a loan. Those are really easy to do.0 comments2"
7,"Nicholas ChanLevel 5. GeniusAnswered on 06 Oct 2018Either go for a smaller renovation package, or u pay 1st, monitor his spending & ask him to cut back his daily expenses to make up for it =p0 comments1"
8,"YMYeap Ming FengLevel 5. GeniusAnswered on 23 May 2018I guess there is a few ways to tackle this issue, depending on the priority.​If Investment is at the top of your priority, you are ok to scale down on renovation spending to a budget which is comfortable with both parties. One way around it is to do it in batches. Have the necessity renovation done up first and move on to the rest when both parties are able to afford it.If you still wish to carry on with the renovation in full, get the best renovation loan package. Of course, one needs to be confident that the investment returns can beat the interest rate. Find out here: https://www.99.co/blog/singapore/best-renovation-loan-singapore/Having done an AMA with some of the experts in the field, most couple commit the mistake of spending way too much on renovation. While it seems tempting to do so at first, ultimately it is your love nest and probably your first property. But the key takeaway will be:Having liquidity for rainy days is important.Renovations can always be done when it is less taxing on the wallet or when enough savings. The design you want now, might be outdated by then and taste changes over time.Work it out with your Fiance! You guys can do it! Cheers!! ​0 comments1"
