,content
question,Personal Finance 101 (LLI) Savings Insurance Investments Asked by Kenneth LouAsked on 05 Dec 2018Leave your thoughts on the Seedly Personal Finance 101 Meetup (December 2018)?Share your experience with the community here if you have attended the event. What did you like and what can we improve on for the next meetup? Speakers were Kenneth Lou (cashflow management and investment) and Loh Tat Tian (Insurance basics). Held at the LifeLong Learning Institute on the 5th of December 2018.68 answersAnswerBump5
0,Answers (68)Sort By Most UpvoteMost UpvoteMost Recent
1,"Rach TayLevel 3. WonderkidUpdated on 07 Jun 2019Friendly & pretty emcee, spontaneous and generous speakers, and a community of helpful and enthusiatic people learning about finance. I like that it was free of charge to public as an introductory thing. Launch more sessions for different topics, different age groups and more on CPF as well, hope To attend more!thanks seedly peeps :)2 comments7"
2,Leong Wen Fong06 Dec 2018Yay! Glad that you enjoyed it!Rach Tay07 Dec 2018👍🏻👍🏻👍🏻
3,"Hoh Shi ChaoLevel 3. WonderkidUpdated on 07 Jun 2019Dinner was provided! The event was quite informative however the session is really short. There are still a lot of things more that can be shared. I think more info would be better but then that would take a longer time. I wish they would share the slides though, because I was engrossed in the talk and did not have time to take down notes or photos or think of questions. They explain things quite clearly. I would attend future sessions (102 perhaps?). Either way it is a good start/intro to your own money management.Edit: would be great to explain more about selling away our policies! Rather than giving it up totally and get the basic refund I would rather get a higher amount. Also, would be great to say more about the savings account thing about the 1% interest4 comments6"
4,"See all 4 comments Loh Tat Tian06 Dec 2018Many bond investor would want to takeover your policies since their Potential return is higher. And also, the risk is on the third party. For yourself, you just get the money and the policy is not your concern anymore.

You may look for Reps Holding and Purvis Capital to understand more :)Lim Chun Long Jimmy09 Dec 2018DeleteEdithttps://www.fidentiax.com/
In future, you may consider fidentiaX in addition to Reps Holding and Purvis Capital to sell your cash-value policies."
5,William Chay Kok KoonLevel 3. WonderkidUpdated on 07 Jun 2019It's a very good event with interesting topics and the buffet is also very good. I like the sharing by both Kenneth and Tat Tian. I hope to have more topics on investment and other financial planning.1 comment5
6,Kenneth Lou05 Dec 2018Awesome happy you enjoyed it! 🤙
7,Leonard LimLevel 3. WonderkidUpdated on 07 Jun 2019Great sharing with lots of learning opportunities. Highly appreciate the session1 comment5
8,Kenneth Lou07 Dec 2018Thanks for your feedback! :) 
9,"Gabriel LimLevel 3. WonderkidUpdated on 07 Jun 2019The event gave me a great introduction towards in the area of personal finance. For somebody who was practically clueless about it, I now have greater confidence in starting my journey towards better financial management. The QnA section was really useful and I wish it could be a bigger Segment in future events1 comment5"
10,Leong Wen Fong06 Dec 2018Do ask your questions whenever you have them! we have a great community that is always willing to help!
11,Xiang Jing OoiLevel 3. WonderkidUpdated on 07 Jun 2019I felt that Kenneth was a very engaging and lively speaker and he was able to break down the financial terms into something very simple and easy to understand. however I feel That maybe the link between the title of this event ”what your agents won’t tell u” can be made clearer during the session. 1 comment5
12,"Loh Tat Tian05 Dec 2018Apologise about the difficulty to highlight. I wish to point out something (which I didn't really). 1) Aviva Mindef is one of the cheapest terms plans, and it can be extended to your spouse and kids. 2) Agents frequently like to exclude ""exclusions"" 3) Agents will never go through the internal rate of return with you. 4) They are not as candid as me :p"
