,content
question,"Retirement Savings Career Asked by AnonymousAsked on 18 Oct 2018Would you rather make $30,000 a year doing a job you enjoy or making $100,000 doing a job you don't like?I'm actually in this dilemma now between jobs. Interested to know what people think.35 answersAnswerBump3"
0,Answers (35)Sort By Most UpvoteMost UpvoteMost Recent
1,"Vicky FaithLevel 5. GeniusAnswered on 19 Oct 2018I used to be really hard up about money before I resign from my fist job (after uni, worked for more than 4 years) recently. It was a really tough decision as i was doing what i was passionate about. But the environment i was put through made me chose to leave without having another job lined up. I took a trip out of Singapore to reflect about myself and the job I wish to take. Below are some conclusions I had for myself, which hopefully helps you. 1) I should never do what I'm passionate about/hobby as a job - because I'm so passionate about it, I tend to have my own opinions and know a lot more about it while my bosses may not. Their focus would be purely organisation needs and nothing else (unless the WHOLE organisation is set up with its core value revolving around what you're passionate about.. And your boss got to believe in the organisation core value too!)2) when I'm young, it's important to follow the right leader who are willing to teach and groom me rather than following the highest pay and never get to grow. Of course if I can get both at the same time, that would be awesome. 3) after I graduate, my degree probably lands me my first job and not the subsequent one. The next job and on is highly based on my transferable skills from my first job. 4) I was hard up about money and it was also money that kind of made it a really though decision for me to resign. Only when I finally prioritised my emotions over money then I can let go. It's ok to not have a lot of money now, as long as there's sufficient for emergency use!4) no matter how much I love the job, the company (especially big org) will only view with you as one of the employees. Don't ever sell your life to the company. Take your deserving break and don't try to ""more OT means more hardworking"". You will only torture yourself.6) I never knew what I don't like a job until I get to try it. I will view every single new things as a new challenge and told myself that I will get hold of it, no matter how much I dislike it. The next job I'm getting is a job that I always told everyone I will never do. But I met my direct boss during the interview and he seems really nice and nurturing..  most importantly, I know I can now do what I am really passionate on my own And not live my passion up to other people's expectation anymore. Sorry for the long story, but in summary, money shouldn't be your first factor, unless you're in a fire situation that needs as much money as possible. Good luck! :)0 comments17"
2,"Gabriel Tham, Kenichi Tag Team Member at Tag TeamLevel 8. WizardUpdated on 18 Jun 2019Coming from personal experience here.After graduating I worked for a job I really liked, kinda llike a dream job. But the pay really sucked. I didnt mind cos the job was really what I liked.Then, came the betrayal, was retrenched without benefits.Second job, also same industry, a job that I liked, really really into the job and people were great.Then, came another stab in the back. Retrenched again.After that came the realization. F*** the job you like. The company don't give a shit. They treat you like slave in the end. Just work for money and invest then retire early.5 comments12"
3,See all 5 comments Gabriel Tham24 Oct 2018rather more like the company isn't making money but the upper management wants to keep their bonusesKenichi Xi18 Jun 2019Buddy went thru alot and realised that cash is King in the process. With a mature mind and experiences Buddy have become a dependable guy who knows what is best for himself n his future partner.
4,"Carol ThamLevel 3. WonderkidAnswered on 22 Oct 2018I tink a lot of people have asked very good questions which when you think through them, you will probably get your answer. I’ll just share my own experience. Hopefully it can shed some light. I was brought up to chase the dollars. There was always comparison from my mom with her friends children and my cousins and friends. When I got a job I liked but the pay wasn’t getting me anywhere those people were, it made me really upset. I felt useless. Until I left for Australia. As as long as what I am earning is able to get me the things I want, and there are aspects of it thst I enjoy (learning opportunities, good colleagues who support and encourage me rather than backstab me, etc) I was much happier. Then again, it was less stressful there because there was no talk about what I was earning, where I was staying, what brands I was buying. When i I returned to Singapore a couple of years back, the same stress returned Cos Thst was most of the conversation topic anongst adults. What house was I getting, am I upgrading, etc. it was until I had a target then it helped. I know I want to pay off my house in full by a certain age. So I don’t have to worry if I lose my job. Of cos job satisfaction was a high expectation now having had that in Australia. but the pay here was not able to compare. So I found a job that I believed I would like, and I also found ways to increase my income outside of my job so I would be able to also hit the target of paying off my house. For me, life is short. There is no point working like crazy and not be able to enjoy the fruits of it. The friendships and family time should be enjoyed now. But that also doesn’t mean don’t prepare for the future. So while I am healthy, I do what I can to prepare for the unexpected. Hopefully it never comes. I did it through investing - locally and overseas.i am not where I want to be yet but it is close. i hope through the sharing on this platform you are able to figure out what makes you happy, what is a must have for you and then from there plan where you want to go. Sometimes you might have to put up with a period, a season of discomfort to get to where you want to be. To improve myself I took time off to study and had to make do with little income during that period of time. 0 comments9"
5,"Lin JunxianLevel 2. RookieUpdated on 07 Jun 20192 things to consider:What is your financial situation? Living comfortably or constantly worrying about your budget?What do you want to get out of your workplace? Job satisfaction, money? Are there other factors to consider like learning opportunity or career progression? List them down for both jobs and you may be able to see clearer as you weigh the pros and cons. All the best in whichever work you choose in!1 comment4"
6,"Leong Wen Fong19 Oct 2018Yea actually that's true, there are many other things to consider rather than just ""enjoy what I do"" vs ""salary that I earn"". Things like potential growth, time, and all these need to be factored in too"
7,"Hariz Arthur Maloy, Independent Financial Advisor at Promiseland IndependentTop Contributor (Sep)Level 9. God of WisdomAnswered on 18 Oct 2018Honestly it's hard to not like money more.Unless it pains and kills you inside, I'll most likely bite the bullet, save enough capital, invest, and then choose to go back and do what I love. 0 comments4"
8,"Nick WongLevel 2. RookieAnswered on 18 Oct 2018If I am doing a job I enjoy than in no time I would excel and earn a lot more. On the other hand if I am doing a job I don't like, very soon I will be jobless as I will not perform and meet the expectation.0 comments3"
