,content
question,"Salary Career Asked by AnonymousAsked on 18 Dec 2018I've graduated for nearly a year without being able to find a FT job. Recently I got a job offer that does sales, which I'm not keen on doing. Should I just accept this offer?8 answersAnswerBump0"
0,Answers (8)Sort By Most UpvoteMost UpvoteMost Recent
1,"Junus EuTop Contributor (Sep)Level 8. WizardAnswered on 20 Mar 2019For a fresh grad, I would say - take what you can first. Learn the ropes, be active in your job search still, but use the time to earn money and also formulate your next step!Besides, there are things to be learnt on every job, be it:Sales and negotiation skillsPeople skillsTeam workDeveloping professionalism0 comments2"
2,"Jeff Yeo,   amateur Social contributor  at School of social sharingLevel 6. MasterAnswered on 04 Jan 2019You didn’t mentioned what sort of sales role.I think sales is a very good field to enter. The Commission pay out can be better than your base in some cases. If you grow yourself into a regional role you can travel around as well.You learn people management skills As well ! How to handle schedules, how backend sales operations, how to handle difficult customers. 0 comments1"
3,"Rave Ong Ci DeLevel 5. GeniusAnswered on 18 Dec 2018Take first, ask later. Besides, sales can teach you interpersonal skills which you can use if you eventually found a full time job that you like. 0 comments1"
4,"Steph Yeo, Auntie Uncle Whisperer at Agency for Integrated CareLevel 5. GeniusAnswered on 19 Dec 2018I think you should, just to get some experience of sales and of course the income that comes with it. But don't lose yourself-- continue to look for jobs that you like and go for sth you're more keen in when the opportunity arises. Do ask if there's a minimum period you have to be in this sales job though. It'll be horrible to have to sign a 2-yr contract or sth0 comments0"
5,"Gabriel LeeLevel 6. MasterAnswered on 19 Dec 2018Since you've been unemployed for nearly a year, just take up the job offer first to earn some income and gain some experience while looking for another job. 0 comments0"
6,"Samantha ChanLevel 3. WonderkidAnswered on 18 Dec 2018Get it first, try out and learn as much as you could for at least one year. You may stay on eventually. If it does not suit your preference, at least you know you had tried. Also, it will reflect positively on your resume.Competition is very keen out there. Grab the opportunity as the next batch of graduates are coming out soon. 0 comments0"
7,"Yk LaiLevel 3. WonderkidAnswered on 18 Dec 2018Once you get into an organization, it's easier for you to maneuver within. No harm learn something since you're fresh graduate.0 comments0"
8,"Daniel LingLevel 4. ProdigyAnswered on 18 Dec 2018Having a job versus no pay do nothing. I would say yes.Also depends on your fields market, if you think it was just a down turn and you should be able to get a job in 6 months, i would consider no.But consider part time to have some income. Unless not required.0 comments0"
