,content
question,Savings Investments Career CPF Retirement Asked by Xinyi LumAsked on 25 Apr 2019It's gonna be MAY. What are some financial goals you hope to achieve by end 2019? Or what are some that you have already achieved this year?6 answersAnswerBump1
0,Answers (6)Sort By Most UpvoteMost UpvoteMost Recent
1,"SWShaun Wq LimLevel 4. ProdigyAnswered on 26 Apr 2019Save $12,000 by Dec 2019, emergency fund.0 comments3"
2,Cecilia LeongLevel 2. RookieUpdated on 07 Jun 2019Buy my first home after my divorce to give stability to my 3 kids1 comment2
3,SWShaun Wq Lim04 May 2019Stay strong!
4,"Jessica TanLevel 2. RookieUpdated on 07 Jun 2019To save for wedding fund and also down payment for a house .. still working hard on it , need to cut back on unnecessary expenses1 comment1"
5,Heng Kai Le07 Jun 2019Good luck ;)
6,"Heng Kai Le, Mondomover at School Of LifeLevel 4. ProdigyAnswered on 07 Jun 2019Hi Xinyiyou may find this article useful: https://blog.seedly.sg/beginner-series-tips-seedly-money-framework/my personal financial goals for this year:1) build up emergency fund to $30k2) keep track of all income and expenses for at least 3 months3) set up a Wordpress blog and earn some spare cash through Google Ads0 comments0"
7,Randy SeeLevel 2. RookieAnswered on 25 Apr 2019To save as much as I can every year. 100k but I think is impossible. Haha0 comments0
8,"Jonathan Chia Guangrong, Fund Manager at JCG FundLevel 6. MasterAnswered on 25 Apr 201960% returns on my main portfolio by year end is the target.Other than this, need to work on cutting down expenses and saving more0 comments0"
