,content
question,"Savings Investments General Asked by Kenneth LouAsked on 12 Sep 2018What are some of the MLM sales pitches you have experienced before?Super interested to know and share what tactics are commonly used because interestingly enough a few users have been also sharing their stories with us, to bring it to the public!12 answersAnswerBump1"
0,Answers (12)Sort By Most UpvoteMost UpvoteMost Recent
1,"Yeap Ming Feng, Head of Content & SEO at SeedlyLevel 5. GeniusUpdated on 07 Jun 2019I was from an MLM in the past actually. The one that broke the news, Sunshine Empire and here's what happened.​Before Sunshine Empire, I was asked to join a get-rich entrepreneurship programme called Alpha in JC by a friend. Back then, as a student, and this formally dressed wealthy looking man _(think MLM starter kit meme) _spends time talking to you, calling you team mate, it felt good.​Naturally, when promised financial independence at such a young age is like a dream come true. So I started selling Iraqi Dinar (their product) and my parents bought it to support me when they clearly know that it was a scam.​And naturally when the sales of Iraq Diner (they were still at war then?! How gullible am I?!) did not go well, the company paid for my membership into Sunshine Empire.​The pitch across was, "" we are sorry that the Iraq Campagin didn't do well, so we helped paid for all your membership with Sunshine to get rich!""​If you had been to Sunshine Empire's office in Toa Payoh back then, it's really beautiful! Within seconds, JC kids like us were sold! No questions asked. We were hungry for sales.​Over time, there will be leadership seminars, sales seminar, usually once a week. There was even a chalet where our bosses booked and gave us a really motivating session.​He spit onto a S$50 note, crushed it, and asked if anyone wants it. One dude raised his hand, and the boss went "" there you go! It's yours!"". In JC, S$50 bucks is a lot of money!​Over a span of months, I would bring my friends down to the office where my boss or mentor would pitch to my friends about Sunshine Empire's investment scheme.​It sounded easy, but if one does a bit of research online, the bag of worms is not that difficult to expose.Sunshine Empire claims that they invested in:Underwater hotel in DubaiA Sunshine Empire Building somewhere overseasHuge malls around the worldNone of the malls will ever appear in your Google searches.​And by putting in a 5 digit amount, one will receive constant interest overtime!​The Interest did happen! (At least for the first few months)​And then it stopped.​As more members join, the interest stopped coming, due to vast amount of members and there was simply not enough to go around. This is what we call the fall of the pyramid system.​My boss, Bryannz Fan, eventually went on to set up a few more MLM businesses and even became a Dato. Still rich, still sharing endless motivational videos and status on Facebook. LOL.​Of course, here's a list of MLM companies in Singapore: https://blog.seedly.sg/multi-level-marketing-mlm-companies-list/3 comments6"
2,See all 3 comments Kok Koon12 Sep 2018So haps bro. I got a friend who got into the inner circle with JP. This one is like sneak peek of an expose.Loh Tat Tian13 Sep 2018Kok Koon: Hmm this is getting interesting. Not sure if we know each other then. :P
3,"Singchang TohLevel 2. RookieUpdated on 07 Jun 2019""YOU SHOULD BE HERE"" WorldVenturesPaid $500, saw the shit they were pushing, ignored them.2 comments2"
4,"Kenneth Lou12 Sep 2018LOL hahaha 'you should be here' seen that many times before also. LOLLim Chun Long Jimmy12 Sep 2018Now it becomes ""You will be broke""."
5,"Kenneth Lou, Co-founder at SeedlyLevel 8. WizardAnswered on 12 Sep 2018Sharing from my own expeirence around 7 years ago as a fresh-out-of-army and hungry young dude.​I was considering between doing internships or learning sports etc. In the end when I was playing alot of tennis, I had a friend who shared how ""I COULD BE MY OWN BOSS"". ​So what happened was that one day, he brought me to this Mapletree business city location some posh office at the top few floors to interact with this guy called Bryannz Fan. (back then the internet was not so establihsed yet, so I did not have the luxury to do a google on the spot). But what happened thereafter was he showed me around his office and everyone was very cordial and they started talking about luxury high profit projects in neighbouring countries. And asked if I wanted in on it.​So we had lunch at some posh Sushi restaurant downstairs etc to start to gauge if I had enough family backing to put in huge sums of money to 'invest'. So coincidentally there was another meetup event where they invited around 100 plus folks down to this CBD area to talk about the projects they were investing in. What a strange sight I thought, I believe the minimum was around $5k-ish. And interestingly enough, there were people from all backgrounds, students, After-NS folks, old retirees and probably people with CPF money taken out. ​With all that being said, they showed 'real-life examples' on all the various investment returns % that they could make from the projects and stuff. I left because I knew for sure that there was no way in-hell that I would borrow money to invest or those dudes look mildly shady. Interesting one is that they actually gave us a $30 ROBINSONS voucher each. haha LOL.​So that was pretty much it, I never saw that friend till around 3 years later where I noticed he has left it entirely but never did ask about how he lost money. I read online that many did.​Another one example was a friend from school selling a health product and I had to pay like $3k right off the bat to buy the products to sell. Didn't make sense at all, so I walked away immediately. LOL0 comments2"
6,"Lim Chun Long Jimmy, Distributor at Newbrand Organic Green TeaLevel 5. GeniusUpdated on 07 Jun 2019One day Mary (not her real name) contacted me to catch up over coffee (We have not been in touch for 5 years before that). During meetup, she wanna invite me to a seminar at a training hub about the money-making opportunity that she has been involved in for 2 years. ​I attended the seminar. During the seminar, 3 speakers take turns to present in front of the crowd to share how Amway has helped them achieve financial freedom. The 1st speaker claimed that she can now travel around the world almost daily, with pictures of her being overseas. The 2nd speaker claimed that she can now keep buying new clothes such that she wore each of them only once, with pictures of her clothes. The 3rd speaker show off his Rolex-es, a Lamborghini car key and videos of him alighting from a private jet and entering a big house.​At first I thought I have found my Lambo dream. But on 2nd thought, I chose not to join the money-making opportunity as I was not convinced.​Today Mary has already achieved Platimum level in the Line-of-Sponsorship.2 comments1"
7,"Kenneth Lou12 Sep 2018LOL no wonder you are so into the LAMBO thing, this is the origin story hahaLim Chun Long Jimmy12 Sep 2018Haha, if at that time I joined, maybe by today Lambo already, or at least achieved Emerald level in the Line-of-Sponsorship."
8,"Bryan Chong, Executive at UOBLevel 3. WonderkidUpdated on 07 Jun 2019Purtier. Period. Best MLM so far, so good that I’ve joined them LOL3 comments1"
9,"See all 3 comments Loh Tat Tian12 Sep 2018Hi Kenneth, at least your dad tried. Everyone would have been glad if it helped.Kenneth Lou12 Sep 2018Yeah @Loh Tat Tian... I guess it may have helped for a few months before the cancer got too aggressive..."
10,"Jeff Yeo,   amateur Social contributor  at School of social sharingLevel 6. MasterAnswered on 15 Sep 2018”don’t you want to experience life without having to worry about money ?”​”people who sell things always make more money than those who only buy” ​compelling statements that are true. I joined for a little bit when I was younger but it’s not my thing to talk to every random stranger just to get my down line or sell a product.0 comments0"
11,Good Day Every DayLevel 6. MasterAnswered on 15 Sep 2018Sure make money! And best of all at least more than 10% return!0 comments0
12,"Jay Liu, Diploma in Accountancy  at KHEALevel 6. MasterAnswered on 15 Sep 2018Was Brought to Worldventures when I was 17-18ish by a fren(my 1st encounter with MLM) . Starting the slides shows all the good stuff making 1 very interested and tempting. However after they show their 'scheme' went from interested to turn off. It pays to be a young broke adult. That time I literally had 0 Cash LOL. 0 comments0"
13,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 12 Sep 2018Similar to MLM that we seen.I've been attracted to good free gift last time ( a video camera!) Where we've been pull to a talk @ orchard while shopping, so the sales person starts to bombard us with the timeshare of the properties in Gold Cost, saying we could pay by installment to buy the said vacation properties and the management will rent out for us and give us a cut after all cost related. ​Saleslady was permisistent for 2 hours and I've been persistenly saying NO that:1)  I don't buy major things without going home to sleep and think about it on 3 nights and2)  I don't buy things on the post no matter how good the deal is or how soon the deals / sale / offer gonna end soon​Next, as she fail to convince me to buy, she escalated the case to her Superior, ""The Manager"" and we continue another 2 hours of ""Tai Ji"" with my persistent No.​In the end after 4 hours of tiring battle, which we wasnt' aware it's gonna drag and take so long, we earned our ""Video camera"" ! hahaha! ​So, beware of those hard sell tactic and always persist!  You will emerge as the ultimate winner! :P​​0 comments0"
14,Nicholes WongLevel 6. MasterAnswered on 12 Sep 2018Same as a lot others i think. Do you want to work for entire life? Do you want to drive a car? Do you want to be your own boss? Do you want to earn lots of money? 0 comments0
